Date,WWY
2010-10-13,4.76613
2010-10-14,4.8406
2010-10-15,2.1653599999999997
2010-10-18,2.15232
2010-10-19,2.15232
2010-10-20,2.15884
2010-10-21,2.15884
2010-10-22,2.21102
2010-10-25,2.2892799999999998
2010-10-26,2.39364
2010-10-27,2.3219
2010-10-28,2.23711
2010-10-29,2.21102
2010-11-01,2.30233
2010-11-02,2.25015
2010-11-03,2.2305900000000003
2010-11-04,2.15232
2010-11-05,2.19797
2010-11-08,2.17841
2010-11-09,2.2632
2010-11-10,2.40016
2010-11-11,2.54365
2010-11-12,2.50452
2010-11-15,2.51756
2010-11-16,2.45234
2010-11-17,2.2827599999999997
2010-11-18,2.41973
2010-11-19,2.46538
2010-11-22,2.47191
2010-11-23,2.41973
2010-11-24,2.43277
2010-11-26,2.47843
2010-11-29,2.50452
2010-11-30,2.52408
2010-12-01,2.61539
2010-12-02,2.53713
2010-12-03,2.47843
2010-12-06,2.55017
2010-12-07,2.7458400000000003
2010-12-08,2.77845
2010-12-09,2.73279
2010-12-10,2.73279
2010-12-13,2.7067
2010-12-14,2.65453
2010-12-15,2.73932
2010-12-16,2.7458400000000003
2010-12-17,2.8567099999999996
2010-12-20,2.86976
2010-12-21,2.8241
2010-12-22,2.81106
2010-12-23,2.77845
2010-12-27,2.78497
2010-12-28,2.79149
2010-12-29,2.8306299999999998
2010-12-30,2.84367
2010-12-31,
2011-01-03,2.93498
2011-01-04,2.90889
2011-01-05,2.97411
2011-01-06,2.97411
2011-01-07,2.96107
2011-01-10,2.8893299999999997
2011-01-11,2.95455
2011-01-12,3.00672
2011-01-13,2.90889
2011-01-14,2.79149
2011-01-18,2.85019
2011-01-19,2.92194
2011-01-20,2.81758
2011-01-21,2.75236
2011-01-24,2.648
2011-01-25,2.6806200000000002
2011-01-26,2.72627
2011-01-27,2.72627
2011-01-28,2.7067
2011-01-31,2.64148
2011-02-01,2.648
2011-02-02,2.64148
2011-02-03,2.67409
2011-02-04,2.6871400000000003
2011-02-07,2.69366
2011-02-08,2.70018
2011-02-09,2.5893
2011-02-10,2.50452
2011-02-11,2.49799
2011-02-14,2.5893
2011-02-15,2.55669
2011-02-16,2.58278
2011-02-17,2.5697400000000004
2011-02-18,2.5632200000000003
2011-02-22,2.40016
2011-02-23,2.4066799999999997
2011-02-24,2.36755
2011-02-25,2.41973
2011-02-28,2.48495
2011-03-01,2.55017
2011-03-02,2.51104
2011-03-03,2.52408
2011-03-04,2.51756
2011-03-07,2.47843
2011-03-08,2.57626
2011-03-09,2.57626
2011-03-10,2.5697400000000004
2011-03-11,2.49799
2011-03-14,2.55017
2011-03-15,2.46538
2011-03-16,2.53713
2011-03-17,2.41321
2011-03-18,2.4066799999999997
2011-03-21,2.41973
2011-03-22,2.39364
2011-03-23,2.41321
2011-03-24,2.49147
2011-03-25,2.49147
2011-03-28,2.40016
2011-03-29,2.43929
2011-03-30,2.49147
2011-03-31,2.41973
2011-04-01,2.46538
2011-04-04,2.48495
2011-04-05,2.48495
2011-04-06,2.58278
2011-04-07,2.59583
2011-04-08,2.55017
2011-04-11,2.53713
2011-04-12,2.49799
2011-04-13,2.48495
2011-04-14,2.49799
2011-04-15,2.49799
2011-04-18,2.52408
2011-04-19,2.47191
2011-04-20,2.41973
2011-04-21,2.3806
2011-04-25,
2011-04-26,2.32842
2011-04-27,2.30233
2011-04-28,2.26972
2011-04-29,2.25667
2011-05-02,2.25015
2011-05-03,2.27624
2011-05-04,2.25015
2011-05-05,2.30233
2011-05-06,2.2827599999999997
2011-05-09,2.3479799999999997
2011-05-10,2.33494
2011-05-11,2.3806
2011-05-12,2.36755
2011-05-13,2.39364
2011-05-16,2.3414599999999997
2011-05-17,2.3479799999999997
2011-05-18,2.3479799999999997
2011-05-19,2.35451
