Date,BX
2007-06-22,35.060001
2007-06-25,32.439999
2007-06-26,30.75
2007-06-27,29.92
2007-06-28,29.690001000000002
2007-06-29,29.27
2007-07-02,29.27
2007-07-03,29.719998999999998
2007-07-05,30.629998999999998
2007-07-06,31.5
2007-07-09,31.48
2007-07-10,29.93
2007-07-11,29.18
2007-07-12,30.0
2007-07-13,29.85
2007-07-16,29.690001000000002
2007-07-17,29.209999
2007-07-18,28.4
2007-07-19,27.33
2007-07-20,25.950001
2007-07-23,26.370001000000002
2007-07-24,25.709999
2007-07-25,25.51
2007-07-26,25.700001
2007-07-27,24.299999
2007-07-30,24.48
2007-07-31,24.01
2007-08-01,24.309998999999998
2007-08-02,25.33
2007-08-03,24.389999
2007-08-06,24.530001000000002
2007-08-07,24.9
2007-08-08,25.27
2007-08-09,24.92
2007-08-10,25.280001000000002
2007-08-13,25.709999
2007-08-14,24.57
2007-08-15,23.690001000000002
2007-08-16,23.9
2007-08-17,24.08
2007-08-20,23.389999
2007-08-21,23.51
2007-08-22,24.940001000000002
2007-08-23,25.27
2007-08-24,24.42
2007-08-27,23.799999
2007-08-28,23.040001
2007-08-29,22.98
2007-08-30,22.74
2007-08-31,23.129998999999998
2007-09-04,23.110001
2007-09-05,21.98
2007-09-06,22.16
2007-09-07,21.540001
2007-09-10,21.879998999999998
2007-09-11,22.889999
2007-09-12,23.26
2007-09-13,23.41
2007-09-14,23.92
2007-09-17,23.65
2007-09-18,24.549999
2007-09-19,25.66
2007-09-20,25.950001
2007-09-21,25.32
2007-09-24,24.530001000000002
2007-09-25,24.389999
2007-09-26,24.889999
2007-09-27,25.110001
2007-09-28,25.08
2007-10-01,25.58
2007-10-02,26.08
2007-10-03,27.17
2007-10-04,27.58
2007-10-05,29.08
2007-10-08,28.219998999999998
2007-10-09,28.450001
2007-10-10,28.66
2007-10-11,28.35
2007-10-12,27.75
2007-10-15,27.09
2007-10-16,26.049999
2007-10-17,26.42
2007-10-18,26.5
2007-10-19,25.51
2007-10-22,26.059998999999998
2007-10-23,26.360001
2007-10-24,26.23
2007-10-25,25.58
2007-10-26,25.59
2007-10-29,25.5
2007-10-30,25.290001
2007-10-31,25.43
2007-11-01,24.870001000000002
2007-11-02,24.09
2007-11-05,23.940001000000002
2007-11-06,23.67
2007-11-07,23.16
2007-11-08,24.1
2007-11-09,24.280001000000002
2007-11-12,22.26
2007-11-13,22.799999
2007-11-14,22.34
2007-11-15,23.120001000000002
2007-11-16,23.07
2007-11-19,22.16
2007-11-20,21.51
2007-11-21,21.02
2007-11-23,21.16
2007-11-26,20.6
2007-11-27,20.84
2007-11-28,21.469998999999998
2007-11-29,22.040001
2007-11-30,22.0
2007-12-03,21.6
2007-12-04,21.34
2007-12-05,21.559998999999998
2007-12-06,21.530001000000002
2007-12-07,21.93
2007-12-10,23.450001
2007-12-11,23.18
2007-12-12,23.23
2007-12-13,23.67
2007-12-14,23.6
2007-12-17,23.17
2007-12-18,23.34
2007-12-19,23.51
