Date,GLRE
2007-05-24,24.030001000000002
2007-05-25,24.780001000000002
2007-05-29,24.08
2007-05-30,23.75
2007-05-31,23.700001
2007-06-01,23.879998999999998
2007-06-04,23.639999
2007-06-05,23.639999
2007-06-06,23.700001
2007-06-07,23.98
2007-06-08,23.639999
2007-06-11,23.65
2007-06-12,23.620001000000002
2007-06-13,23.5
2007-06-14,23.360001
2007-06-15,23.0
2007-06-18,23.26
2007-06-19,23.379998999999998
2007-06-20,23.41
2007-06-21,23.41
2007-06-22,23.4
2007-06-25,23.08
2007-06-26,22.51
2007-06-27,23.219998999999998
2007-06-28,22.98
2007-06-29,22.530001000000002
2007-07-02,22.5
2007-07-03,22.4
2007-07-05,22.23
2007-07-06,22.35
2007-07-09,22.42
2007-07-10,22.09
2007-07-11,22.1
2007-07-12,22.77
2007-07-13,23.870001000000002
2007-07-16,23.33
2007-07-17,23.52
2007-07-18,23.75
2007-07-19,23.27
2007-07-20,23.02
2007-07-23,22.91
2007-07-24,22.389999
2007-07-25,22.049999
2007-07-26,21.469998999999998
2007-07-27,21.0
2007-07-30,21.15
2007-07-31,21.0
2007-08-01,21.07
2007-08-02,21.0
2007-08-03,19.879998999999998
2007-08-06,20.08
2007-08-07,19.16
2007-08-08,20.200001
2007-08-09,19.6
2007-08-10,19.65
2007-08-13,19.52
2007-08-14,19.52
2007-08-15,19.6
2007-08-16,19.82
2007-08-17,19.690001000000002
2007-08-20,20.950001
2007-08-21,20.16
2007-08-22,20.07
2007-08-23,20.0
2007-08-24,20.389999
2007-08-27,19.98
2007-08-28,20.129998999999998
2007-08-29,20.700001
2007-08-30,20.24
2007-08-31,19.82
2007-09-04,21.059998999999998
2007-09-05,21.0
2007-09-06,20.66
2007-09-07,20.129998999999998
2007-09-10,20.34
2007-09-11,20.809998999999998
2007-09-12,20.49
2007-09-13,20.16
2007-09-14,20.030001000000002
2007-09-17,19.98
2007-09-18,20.4
2007-09-19,20.540001
2007-09-20,20.540001
2007-09-21,20.57
2007-09-24,20.18
2007-09-25,20.33
2007-09-26,20.43
2007-09-27,20.620001000000002
2007-09-28,20.280001000000002
2007-10-01,20.57
2007-10-02,20.370001000000002
2007-10-03,20.01
2007-10-04,20.01
2007-10-05,20.42
2007-10-08,20.07
2007-10-09,20.4
2007-10-10,20.030001000000002
2007-10-11,20.049999
2007-10-12,20.26
2007-10-15,19.99
2007-10-16,19.950001
2007-10-17,20.07
2007-10-18,20.08
2007-10-19,19.709999
2007-10-22,19.51
2007-10-23,19.309998999999998
2007-10-24,19.209999
2007-10-25,18.93
