Date,SABR
2014-04-17,16.5
2014-04-21,16.66
2014-04-22,17.700001
2014-04-23,16.85
2014-04-24,16.84
2014-04-25,16.65
2014-04-28,16.48
2014-04-29,16.440001000000002
2014-04-30,16.469998999999998
2014-05-01,16.51
2014-05-02,16.4
2014-05-05,16.02
2014-05-06,15.92
2014-05-07,15.98
2014-05-08,15.75
2014-05-09,15.54
2014-05-12,15.99
2014-05-13,15.76
2014-05-14,15.76
2014-05-15,16.1
2014-05-16,16.290001
2014-05-19,16.5
2014-05-20,16.360001
2014-05-21,16.5
2014-05-22,16.65
2014-05-23,17.09
2014-05-27,17.08
2014-05-28,17.799999
2014-05-29,18.59
2014-05-30,19.200001
2014-06-02,19.200001
2014-06-03,18.889999
2014-06-04,19.0
2014-06-05,19.219998999999998
2014-06-06,18.799999
2014-06-09,18.99
2014-06-10,19.209999
2014-06-11,19.219998999999998
2014-06-12,19.219998999999998
2014-06-13,19.23
2014-06-16,19.209999
2014-06-17,19.440001000000002
2014-06-18,20.299999
2014-06-19,20.5
2014-06-20,20.049999
2014-06-23,19.75
2014-06-24,19.290001
2014-06-25,19.959999
2014-06-26,19.59
2014-06-27,20.264999
2014-06-30,20.049999
2014-07-01,20.030001000000002
2014-07-02,19.91
2014-07-03,20.09
2014-07-07,20.0
2014-07-08,20.01
2014-07-09,20.190001000000002
2014-07-10,19.950001
2014-07-11,19.795
2014-07-14,19.715
2014-07-15,19.450001
2014-07-16,19.290001
2014-07-17,19.16
2014-07-18,19.370001000000002
2014-07-21,19.51
2014-07-22,19.66
2014-07-23,19.629998999999998
2014-07-24,19.6
2014-07-25,19.559998999999998
2014-07-28,19.18
2014-07-29,19.4
2014-07-30,19.290001
2014-07-31,18.98
2014-08-01,18.75
2014-08-04,18.700001
2014-08-05,18.700001
2014-08-06,18.540001
2014-08-07,18.48
2014-08-08,18.41
2014-08-11,18.5
2014-08-12,18.4
2014-08-13,18.32
2014-08-14,18.209999
2014-08-15,18.5
2014-08-18,18.559998999999998
2014-08-19,18.4
2014-08-20,18.559998999999998
2014-08-21,18.309998999999998
2014-08-22,18.209999
2014-08-25,18.200001
2014-08-26,18.15
2014-08-27,18.360001
2014-08-28,18.01
2014-08-29,18.23
2014-09-02,17.959999
2014-09-03,18.379998999999998
2014-09-04,18.25
2014-09-05,18.469998999999998
2014-09-08,18.66
2014-09-09,18.540001
2014-09-10,18.51
2014-09-11,18.41
2014-09-12,18.5
2014-09-15,18.51
2014-09-16,18.190001000000002
