Date,TTC
1980-03-17,0.625
1980-03-18,0.625
1980-03-19,0.625
1980-03-20,0.625
1980-03-21,0.619792
1980-03-24,0.619792
1980-03-25,0.619792
1980-03-26,0.609375
1980-03-27,0.557292
1980-03-28,0.598958
1980-03-31,0.598958
1980-04-01,0.598958
1980-04-02,0.588542
1980-04-03,0.588542
1980-04-07,0.578125
1980-04-08,0.567708
1980-04-09,0.567708
1980-04-10,0.567708
1980-04-11,0.572917
1980-04-14,0.572917
1980-04-15,0.567708
1980-04-16,0.572917
1980-04-17,0.546875
1980-04-18,0.557292
1980-04-21,0.541667
1980-04-22,0.536458
1980-04-23,0.541667
1980-04-24,0.552083
1980-04-25,0.557292
1980-04-28,0.5625
1980-04-29,0.552083
1980-04-30,0.552083
1980-05-01,0.541667
1980-05-02,0.526042
1980-05-05,0.546875
1980-05-06,0.546875
1980-05-07,0.552083
1980-05-08,0.541667
1980-05-09,0.552083
1980-05-12,0.552083
1980-05-13,0.546875
1980-05-14,0.578125
1980-05-15,0.604167
1980-05-16,0.609375
1980-05-19,0.630208
1980-05-20,0.635417
1980-05-21,0.614583
1980-05-22,0.614583
1980-05-23,0.583333
1980-05-27,0.59375
1980-05-28,0.598958
1980-05-29,0.588542
1980-05-30,0.583333
1980-06-02,0.567708
1980-06-03,0.578125
1980-06-04,0.572917
1980-06-05,0.578125
1980-06-06,0.5625
1980-06-09,0.557292
1980-06-10,0.572917
1980-06-11,0.583333
1980-06-12,0.588542
1980-06-13,0.59375
1980-06-16,0.583333
1980-06-17,0.583333
1980-06-18,0.578125
1980-06-19,0.572917
1980-06-20,0.572917
1980-06-23,0.5625
1980-06-24,0.567708
1980-06-25,0.557292
1980-06-26,0.552083
1980-06-27,0.541667
1980-06-30,0.541667
1980-07-01,0.552083
1980-07-02,0.557292
1980-07-03,0.578125
1980-07-07,0.609375
1980-07-08,0.588542
1980-07-09,0.59375
1980-07-10,0.583333
1980-07-11,0.578125
1980-07-14,0.59375
1980-07-15,0.598958
1980-07-16,0.630208
1980-07-17,0.614583
1980-07-18,0.640625
1980-07-21,0.645833
1980-07-22,0.65625
1980-07-23,0.645833
1980-07-24,0.65625
1980-07-25,0.65625
1980-07-28,0.625
1980-07-29,0.625
1980-07-30,0.71875
1980-07-31,0.708333
1980-08-01,0.697917
1980-08-04,0.703125
1980-08-05,0.703125
1980-08-06,0.744792
1980-08-07,0.739583
1980-08-08,0.723958
1980-08-11,0.71875
1980-08-12,0.71875
1980-08-13,0.708333
1980-08-14,0.697917
1980-08-15,0.697917
1980-08-18,0.666667
1980-08-19,0.671875
1980-08-20,0.682292
1980-08-21,0.713542
1980-08-22,0.713542
1980-08-25,0.729167
1980-08-26,0.713542
1980-08-27,0.692708
1980-08-28,0.703125
1980-08-29,0.708333
1980-09-02,0.708333
1980-09-03,0.71875
1980-09-04,0.71875
1980-09-05,0.697917
1980-09-08,0.708333
1980-09-09,0.703125
1980-09-10,0.697917
1980-09-11,0.729167
1980-09-12,0.729167
1980-09-15,0.729167
1980-09-16,0.744792
1980-09-17,0.828125
1980-09-18,0.807292
1980-09-19,0.796875
1980-09-22,0.786458
1980-09-23,0.760417
1980-09-24,0.760417
1980-09-25,0.760417
1980-09-26,0.739583
1980-09-29,0.708333
1980-09-30,0.75
1980-10-01,0.734375
1980-10-02,0.739583
1980-10-03,0.739583
1980-10-06,0.75
1980-10-07,0.755208
1980-10-08,0.75
1980-10-09,0.744792
1980-10-10,0.744792
1980-10-13,0.739583
1980-10-14,0.729167
1980-10-15,0.729167
1980-10-16,0.713542
1980-10-17,0.71875
1980-10-20,0.71875
1980-10-21,0.703125
1980-10-22,0.723958
1980-10-23,0.708333
1980-10-24,0.6875
1980-10-27,0.682292
