Date,MASI
2007-08-08,20.9
2007-08-09,20.5
2007-08-10,20.02
2007-08-13,21.0
2007-08-14,20.5
2007-08-15,20.4
2007-08-16,19.549999
2007-08-17,20.59
2007-08-20,20.6
2007-08-21,21.0
2007-08-22,21.129998999999998
2007-08-23,21.4
2007-08-24,21.059998999999998
2007-08-27,21.0
2007-08-28,20.9
2007-08-29,21.040001
2007-08-30,21.110001
2007-08-31,21.0
2007-09-04,21.059998999999998
2007-09-05,21.200001
2007-09-06,21.5
2007-09-07,22.35
2007-09-10,24.379998999999998
2007-09-11,24.799999
2007-09-12,24.59
2007-09-13,24.790001
2007-09-14,24.85
2007-09-17,23.43
2007-09-18,23.41
2007-09-19,24.51
2007-09-20,25.27
2007-09-21,26.0
2007-09-24,26.639999
2007-09-25,26.6
2007-09-26,26.35
2007-09-27,26.030001000000002
2007-09-28,25.66
2007-10-01,26.24
2007-10-02,26.629998999999998
2007-10-03,28.17
2007-10-04,28.98
2007-10-05,28.98
2007-10-08,30.75
2007-10-09,32.209998999999996
2007-10-10,33.799999
2007-10-11,32.759997999999996
2007-10-12,31.959999
2007-10-15,30.83
2007-10-16,32.009997999999996
2007-10-17,31.15
2007-10-18,31.23
2007-10-19,30.290001
2007-10-22,30.0
2007-10-23,31.190001000000002
2007-10-24,31.889999
2007-10-25,31.889999
2007-10-26,30.959999
2007-10-29,32.119999
2007-10-30,33.290001000000004
2007-10-31,34.220001
2007-11-01,31.450001
2007-11-02,31.889999
2007-11-05,31.17
2007-11-06,31.26
2007-11-07,29.969998999999998
2007-11-08,30.129998999999998
2007-11-09,30.049999
2007-11-12,30.059998999999998
2007-11-13,30.65
2007-11-14,30.389999
2007-11-15,30.950001
2007-11-16,31.629998999999998
2007-11-19,31.16
2007-11-20,30.77
2007-11-21,30.08
2007-11-23,30.08
2007-11-26,31.190001000000002
2007-11-27,32.610001000000004
2007-11-28,35.0
2007-11-29,37.700001
2007-11-30,36.959998999999996
2007-12-03,38.299999
