Date,TBIO
2018-06-28,11.52
2018-06-29,12.65
2018-07-02,13.0
2018-07-03,12.92
2018-07-05,13.17
2018-07-06,13.25
2018-07-09,13.3
2018-07-10,13.01
2018-07-11,13.0
2018-07-12,13.0
2018-07-13,12.85
2018-07-16,13.0
2018-07-17,13.01
2018-07-18,14.1
2018-07-19,14.68
2018-07-20,15.94
2018-07-23,15.9
2018-07-24,15.36
2018-07-25,15.57
2018-07-26,14.38
2018-07-27,14.4
2018-07-30,12.21
2018-07-31,11.01
2018-08-01,11.47
2018-08-02,11.05
2018-08-03,11.01
2018-08-06,9.67
2018-08-07,10.43
2018-08-08,10.5
2018-08-09,10.21
2018-08-10,10.45
2018-08-13,10.25
2018-08-14,10.55
2018-08-15,11.73
2018-08-16,10.6
2018-08-17,10.48
2018-08-20,10.5
2018-08-21,10.49
2018-08-22,10.65
2018-08-23,10.8
2018-08-24,10.86
2018-08-27,10.74
2018-08-28,10.7
2018-08-29,10.9
2018-08-30,10.82
2018-08-31,10.61
2018-09-04,10.34
2018-09-05,11.05
2018-09-06,11.09
2018-09-07,11.57
2018-09-10,11.54
2018-09-11,11.33
2018-09-12,11.21
2018-09-13,10.9
2018-09-14,10.66
2018-09-17,10.53
2018-09-18,10.35
2018-09-19,10.34
2018-09-20,10.36
2018-09-21,9.99
2018-09-24,9.93
2018-09-25,9.93
2018-09-26,9.9
2018-09-27,9.95
2018-09-28,10.0
2018-10-01,9.95
2018-10-02,9.91
2018-10-03,9.86
2018-10-04,9.16
2018-10-05,8.76
2018-10-08,8.84
2018-10-09,8.56
2018-10-10,8.0
2018-10-11,7.7
2018-10-12,7.46
2018-10-15,7.15
2018-10-16,7.13
2018-10-17,6.88
2018-10-18,6.96
2018-10-19,5.82
2018-10-22,5.74
2018-10-23,5.46
2018-10-24,5.16
2018-10-25,5.68
2018-10-26,5.54
2018-10-29,5.39
2018-10-30,5.49
2018-10-31,5.63
2018-11-01,5.85
2018-11-02,5.93
2018-11-05,6.53
2018-11-06,6.59
2018-11-07,6.75
2018-11-08,6.79
2018-11-09,6.5
2018-11-12,5.99
2018-11-13,6.29
2018-11-14,5.91
2018-11-15,7.33
2018-11-16,6.8
2018-11-19,6.84
2018-11-20,6.99
2018-11-21,6.99
2018-11-23,6.98
2018-11-26,6.79
2018-11-27,6.63
2018-11-28,7.35
2018-11-29,7.59
2018-11-30,7.23
2018-12-03,7.75
2018-12-04,8.21
2018-12-06,8.45
2018-12-07,8.53
2018-12-10,8.51
2018-12-11,9.06
2018-12-12,9.0
2018-12-13,8.73
2018-12-14,8.19
2018-12-17,8.35
2018-12-18,8.15
2018-12-19,7.89
2018-12-20,7.37
2018-12-21,8.2
2018-12-24,8.05
2018-12-26,8.06
2018-12-27,7.37
2018-12-28,7.28
2018-12-31,7.5
2019-01-02,7.49
2019-01-03,6.78
2019-01-04,8.38
2019-01-07,7.32
2019-01-08,6.9
2019-01-09,6.79
2019-01-10,6.15
2019-01-11,6.13
2019-01-14,5.8
2019-01-15,5.7
2019-01-16,5.65
2019-01-17,5.75
2019-01-18,5.53
2019-01-22,4.9
2019-01-23,5.28
2019-01-24,5.48
2019-01-25,5.71
2019-01-28,5.61
2019-01-29,5.5
2019-01-30,5.66
2019-01-31,5.68
2019-02-01,5.72
2019-02-04,5.82
2019-02-05,6.1
2019-02-06,6.43
2019-02-07,6.52
2019-02-08,6.77
2019-02-11,6.9
2019-02-12,7.23
2019-02-13,7.38
2019-02-14,7.37
2019-02-15,9.35
2019-02-19,8.31
2019-02-20,8.54
2019-02-21,8.45
2019-02-22,8.7
2019-02-25,9.01
2019-02-26,9.8
2019-02-27,9.92
2019-02-28,10.2
2019-03-01,10.23
2019-03-04,9.22
2019-03-05,9.41
2019-03-06,9.02
2019-03-07,9.84
2019-03-08,7.95
