Date,ORIG
2012-06-18,119817.0
2012-06-19,126422.0
2012-06-20,126697.0
2012-06-21,123486.0
2012-06-22,126697.0
2012-06-25,120367.0
2012-06-26,120092.0
2012-06-27,119817.0
2012-06-28,119633.0
2012-06-29,123945.0
2012-07-02,124679.0
2012-07-03,133028.0
2012-07-05,132385.0
2012-07-06,133394.0
2012-07-09,133761.0
2012-07-10,133028.0
2012-07-11,134679.0
2012-07-12,133303.0
2012-07-13,137798.0
2012-07-16,137431.0
2012-07-17,136239.0
2012-07-18,139908.0
2012-07-19,143853.0
2012-07-20,143670.0
2012-07-23,137706.0
2012-07-24,138624.0
2012-07-25,139725.0
2012-07-26,140275.0
2012-07-27,138532.0
2012-07-30,137615.0
2012-07-31,137523.0
2012-08-01,145963.0
2012-08-02,146514.0
2012-08-03,145963.0
2012-08-06,151651.0
2012-08-07,151560.0
2012-08-08,151376.0
2012-08-09,153486.0
2012-08-10,148899.0
2012-08-13,145596.0
2012-08-14,145413.0
2012-08-15,144220.0
2012-08-16,143119.0
2012-08-17,146789.0
2012-08-20,149908.0
2012-08-21,148624.0
2012-08-22,147156.0
2012-08-23,147156.0
2012-08-24,149358.0
2012-08-27,149266.0
2012-08-28,149908.0
2012-08-29,150459.0
2012-08-30,149908.0
2012-08-31,153486.0
2012-09-04,154220.0
2012-09-05,156789.0
2012-09-06,156422.0
2012-09-07,160367.0
2012-09-10,162661.0
2012-09-11,163349.0
2012-09-12,163991.0
2012-09-13,164220.0
2012-09-14,165321.0
2012-09-17,165872.0
2012-09-18,166606.0
2012-09-19,166055.0
2012-09-20,164495.0
2012-09-21,163303.0
2012-09-24,159450.0
2012-09-25,157615.0
2012-09-26,150734.0
2012-09-27,151284.0
2012-09-28,149633.0
2012-10-01,146422.0
2012-10-02,151376.0
2012-10-03,150092.0
2012-10-04,150367.0
2012-10-05,145688.0
2012-10-08,142248.0
2012-10-09,141101.0
2012-10-10,139220.0
2012-10-11,142661.0
2012-10-12,139541.0
2012-10-15,141743.0
2012-10-16,148257.0
2012-10-17,150917.0
2012-10-18,150734.0
2012-10-19,150000.0
2012-10-22,148807.0
2012-10-23,145872.0
2012-10-24,145229.0
2012-10-25,146239.0
2012-10-26,146972.0
2012-10-31,145596.0
2012-11-01,151468.0
2012-11-02,146606.0
2012-11-05,151101.0
2012-11-06,151468.0
2012-11-07,149195.0
2012-11-08,147248.0
2012-11-09,144128.0
2012-11-12,144404.0
2012-11-13,142018.0
2012-11-14,140183.0
2012-11-15,137248.0
2012-11-16,134771.0
2012-11-19,139633.0
2012-11-20,139908.0
2012-11-21,141468.0
2012-11-23,142661.0
2012-11-26,145505.0
2012-11-27,146055.0
2012-11-28,144495.0
2012-11-29,145321.0
2012-11-30,144495.0
2012-12-03,143119.0
2012-12-04,144037.0
2012-12-05,144495.0
2012-12-06,141835.0
2012-12-07,138991.0
2012-12-10,136147.0
2012-12-11,138257.0
2012-12-12,141101.0
2012-12-13,136514.0
2012-12-14,135046.0
2012-12-17,136330.0
2012-12-18,137798.0
2012-12-19,140826.0
2012-12-20,138899.0
2012-12-21,138257.0
2012-12-24,139908.0
2012-12-26,135321.0
2012-12-27,135688.0
2012-12-28,135321.0
2012-12-31,136943.0
2013-01-02,137615.0
2013-01-03,140367.0
2013-01-04,143945.0
2013-01-07,144495.0
2013-01-08,143486.0
2013-01-09,140550.0
2013-01-10,142752.0
2013-01-11,143211.0
2013-01-14,141101.0
2013-01-15,137982.0
2013-01-16,140092.0
2013-01-17,145413.0
2013-01-18,145596.0
2013-01-22,142385.0
2013-01-23,143119.0
2013-01-24,149725.0
2013-01-25,151835.0
2013-01-28,154954.0
2013-01-29,160275.0
2013-01-30,158349.0
2013-01-31,158532.0
2013-02-01,162477.0
2013-02-04,160826.0
2013-02-05,160734.0
2013-02-06,160092.0
2013-02-07,160734.0
2013-02-08,161193.0
2013-02-11,161009.0
2013-02-12,148624.0
2013-02-13,149725.0
2013-02-14,150550.0
2013-02-15,146147.0
2013-02-19,147339.0
2013-02-20,144128.0
2013-02-21,141284.0
2013-02-22,137615.0
2013-02-25,134495.0
2013-02-26,134587.0
2013-02-27,134312.0
2013-02-28,133670.0
2013-03-01,131193.0
2013-03-04,126239.0
2013-03-05,129908.0
2013-03-06,129817.0
2013-03-07,130367.0
2013-03-08,133761.0
2013-03-11,133303.0
2013-03-12,133394.0
2013-03-13,137615.0
2013-03-14,142202.0
2013-03-15,143945.0
2013-03-18,141927.0
2013-03-19,143394.0
2013-03-20,144312.0
2013-03-21,146147.0
2013-03-22,150000.0
2013-03-25,150550.0
2013-03-26,148257.0
2013-03-27,147615.0
2013-03-28,147798.0
2013-04-01,147064.0
2013-04-02,147890.0
2013-04-03,143945.0
2013-04-04,143486.0
2013-04-05,142661.0
2013-04-08,145138.0
2013-04-09,150275.0
2013-04-10,150642.0
2013-04-11,151101.0
2013-04-12,149450.0
2013-04-15,140550.0
2013-04-16,141009.0
2013-04-17,138899.0
2013-04-18,144037.0
2013-04-19,142569.0
2013-04-22,144495.0
2013-04-23,144862.0
2013-04-24,149266.0
2013-04-25,149358.0
2013-04-26,148899.0
2013-04-29,150275.0
2013-04-30,150275.0
2013-05-01,149817.0
2013-05-02,152294.0
2013-05-03,154587.0
2013-05-06,155780.0
2013-05-07,155780.0
2013-05-08,157615.0
2013-05-09,159266.0
2013-05-10,156606.0
2013-05-13,154404.0
2013-05-14,154587.0
2013-05-15,154495.0
2013-05-16,155046.0
2013-05-17,156239.0
2013-05-20,160826.0
2013-05-21,160734.0
2013-05-22,157798.0
2013-05-23,157615.0
2013-05-24,162844.0
2013-05-28,162385.0
2013-05-29,162661.0
2013-05-30,162661.0
2013-05-31,159725.0
2013-06-03,163211.0
2013-06-04,161468.0
2013-06-05,160642.0
2013-06-06,158716.0
2013-06-07,159541.0
2013-06-10,157706.0
2013-06-11,156972.0
2013-06-12,154220.0
2013-06-13,155138.0
2013-06-14,153761.0
2013-06-17,156697.0
2013-06-18,158349.0
2013-06-19,156881.0
2013-06-20,155963.0
2013-06-21,155963.0
2013-06-24,154037.0
2013-06-25,156606.0
2013-06-26,157064.0
2013-06-27,165413.0
2013-06-28,171835.0
2013-07-01,168624.0
2013-07-02,169450.0
2013-07-03,170642.0
2013-07-05,171468.0
2013-07-08,168991.0
2013-07-09,168440.0
2013-07-10,167431.0
2013-07-11,165046.0
2013-07-12,162385.0
2013-07-15,159633.0
2013-07-16,159450.0
2013-07-17,160092.0
2013-07-18,160550.0
2013-07-19,160275.0
2013-07-22,160367.0
2013-07-23,161468.0
2013-07-24,160275.0
