Date,ALGT
2006-12-08,25.1
2006-12-11,26.299999
2006-12-12,26.07
2006-12-13,26.85
2006-12-14,27.84
2006-12-15,27.65
2006-12-18,27.549999
2006-12-19,26.49
2006-12-20,27.1
2006-12-21,27.57
2006-12-22,27.23
2006-12-26,27.52
2006-12-27,27.92
2006-12-28,27.9
2006-12-29,28.059998999999998
2007-01-03,27.77
2007-01-04,27.77
2007-01-05,27.75
2007-01-08,26.98
2007-01-09,26.99
2007-01-10,26.969998999999998
2007-01-11,27.360001
2007-01-12,28.25
2007-01-16,29.58
2007-01-17,30.0
2007-01-18,30.190001000000002
2007-01-19,29.51
2007-01-22,29.67
2007-01-23,31.129998999999998
2007-01-24,32.32
2007-01-25,31.98
2007-01-26,32.0
2007-01-29,31.85
2007-01-30,32.59
2007-01-31,33.25
2007-02-01,34.049999
2007-02-02,34.939999
2007-02-05,35.200001
2007-02-06,34.029999
2007-02-07,34.07
2007-02-08,33.450001
2007-02-09,33.259997999999996
2007-02-12,32.919998
2007-02-13,32.709998999999996
2007-02-14,33.0
2007-02-15,32.84
2007-02-16,34.77
2007-02-20,35.470001
2007-02-21,35.0
2007-02-22,34.490002000000004
2007-02-23,33.5
2007-02-26,34.639998999999996
2007-02-27,32.950001
2007-02-28,34.459998999999996
2007-03-01,34.439999
2007-03-02,33.950001
2007-03-05,34.080002
2007-03-06,32.57
2007-03-07,33.599998
2007-03-08,33.75
2007-03-09,32.439999
2007-03-12,31.200001
2007-03-13,31.01
2007-03-14,31.07
2007-03-15,32.0
2007-03-16,31.65
2007-03-19,31.65
2007-03-20,33.349998
2007-03-21,33.18
2007-03-22,33.599998
2007-03-23,32.990002000000004
2007-03-26,32.779999
2007-03-27,32.0
2007-03-28,31.25
2007-03-29,31.469998999999998
2007-03-30,31.5
2007-04-02,31.65
2007-04-03,32.75
2007-04-04,31.59
2007-04-05,32.040001000000004
2007-04-09,32.009997999999996
2007-04-10,32.200001
2007-04-11,32.369999
2007-04-12,32.529999
2007-04-13,33.060001
2007-04-16,32.709998999999996
2007-04-17,32.060001
2007-04-18,32.049999
2007-04-19,32.259997999999996
2007-04-20,31.879998999999998
2007-04-23,32.299999
2007-04-24,33.889998999999996
2007-04-25,33.240002000000004
2007-04-26,32.759997999999996
2007-04-27,32.0
2007-04-30,32.09
2007-05-01,34.889998999999996
2007-05-02,34.700001
2007-05-03,34.169998
2007-05-04,33.349998
2007-05-07,32.279999
2007-05-08,31.969998999999998
2007-05-09,31.870001000000002
2007-05-10,30.280001000000002
2007-05-11,30.040001
2007-05-14,29.200001
2007-05-15,27.76
2007-05-16,28.040001
2007-05-17,30.0
2007-05-18,30.190001000000002
2007-05-21,31.200001
2007-05-22,31.52
2007-05-23,31.93
2007-05-24,32.150002
2007-05-25,31.76
2007-05-29,32.16
2007-05-30,31.82
2007-05-31,31.75
2007-06-01,32.23
2007-06-04,32.389998999999996
2007-06-05,32.0
2007-06-06,31.68
2007-06-07,31.690001000000002
2007-06-08,31.73
2007-06-11,31.389999
2007-06-12,30.889999
2007-06-13,31.84
2007-06-14,32.41
2007-06-15,32.900002
2007-06-18,32.5
2007-06-19,32.25
2007-06-20,32.349998
2007-06-21,32.580002
2007-06-22,33.380001
2007-06-25,32.200001
2007-06-26,31.6
2007-06-27,30.959999
2007-06-28,31.59
2007-06-29,30.74
2007-07-02,31.129998999999998
2007-07-03,31.35
2007-07-05,31.620001000000002
2007-07-06,32.32
2007-07-09,31.49
2007-07-10,30.99
2007-07-11,31.709999
2007-07-12,31.92
2007-07-13,31.940001000000002
2007-07-16,31.790001
2007-07-17,33.509997999999996
2007-07-18,33.049999
2007-07-19,32.5
2007-07-20,31.950001
2007-07-23,32.080002
2007-07-24,31.6
2007-07-25,31.629998999999998
2007-07-26,31.139999
2007-07-27,30.959999
2007-07-30,30.18
2007-07-31,29.389999
2007-08-01,30.799999
2007-08-02,30.09
2007-08-03,30.35
2007-08-06,30.860001
2007-08-07,33.490002000000004
2007-08-08,33.799999
2007-08-09,31.440001000000002
2007-08-10,30.52
2007-08-13,30.85
2007-08-14,30.84
2007-08-15,30.18
2007-08-16,30.74
2007-08-17,30.49
2007-08-20,30.52
2007-08-21,30.09
2007-08-22,29.99
2007-08-23,30.5
2007-08-24,30.219998999999998
2007-08-27,30.200001
2007-08-28,29.67
2007-08-29,29.25
2007-08-30,28.84
2007-08-31,29.0
2007-09-04,28.41
2007-09-05,28.299999
2007-09-06,29.940001000000002
2007-09-07,29.969998999999998
2007-09-10,29.139999
2007-09-11,29.950001
2007-09-12,29.780001000000002
2007-09-13,29.73
2007-09-14,30.299999
2007-09-17,29.809998999999998
2007-09-18,30.07
2007-09-19,30.040001
2007-09-20,29.77
2007-09-21,29.950001
2007-09-24,27.879998999999998
2007-09-25,29.43
2007-09-26,30.18
2007-09-27,29.99
2007-09-28,30.32
