Date,DVA
1995-10-31,4.075
1995-11-01,3.9
1995-11-02,4.175
1995-11-03,4.0
1995-11-06,3.9
1995-11-07,3.8
1995-11-08,3.825
1995-11-09,4.05
1995-11-10,4.1
1995-11-13,4.15
1995-11-14,4.15
1995-11-15,4.1
1995-11-16,4.1
1995-11-17,4.15
1995-11-20,4.3
1995-11-21,4.3
1995-11-22,4.4
1995-11-24,4.525
1995-11-27,4.85
1995-11-28,5.325
1995-11-29,5.6
1995-11-30,5.375
1995-12-01,5.375
1995-12-04,5.25
1995-12-05,5.325
1995-12-06,5.675
1995-12-07,5.65
1995-12-08,5.7
1995-12-11,5.725
1995-12-12,5.925
1995-12-13,5.95
1995-12-14,5.95
1995-12-15,5.95
1995-12-18,5.725
1995-12-19,5.45
1995-12-20,5.275
1995-12-21,5.2
1995-12-22,5.2
1995-12-26,5.2
1995-12-27,5.6
1995-12-28,5.6
1995-12-29,6.0
1996-01-02,5.85
1996-01-03,5.9
1996-01-04,5.65
1996-01-05,5.625
1996-01-08,5.6
1996-01-09,5.5
1996-01-10,5.55
1996-01-11,5.55
1996-01-12,5.75
1996-01-15,5.85
1996-01-16,5.975
1996-01-17,5.95
1996-01-18,5.675
1996-01-19,5.675
1996-01-22,5.625
1996-01-23,5.6
1996-01-24,5.575
1996-01-25,5.6
1996-01-26,5.525
1996-01-29,5.475
1996-01-30,5.475
1996-01-31,5.55
1996-02-01,5.7
1996-02-02,5.875
1996-02-05,5.95
1996-02-06,6.25
1996-02-07,6.4
1996-02-08,6.15
1996-02-09,6.075
1996-02-12,6.225
1996-02-13,5.875
1996-02-14,5.875
1996-02-15,5.8
1996-02-16,5.875
1996-02-20,5.8
1996-02-21,5.825
1996-02-22,6.05
1996-02-23,6.0
1996-02-26,6.1
1996-02-27,6.125
1996-02-28,5.975
1996-02-29,5.9
1996-03-01,5.95
1996-03-04,5.975
1996-03-05,6.0
1996-03-06,5.925
1996-03-07,6.075
1996-03-08,6.0
1996-03-11,5.9
1996-03-12,5.875
1996-03-13,5.925
1996-03-14,5.95
1996-03-15,5.925
1996-03-18,5.95
1996-03-19,5.95
1996-03-20,5.925
1996-03-21,5.875
1996-03-22,5.825
1996-03-25,5.975
1996-03-26,6.125
1996-03-27,6.175
1996-03-28,6.2
1996-03-29,6.225
1996-04-01,6.575
1996-04-02,6.55
1996-04-03,6.625
1996-04-04,7.0
1996-04-08,7.05
1996-04-09,7.1
1996-04-10,7.25
1996-04-11,7.125
1996-04-12,7.075
1996-04-15,7.075
1996-04-16,7.15
1996-04-17,7.25
1996-04-18,7.075
1996-04-19,7.1
1996-04-22,7.2
1996-04-23,7.625
1996-04-24,8.075
1996-04-25,7.95
1996-04-26,7.875
1996-04-29,7.6
1996-04-30,7.65
1996-05-01,7.7
1996-05-02,7.275
1996-05-03,7.1
1996-05-06,7.5
1996-05-07,7.8
1996-05-08,7.875
1996-05-09,7.975
1996-05-10,8.65
1996-05-13,9.025
1996-05-14,8.775
1996-05-15,8.65
1996-05-16,8.45
1996-05-17,8.225
1996-05-20,8.25
1996-05-21,8.175
1996-05-22,8.025
1996-05-23,7.925
1996-05-24,8.2
1996-05-28,8.05
1996-05-29,7.925
1996-05-30,8.225
1996-05-31,8.25
1996-06-03,8.275
1996-06-04,8.175
1996-06-05,7.975
1996-06-06,8.075
1996-06-07,7.9
1996-06-10,7.725
1996-06-11,7.7
1996-06-12,7.725
1996-06-13,7.7
1996-06-14,7.775
1996-06-17,7.75
1996-06-18,7.775
1996-06-19,7.775
1996-06-20,7.75
1996-06-21,7.725
1996-06-24,7.575
1996-06-25,7.75
1996-06-26,7.675
1996-06-27,7.85
1996-06-28,8.45
1996-07-01,8.45
1996-07-02,8.375
1996-07-03,8.2
1996-07-05,8.175
1996-07-08,7.8
1996-07-09,7.875
1996-07-10,7.825
1996-07-11,7.15
1996-07-12,7.05
1996-07-15,6.725
1996-07-16,6.5
1996-07-17,6.775
1996-07-18,6.825
1996-07-19,7.1
1996-07-22,6.95
1996-07-23,6.825
1996-07-24,6.725
1996-07-25,6.9
1996-07-26,7.025
1996-07-29,7.1
1996-07-30,7.125
1996-07-31,7.15
1996-08-01,6.95
1996-08-02,7.025
1996-08-05,7.325
1996-08-06,7.425
1996-08-07,7.6
1996-08-08,7.45
1996-08-09,7.6
1996-08-12,7.675
1996-08-13,7.6
1996-08-14,7.6
1996-08-15,7.575
1996-08-16,7.55
1996-08-19,7.475
1996-08-20,7.275
1996-08-21,7.45
1996-08-22,7.5
1996-08-23,7.575
1996-08-26,7.725
1996-08-27,7.875
1996-08-28,7.975
1996-08-29,8.1
1996-08-30,8.225
1996-09-03,8.1
1996-09-04,8.05
1996-09-05,7.95
1996-09-06,7.975
1996-09-09,7.9
1996-09-10,7.775
1996-09-11,7.625
1996-09-12,7.5
1996-09-13,7.55
1996-09-16,7.825
1996-09-17,7.7
1996-09-18,7.7
1996-09-19,7.875
1996-09-20,7.85
1996-09-23,7.8
1996-09-24,7.775
