Date,CEO
2001-02-27,16.125
2001-02-28,17.046875
2001-03-01,16.25
2001-03-02,16.5
2001-03-05,16.84375
2001-03-06,16.484375
2001-03-07,16.046875
2001-03-08,16.015625
2001-03-09,15.796875
2001-03-12,15.703125
2001-03-13,15.8125
2001-03-14,15.90625
2001-03-15,15.796875
2001-03-16,15.796875
2001-03-19,16.25
2001-03-20,16.3125
2001-03-21,16.375
2001-03-22,17.25
2001-03-23,18.453125
2001-03-26,18.0
2001-03-27,17.75
2001-03-28,17.203125
2001-03-29,17.1875
2001-03-30,17.59375
2001-04-02,17.3125
2001-04-03,16.40625
2001-04-04,16.046875
2001-04-05,16.328125
2001-04-06,17.296875
2001-04-09,17.1
2001-04-10,17.02
2001-04-11,17.85
2001-04-12,17.15
2001-04-16,16.860001
2001-04-17,17.65
2001-04-18,18.91
2001-04-19,18.200001
2001-04-20,17.4
2001-04-23,17.5
2001-04-24,17.98
2001-04-25,18.4
2001-04-26,18.200001
2001-04-27,19.209999
2001-04-30,19.16
2001-05-01,19.200001
2001-05-02,18.5
2001-05-03,18.549999
2001-05-04,18.709999
2001-05-07,19.0
2001-05-08,18.799999
2001-05-09,19.34
2001-05-10,19.35
2001-05-11,20.17
2001-05-14,20.120001000000002
2001-05-15,20.469998999999998
2001-05-16,21.190001000000002
2001-05-17,20.5
2001-05-18,20.700001
2001-05-21,20.6
2001-05-22,21.299999
2001-05-23,21.030001000000002
2001-05-24,20.719998999999998
2001-05-25,21.200001
2001-05-29,20.76
2001-05-30,20.200001
2001-05-31,19.950001
2001-06-01,20.190001000000002
2001-06-04,21.200001
2001-06-05,21.85
2001-06-06,21.299999
2001-06-07,20.549999
2001-06-08,20.59
2001-06-11,19.75
2001-06-12,20.65
2001-06-13,20.1
2001-06-14,19.23
2001-06-15,18.93
2001-06-18,18.4
2001-06-19,18.690001000000002
2001-06-20,19.700001
2001-06-21,19.65
2001-06-22,19.32
2001-06-25,19.26
2001-06-26,19.450001
2001-06-27,19.4
2001-06-28,18.75
2001-06-29,18.950001
2001-07-02,19.01
2001-07-03,19.040001
2001-07-05,18.48
2001-07-06,18.200001
2001-07-09,19.0
2001-07-10,19.0
2001-07-11,19.41
2001-07-12,19.799999
2001-07-13,19.549999
2001-07-16,19.290001
2001-07-17,18.700001
2001-07-18,18.67
2001-07-19,18.6
2001-07-20,18.950001
2001-07-23,19.799999
2001-07-24,19.780001000000002
2001-07-25,19.75
2001-07-26,20.549999
2001-07-27,20.23
2001-07-30,20.950001
2001-07-31,20.65
2001-08-01,20.799999
2001-08-02,20.75
2001-08-03,20.200001
2001-08-06,19.85
2001-08-07,19.6
2001-08-08,19.75
2001-08-09,20.0
2001-08-10,20.25
2001-08-13,20.0
2001-08-14,20.15
2001-08-15,20.200001
2001-08-16,20.030001000000002
2001-08-17,19.959999
2001-08-20,20.200001
2001-08-21,20.01
2001-08-22,19.85
2001-08-23,19.75
2001-08-24,19.08
2001-08-27,18.969998999999998
2001-08-28,19.0
2001-08-29,19.5
2001-08-30,19.360001
2001-08-31,19.84
2001-09-04,20.059998999999998
2001-09-05,20.129998999999998
2001-09-06,19.889999
2001-09-07,19.549999
2001-09-10,19.93
2001-09-17,21.549999
2001-09-18,21.35
2001-09-19,21.049999
2001-09-20,21.0
2001-09-21,20.07
2001-09-24,20.309998999999998
2001-09-25,19.440001000000002
2001-09-26,19.360001
2001-09-27,19.74
2001-09-28,20.0
2001-10-01,20.0
2001-10-02,20.049999
2001-10-03,20.0
2001-10-04,19.620001000000002
2001-10-05,19.75
2001-10-08,19.48
2001-10-09,20.08
2001-10-10,20.360001
2001-10-11,20.549999
2001-10-12,20.18
2001-10-15,19.799999
2001-10-16,19.700001
2001-10-17,19.99
2001-10-18,19.57
2001-10-19,19.4
2001-10-22,19.07
2001-10-23,19.75
2001-10-24,19.73
2001-10-25,19.85
2001-10-26,19.9
2001-10-29,19.549999
2001-10-30,19.799999
2001-10-31,19.629998999999998
2001-11-01,19.85
2001-11-02,19.75
2001-11-05,19.65
2001-11-06,19.200001
2001-11-07,19.15
2001-11-08,19.35
2001-11-09,19.549999
2001-11-12,19.549999
2001-11-13,19.700001
2001-11-14,19.66
2001-11-15,18.299999
2001-11-16,17.76
2001-11-19,18.450001
2001-11-20,18.59
2001-11-21,18.6
2001-11-23,18.620001000000002
2001-11-26,18.84
2001-11-27,19.030001000000002
2001-11-28,18.469998999999998
2001-11-29,18.35
2001-11-30,19.08
2001-12-03,19.120001000000002
2001-12-04,19.299999
2001-12-05,19.190001000000002
2001-12-06,19.23
2001-12-07,18.700001
2001-12-10,18.450001
2001-12-11,18.6
2001-12-12,18.82
2001-12-13,18.23
2001-12-14,18.370001000000002
2001-12-17,18.27
2001-12-18,18.01
2001-12-19,17.5
2001-12-20,18.23
2001-12-21,18.24
2001-12-24,18.68
2001-12-26,18.719998999999998
2001-12-27,18.9
2001-12-28,19.15
2001-12-31,19.299999
2002-01-02,19.01
