Date,GBLBF
2010-01-05,96.949997
2010-01-06,97.050003
2010-01-07,96.690002
2010-01-08,97.010002
2010-01-11,98.300003
2010-01-12,98.300003
2010-01-13,98.300003
2010-01-14,97.699997
2010-01-15,97.349998
2010-01-19,97.349998
2010-01-20,97.349998
2010-01-21,93.949997
2010-01-22,93.949997
2010-01-25,93.949997
2010-01-26,93.400002
2010-01-27,93.050003
2010-01-28,93.050003
2010-01-29,91.589996
2010-02-01,92.599998
2010-02-02,92.599998
2010-02-03,92.900002
2010-02-04,90.5
2010-02-05,86.349998
2010-02-08,86.349998
2010-02-09,88.019997
2010-02-10,87.949997
2010-02-11,88.599998
2010-02-12,87.699997
2010-02-16,87.699997
2010-02-17,88.400002
2010-02-18,88.849998
2010-02-19,88.400002
2010-02-22,88.769997
2010-02-23,87.650002
2010-02-24,88.0
2010-02-25,86.75
2010-02-26,86.75
2010-03-01,86.75
2010-03-02,87.400002
2010-03-03,87.400002
2010-03-04,88.5
2010-03-05,88.699997
2010-03-08,88.699997
2010-03-09,89.849998
2010-03-10,89.849998
2010-03-11,89.849998
2010-03-12,89.75
2010-03-15,89.25
2010-03-16,89.25
2010-03-17,90.849998
2010-03-18,90.849998
2010-03-19,90.849998
2010-03-22,90.849998
2010-03-23,90.849998
2010-03-24,90.849998
2010-03-25,90.849998
2010-03-26,90.849998
2010-03-29,88.349998
2010-03-30,88.349998
2010-03-31,88.349998
2010-04-01,88.900002
2010-04-05,88.900002
2010-04-06,88.650002
2010-04-07,89.0
2010-04-08,89.0
2010-04-09,90.349998
2010-04-12,91.400002
2010-04-13,91.0
2010-04-14,91.0
2010-04-15,91.0
2010-04-16,91.0
2010-04-19,91.0
2010-04-20,88.25
2010-04-21,88.25
2010-04-22,88.25
2010-04-23,87.150002
2010-04-26,87.849998
2010-04-27,87.849998
2010-04-28,87.849998
2010-04-29,83.699997
2010-04-30,83.699997
2010-05-03,84.150002
2010-05-04,80.900002
2010-05-05,77.650002
2010-05-06,77.650002
2010-05-07,77.650002
2010-05-10,78.25
2010-05-11,76.849998
2010-05-12,77.949997
2010-05-13,77.949997
2010-05-14,74.68
2010-05-17,74.68
2010-05-18,74.68
2010-05-19,72.650002
2010-05-20,72.650002
2010-05-21,72.650002
2010-05-24,71.400002
2010-05-25,68.349998
2010-05-26,68.900002
2010-05-27,72.25
2010-05-28,72.599998
2010-06-01,71.449997
2010-06-02,71.449997
2010-06-03,72.25
2010-06-04,70.349998
2010-06-07,70.349998
2010-06-08,68.730003
2010-06-09,68.730003
2010-06-10,68.730003
2010-06-11,68.730003
2010-06-14,68.730003
2010-06-15,74.650002
2010-06-16,74.650002
2010-06-17,74.650002
2010-06-18,74.650002
2010-06-21,76.209999
2010-06-22,76.209999
2010-06-23,76.209999
2010-06-24,76.209999
2010-06-25,71.900002
2010-06-28,71.900002
2010-06-29,69.75
2010-06-30,69.650002
2010-07-01,69.650002
2010-07-02,69.650002
2010-07-06,71.5
2010-07-07,71.5
2010-07-08,73.199997
2010-07-09,73.199997
2010-07-12,73.199997
2010-07-13,74.870003
2010-07-14,74.870003
2010-07-15,76.050003
2010-07-16,76.050003
2010-07-19,76.050003
2010-07-20,76.050003
2010-07-21,76.050003
2010-07-22,76.050003
2010-07-23,76.050003
2010-07-26,76.050003
2010-07-27,76.050003
2010-07-28,76.050003
2010-07-29,77.400002
2010-07-30,77.449997
2010-08-02,77.449997
2010-08-03,80.900002
2010-08-04,80.900002
2010-08-05,80.540001
2010-08-06,80.540001
2010-08-09,80.540001
2010-08-10,80.540001
2010-08-11,75.800003
2010-08-12,75.800003
2010-08-13,75.949997
2010-08-16,76.25
2010-08-17,76.25
2010-08-18,77.25
2010-08-19,77.25
2010-08-20,77.25
2010-08-23,73.75
2010-08-24,72.800003
2010-08-25,72.25
2010-08-26,73.650002
2010-08-27,73.650002
2010-08-30,73.449997
2010-08-31,73.449997
2010-09-01,73.449997
2010-09-02,73.449997
2010-09-03,77.449997
2010-09-07,75.599998
2010-09-08,77.199997
2010-09-09,77.199997
2010-09-10,76.050003
2010-09-13,78.75
2010-09-14,78.949997
2010-09-15,78.75
2010-09-16,79.209999
2010-09-17,79.209999
2010-09-20,79.599998
2010-09-21,80.0
2010-09-22,80.0
2010-09-23,80.0
2010-09-24,80.0
2010-09-27,80.0
2010-09-28,80.0
2010-09-29,80.0
2010-09-30,80.0
2010-10-01,84.0
2010-10-04,84.0
2010-10-05,84.650002
2010-10-06,86.400002
2010-10-07,85.550003
2010-10-08,85.650002
2010-10-11,85.650002
2010-10-12,85.220001
2010-10-13,85.220001
2010-10-14,85.220001
2010-10-15,85.220001
2010-10-18,85.220001
2010-10-19,85.220001
2010-10-20,86.550003
2010-10-21,86.550003
2010-10-22,86.550003
2010-10-25,88.349998
2010-10-26,87.800003
2010-10-27,87.800003
2010-10-28,87.800003
2010-10-29,87.800003
2010-11-01,87.800003
2010-11-02,87.800003
2010-11-03,87.800003
2010-11-04,87.800003
2010-11-05,91.480003
2010-11-08,91.480003
2010-11-09,91.480003
2010-11-10,91.480003
2010-11-11,91.480003
2010-11-12,91.480003
2010-11-15,91.480003
2010-11-16,91.480003
2010-11-17,91.480003
2010-11-18,91.480003
2010-11-19,87.029999
2010-11-22,87.029999
2010-11-23,87.029999
2010-11-24,87.029999
2010-11-26,87.029999
2010-11-29,87.029999
2010-11-30,78.349998
2010-12-01,78.349998
2010-12-02,81.349998
2010-12-03,82.230003
2010-12-06,82.230003
2010-12-07,82.230003
2010-12-08,82.230003
2010-12-09,82.599998
2010-12-10,82.599998
2010-12-13,82.599998
2010-12-14,82.599998
2010-12-15,82.599998
2010-12-16,83.800003
2010-12-17,83.699997
2010-12-20,83.5
2010-12-21,84.449997
2010-12-22,84.449997
2010-12-23,84.300003
2010-12-27,84.300003
2010-12-28,83.269997
2010-12-29,83.269997
2010-12-30,84.440002
2010-12-31,84.440002
2011-01-03,85.099998
2011-01-04,85.099998
2011-01-05,85.099998
2011-01-06,85.099998
2011-01-07,82.849998
2011-01-10,82.849998
2011-01-11,83.5
2011-01-12,83.5
2011-01-13,83.5
2011-01-14,87.050003
2011-01-18,87.050003
2011-01-19,87.050003
2011-01-20,87.050003
2011-01-21,87.050003
2011-01-24,87.050003
2011-01-25,87.050003
2011-01-26,87.050003
2011-01-27,88.389999
2011-01-28,88.389999
2011-01-31,88.389999
2011-02-01,93.050003
2011-02-02,93.050003
2011-02-03,90.75
2011-02-04,90.75
2011-02-07,90.75
2011-02-08,92.0
2011-02-09,92.0
2011-02-10,92.0
2011-02-11,92.0
2011-02-14,92.0
2011-02-15,92.0
2011-02-16,92.0
2011-02-17,92.0
2011-02-18,92.0
2011-02-22,92.0
2011-02-23,92.0
2011-02-24,92.0
2011-02-25,92.0
2011-02-28,91.58000200000001
2011-03-01,91.58000200000001
2011-03-02,90.559998
2011-03-03,90.559998
2011-03-04,93.949997
2011-03-07,93.099998
2011-03-08,93.099998
2011-03-09,93.099998
2011-03-10,93.099998
2011-03-11,93.099998
2011-03-14,93.099998
2011-03-15,86.849998
2011-03-16,86.849998
2011-03-17,87.449997
2011-03-18,87.449997
2011-03-21,89.75
2011-03-22,89.75
2011-03-23,90.050003
2011-03-24,91.800003
2011-03-25,91.5
2011-03-28,92.050003
2011-03-29,92.400002
2011-03-30,92.400002
2011-03-31,92.400002
2011-04-01,94.050003
2011-04-04,94.050003
2011-04-05,94.75
2011-04-06,96.849998
2011-04-07,96.849998
2011-04-08,97.650002
2011-04-11,97.650002
2011-04-12,97.650002
2011-04-13,97.349998
2011-04-14,97.349998
2011-04-15,97.349998
2011-04-18,90.349998
2011-04-19,90.349998
2011-04-20,90.349998
2011-04-21,90.349998
2011-04-25,90.349998
2011-04-26,90.349998
2011-04-27,97.050003
2011-04-28,97.050003
2011-04-29,97.050003
2011-05-02,99.5
2011-05-03,99.5
2011-05-04,99.5
2011-05-05,99.5
2011-05-06,99.5
2011-05-09,99.5
2011-05-10,99.5
2011-05-11,94.199997
2011-05-12,93.550003
2011-05-13,91.849998
2011-05-16,91.849998
2011-05-17,91.849998
2011-05-18,91.849998
2011-05-19,91.849998
2011-05-20,91.849998
2011-05-23,91.849998
2011-05-24,91.849998
2011-05-25,88.800003
2011-05-26,88.800003
2011-05-27,88.800003
2011-05-31,88.800003
2011-06-01,88.800003
2011-06-02,88.800003
2011-06-03,89.849998
2011-06-06,89.849998
2011-06-07,89.849998
2011-06-08,89.849998
2011-06-09,89.849998
2011-06-10,86.800003
2011-06-13,86.800003
2011-06-14,88.25
2011-06-15,84.82
2011-06-16,84.82
2011-06-17,84.82
2011-06-20,85.050003
2011-06-21,85.050003
2011-06-22,85.050003
2011-06-23,83.800003
2011-06-24,83.800003
2011-06-27,83.800003
2011-06-28,83.800003
2011-06-29,83.800003
2011-06-30,83.800003
2011-07-01,83.800003
2011-07-05,83.800003
2011-07-06,83.800003
2011-07-07,83.800003
2011-07-08,83.800003
2011-07-11,83.800003
2011-07-12,82.900002
2011-07-13,84.25
2011-07-14,84.25
2011-07-15,84.25
2011-07-18,84.25
2011-07-19,84.25
2011-07-20,84.25
2011-07-21,84.25
2011-07-22,84.25
2011-07-25,84.25
2011-07-26,84.25
2011-07-27,84.489998
2011-07-28,84.699997
2011-07-29,84.699997
2011-08-01,83.779999
2011-08-02,81.25
2011-08-03,81.019997
2011-08-04,81.019997
2011-08-05,77.150002
2011-08-08,73.550003
2011-08-09,73.870003
2011-08-10,73.870003
2011-08-11,76.400002
2011-08-12,76.400002
2011-08-15,76.400002
2011-08-16,76.400002
2011-08-17,76.400002
2011-08-18,76.400002
2011-08-19,76.400002
2011-08-22,76.400002
2011-08-23,77.5
2011-08-24,77.5
2011-08-25,77.5
2011-08-26,77.5
2011-08-29,77.5
2011-08-30,77.5
2011-08-31,80.349998
2011-09-01,80.349998
2011-09-02,80.349998
2011-09-06,80.349998
2011-09-07,80.349998
2011-09-08,80.349998
2011-09-09,80.349998
2011-09-12,80.349998
2011-09-13,80.349998
2011-09-14,80.349998
2011-09-15,80.349998
2011-09-16,80.349998
2011-09-19,80.349998
2011-09-20,80.349998
2011-09-21,80.349998
2011-09-22,80.349998
2011-09-23,80.349998
2011-09-26,80.349998
2011-09-27,80.349998
2011-09-28,80.349998
2011-09-29,80.349998
2011-09-30,80.349998
2011-10-03,80.349998
2011-10-04,80.349998
2011-10-05,80.349998
2011-10-06,80.349998
2011-10-07,72.099998
2011-10-10,72.099998
2011-10-11,74.760002
2011-10-12,74.760002
2011-10-13,76.800003
2011-10-14,79.150002
2011-10-17,76.389999
2011-10-18,75.650002
2011-10-19,75.650002
2011-10-20,75.650002
2011-10-21,75.650002
2011-10-24,75.650002
2011-10-25,75.650002
2011-10-26,75.650002
2011-10-27,75.650002
2011-10-28,75.650002
2011-10-31,75.650002
2011-11-01,75.650002
2011-11-02,75.650002
2011-11-03,75.650002
2011-11-04,75.650002
2011-11-07,75.650002
2011-11-08,75.650002
2011-11-09,75.650002
2011-11-10,75.650002
2011-11-11,75.699997
2011-11-14,73.559998
2011-11-15,73.559998
2011-11-16,73.559998
2011-11-17,73.559998
2011-11-18,73.559998
2011-11-21,73.559998
2011-11-22,73.559998
2011-11-23,73.559998
2011-11-25,73.559998
2011-11-28,68.449997
2011-11-29,68.449997
2011-11-30,68.449997
2011-12-01,68.449997
2011-12-02,70.400002
2011-12-05,70.839996
2011-12-06,70.839996
2011-12-07,70.839996
2011-12-08,70.839996
2011-12-09,69.989998
2011-12-12,66.900002
2011-12-13,66.849998
2011-12-14,64.349998
2011-12-15,64.349998
2011-12-16,64.349998
2011-12-19,64.349998
2011-12-20,67.779999
2011-12-21,65.589996
2011-12-22,65.589996
2011-12-23,65.589996
2011-12-27,65.589996
2011-12-28,65.589996
2011-12-29,65.589996
2011-12-30,65.589996
2012-01-03,69.150002
2012-01-04,69.150002
2012-01-05,67.25
