Date,VLO
1982-01-04,5.513026
1982-01-05,5.427331
1982-01-06,5.113117
1982-01-07,4.998857
1982-01-08,5.0274220000000005
1982-01-11,4.713208
1982-01-12,4.827468
1982-01-13,4.627514
1982-01-14,4.770338
1982-01-15,4.913163
1982-01-18,4.884598
1982-01-19,4.484689
1982-01-20,4.627514
1982-01-21,4.598949
1982-01-22,4.598949
1982-01-25,4.570384
1982-01-26,4.456124
1982-01-27,4.627514
1982-01-28,4.741773
1982-01-29,4.798903
1982-02-01,4.656079
1982-02-02,4.570384
1982-02-03,4.513254
1982-02-04,4.541819
1982-02-05,4.484689
1982-02-08,4.2847349999999995
1982-02-09,4.25617
1982-02-10,4.056216
1982-02-11,4.0276510000000005
1982-02-12,4.113346
1982-02-16,4.0847809999999996
1982-02-17,4.0847809999999996
1982-02-18,4.2276050000000005
1982-02-19,4.19904
1982-02-22,4.056216
1982-02-23,4.0847809999999996
1982-02-24,4.141911
1982-02-25,4.2276050000000005
1982-02-26,4.2847349999999995
1982-03-01,4.25617
1982-03-02,4.113346
1982-03-03,4.0276510000000005
1982-03-04,3.742002
1982-03-05,3.656307
1982-03-08,3.4277879999999996
1982-03-09,3.5134830000000004
1982-03-10,3.656307
1982-03-11,3.684872
1982-03-12,3.684872
1982-03-15,3.799132
1982-03-16,3.827697
1982-03-17,3.8848260000000003
1982-03-18,4.113346
1982-03-19,4.113346
1982-03-22,4.113346
1982-03-23,4.141911
1982-03-24,3.9133910000000003
1982-03-25,3.9705209999999997
1982-03-26,3.9133910000000003
1982-03-29,3.799132
1982-03-30,3.8848260000000003
1982-03-31,4.0276510000000005
1982-04-01,4.0276510000000005
1982-04-02,4.170475
1982-04-05,4.170475
1982-04-06,4.170475
1982-04-07,4.170475
1982-04-08,4.141911
1982-04-12,3.9705209999999997
1982-04-13,3.8848260000000003
1982-04-14,3.827697
1982-04-15,3.799132
1982-04-16,3.827697
1982-04-19,3.7134370000000003
1982-04-20,3.7134370000000003
1982-04-21,3.684872
1982-04-22,3.8848260000000003
1982-04-23,4.0276510000000005
1982-04-26,4.2276050000000005
1982-04-27,4.3133
1982-04-28,4.656079
1982-04-29,4.398994
1982-04-30,4.484689
1982-05-03,4.513254
1982-05-04,4.370430000000001
1982-05-05,4.3133
1982-05-06,4.370430000000001
1982-05-07,4.541819
1982-05-10,4.656079
1982-05-11,4.884598
1982-05-12,4.9417279999999995
1982-05-13,4.913163
1982-05-14,4.913163
1982-05-17,4.713208
1982-05-18,4.656079
1982-05-19,4.6846440000000005
1982-05-20,4.570384
1982-05-21,4.513254
1982-05-24,4.570384
1982-05-25,4.627514
1982-05-26,4.484689
1982-05-27,4.398994
1982-05-28,4.427559
1982-06-01,4.456124
1982-06-02,4.570384
1982-06-03,4.541819
1982-06-04,4.513254
1982-06-07,4.484689
1982-06-08,4.456124
1982-06-09,4.341865
1982-06-10,4.25617
1982-06-11,4.398994
1982-06-14,4.341865
1982-06-15,4.3133
1982-06-16,4.2276050000000005
1982-06-17,3.941956
1982-06-18,3.770567
1982-06-21,3.770567
1982-06-22,3.799132
1982-06-23,3.9133910000000003
1982-06-24,3.9705209999999997
1982-06-25,3.941956
1982-06-28,3.999086
1982-06-29,3.827697
1982-06-30,3.684872
1982-07-01,3.5991769999999996
1982-07-02,3.5991769999999996
1982-07-06,3.627742
1982-07-07,3.5991769999999996
1982-07-08,3.656307
1982-07-09,3.656307
1982-07-12,3.5134830000000004
1982-07-13,3.399223
1982-07-14,3.399223
1982-07-15,3.456353
1982-07-16,3.4277879999999996
1982-07-19,3.456353
1982-07-20,3.4277879999999996
1982-07-21,3.456353
1982-07-22,3.7134370000000003
1982-07-23,3.7134370000000003
1982-07-26,3.684872
1982-07-27,3.570612
1982-07-28,3.456353
1982-07-29,3.456353
1982-07-30,3.4277879999999996
1982-08-02,3.456353
1982-08-03,3.5134830000000004
1982-08-04,3.370658
1982-08-05,3.313528
1982-08-06,3.313528
1982-08-09,3.227834
1982-08-10,3.170704
1982-08-11,3.170704
1982-08-12,3.142139
1982-08-13,3.1135740000000003
1982-08-16,3.085009
1982-08-17,3.313528
1982-08-18,3.313528
1982-08-19,3.256398
1982-08-20,3.342093
1982-08-23,3.342093
1982-08-24,3.484918
1982-08-25,3.8848260000000003
1982-08-26,4.19904
1982-08-27,4.0276510000000005
1982-08-30,3.8848260000000003
1982-08-31,3.827697
1982-09-01,3.770567
1982-09-02,3.8848260000000003
1982-09-03,3.9133910000000003
1982-09-07,3.8848260000000003
1982-09-08,4.113346
1982-09-09,4.2276050000000005
1982-09-10,4.170475
1982-09-13,4.056216
1982-09-14,4.170475
1982-09-15,4.056216
1982-09-16,4.113346
1982-09-17,4.056216
1982-09-20,3.999086
1982-09-21,4.113346
1982-09-22,3.941956
1982-09-23,4.056216
1982-09-24,4.141911
1982-09-27,4.2847349999999995
1982-09-28,4.2847349999999995
1982-09-29,4.141911
1982-09-30,4.0847809999999996
1982-10-01,4.0847809999999996
1982-10-04,4.056216
1982-10-05,4.056216
1982-10-06,4.370430000000001
1982-10-07,4.398994
1982-10-08,4.456124
1982-10-11,4.398994
1982-10-12,4.170475
1982-10-13,4.513254
1982-10-14,4.741773
1982-10-15,4.6846440000000005
1982-10-18,4.856033
1982-10-19,4.970293
1982-10-20,5.141682
1982-10-21,5.198812
1982-10-22,5.141682
1982-10-25,4.770338
1982-10-26,4.713208
1982-10-27,4.827468
