Date,HAE
1991-05-10,5.9375
1991-05-13,5.9375
1991-05-14,5.96875
1991-05-15,5.8125
1991-05-16,6.21875
1991-05-17,6.125
1991-05-20,6.03125
1991-05-21,6.03125
1991-05-22,6.0
1991-05-23,6.125
1991-05-24,6.25
1991-05-28,6.25
1991-05-29,6.5625
1991-05-30,6.5
1991-05-31,6.96875
1991-06-03,6.90625
1991-06-04,6.71875
1991-06-05,6.59375
1991-06-06,6.625
1991-06-07,6.65625
1991-06-10,6.78125
1991-06-11,6.78125
1991-06-12,6.625
1991-06-13,6.46875
1991-06-14,6.5
1991-06-17,6.5
1991-06-18,6.46875
1991-06-19,6.4375
1991-06-20,6.1875
1991-06-21,6.28125
1991-06-24,6.3125
1991-06-25,6.3125
1991-06-26,6.3125
1991-06-27,6.25
1991-06-28,6.25
1991-07-01,6.21875
1991-07-02,6.25
1991-07-03,6.25
1991-07-05,6.21875
1991-07-08,6.3125
1991-07-09,6.40625
1991-07-10,6.40625
1991-07-11,6.5
1991-07-12,6.65625
1991-07-15,6.8125
1991-07-16,7.125
1991-07-17,6.5
1991-07-18,6.5625
1991-07-19,6.65625
1991-07-22,6.84375
1991-07-23,6.5
1991-07-24,6.625
1991-07-25,6.75
1991-07-26,6.84375
1991-07-29,6.90625
1991-07-30,6.9375
1991-07-31,6.9375
1991-08-01,6.875
1991-08-02,6.6875
1991-08-05,6.625
1991-08-06,6.6875
1991-08-07,6.75
1991-08-08,6.71875
1991-08-09,6.71875
1991-08-12,6.71875
1991-08-13,6.75
1991-08-14,6.8125
1991-08-15,6.8125
1991-08-16,6.8125
1991-08-19,6.6875
1991-08-20,6.71875
1991-08-21,6.75
1991-08-22,6.78125
1991-08-23,6.90625
1991-08-26,6.84375
1991-08-27,6.9375
1991-08-28,7.03125
1991-08-29,6.9375
1991-08-30,6.96875
1991-09-03,6.875
1991-09-04,6.8125
1991-09-05,6.8125
1991-09-06,6.78125
1991-09-09,6.75
1991-09-10,6.78125
1991-09-11,6.6875
1991-09-12,6.71875
1991-09-13,6.9375
1991-09-16,6.8125
1991-09-17,6.8125
1991-09-18,6.8125
1991-09-19,6.71875
1991-09-20,6.75
1991-09-23,6.84375
1991-09-24,6.90625
1991-09-25,7.0
1991-09-26,7.0625
1991-09-27,7.0
1991-09-30,6.9375
1991-10-01,6.96875
1991-10-02,6.71875
1991-10-03,6.6875
1991-10-04,6.6875
1991-10-07,6.59375
1991-10-08,6.5625
1991-10-09,6.5625
1991-10-10,6.53125
1991-10-11,6.53125
1991-10-14,6.4375
1991-10-15,6.34375
1991-10-16,6.25
1991-10-17,6.5
1991-10-18,7.09375
1991-10-21,7.84375
1991-10-22,7.46875
1991-10-23,7.53125
1991-10-24,7.125
1991-10-25,7.125
1991-10-28,7.03125
1991-10-29,7.5
1991-10-30,7.8125
1991-10-31,7.9375
1991-11-01,8.0625
1991-11-04,7.96875
1991-11-05,7.4375
1991-11-06,7.4375
1991-11-07,7.46875
1991-11-08,7.5625
1991-11-11,7.5625
1991-11-12,7.6875
1991-11-13,7.625
1991-11-14,7.75
1991-11-15,6.875
1991-11-18,7.40625
1991-11-19,7.5
1991-11-20,7.46875
1991-11-21,7.5
1991-11-22,7.5625
1991-11-25,7.3125
1991-11-26,7.1875
1991-11-27,7.25
1991-11-29,7.375
1991-12-02,7.375
1991-12-03,7.5
1991-12-04,7.5625
1991-12-05,7.5
1991-12-06,7.5
1991-12-09,7.46875
1991-12-10,7.5
1991-12-11,7.625
1991-12-12,7.75
1991-12-13,7.625
1991-12-16,7.5625
1991-12-17,7.84375
1991-12-18,8.0
1991-12-19,7.875
1991-12-20,7.8125
1991-12-23,7.6875
1991-12-24,8.40625
1991-12-26,8.75
1991-12-27,8.75
1991-12-30,9.0
1991-12-31,9.46875
1992-01-02,9.09375
1992-01-03,8.96875
1992-01-06,8.75
1992-01-07,8.78125
1992-01-08,8.6875
