Date,TRH
2010-03-02,78.0
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-05,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-03,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,78.0
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-14,
2010-06-15,
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,78.0
2010-09-16,79.0
2010-09-17,
2010-09-20,80.0
2010-09-21,
2010-09-22,
2010-09-23,
2010-09-24,
2010-09-27,
2010-09-28,80.0
2010-09-29,
2010-09-30,82.0
2010-10-01,
2010-10-04,
2010-10-05,
2010-10-06,
2010-10-07,
2010-10-08,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-25,
2010-10-26,
2010-10-27,
2010-10-28,
2010-10-29,
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,
2010-11-15,81.0
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-26,
2010-11-29,
2010-11-30,333.0
2010-12-01,
2010-12-02,82.0
2010-12-03,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-27,
2010-12-28,
2010-12-29,
2010-12-30,
2010-12-31,
2011-01-03,
2011-01-04,
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-10,
2011-01-11,
2011-01-12,
2011-01-13,
2011-01-14,
2011-01-18,
2011-01-19,
2011-01-20,83.0
2011-01-21,
2011-01-24,
2011-01-25,
2011-01-26,
2011-01-27,
2011-01-28,
2011-01-31,
2011-02-01,
2011-02-02,
2011-02-03,
2011-02-04,
2011-02-07,
2011-02-08,
2011-02-09,
2011-02-10,
2011-02-11,
2011-02-14,
2011-02-15,
2011-02-16,
2011-02-17,
2011-02-18,
2011-02-22,
2011-02-23,
2011-02-24,
2011-02-25,
2011-02-28,
2011-03-01,
2011-03-02,
2011-03-03,
2011-03-04,
2011-03-07,
2011-03-08,
2011-03-09,
2011-03-10,
2011-03-11,
2011-03-14,
2011-03-15,
2011-03-16,
2011-03-17,
2011-03-18,
2011-03-21,
2011-03-22,
2011-03-23,
2011-03-24,
2011-03-25,
2011-03-28,
2011-03-29,
2011-03-30,
2011-03-31,
2011-04-01,
2011-04-04,
2011-04-05,
2011-04-06,
2011-04-07,
2011-04-08,
2011-04-11,
2011-04-12,
2011-04-13,
2011-04-14,
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-02,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,
2011-05-31,
2011-06-01,
2011-06-02,
2011-06-03,
2011-06-06,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-13,
2011-06-14,
2011-06-15,
2011-06-16,
2011-06-17,
2011-06-20,
2011-06-21,
2011-06-22,
2011-06-23,
2011-06-24,
2011-06-27,
2011-06-28,
2011-06-29,
2011-06-30,
2011-07-01,
2011-07-05,
2011-07-06,
2011-07-07,
2011-07-08,
2011-07-11,
2011-07-12,
2011-07-13,
2011-07-14,
2011-07-15,
2011-07-18,
2011-07-19,
2011-07-20,
2011-07-21,
2011-07-22,
2011-07-25,
2011-07-26,
2011-07-27,
2011-07-28,
2011-07-29,
2011-08-01,
2011-08-02,
2011-08-03,
2011-08-04,
2011-08-05,
2011-08-08,
2011-08-09,89.0
2011-08-10,
2011-08-11,
2011-08-12,
2011-08-15,
2011-08-16,
2011-08-17,
2011-08-18,92.0
2011-08-19,
2011-08-22,
2011-08-23,93.0
2011-08-24,95.0
2011-08-25,94.0
2011-08-26,
2011-08-29,94.0
2011-08-30,93.0
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-06,
2011-09-07,
2011-09-08,
2011-09-09,
2011-09-12,91.0
2011-09-13,
2011-09-14,
2011-09-15,
2011-09-16,
2011-09-19,
2011-09-20,
2011-09-21,
2011-09-22,
2011-09-23,
2011-09-26,
2011-09-27,
2011-09-28,
2011-09-29,
2011-09-30,
2011-10-03,
2011-10-04,
2011-10-05,
2011-10-06,
2011-10-07,
2011-10-10,
2011-10-11,
2011-10-12,
2011-10-13,
2011-10-14,
2011-10-17,
2011-10-18,
2011-10-19,
2011-10-20,
2011-10-21,
2011-10-24,
2011-10-25,
2011-10-26,
2011-10-27,
2011-10-28,
2011-10-31,
2011-11-01,
2011-11-02,
2011-11-03,
2011-11-04,
2011-11-07,
2011-11-08,
2011-11-09,86.0
2011-11-10,
2011-11-11,
2011-11-14,
2011-11-15,
2011-11-16,
2011-11-17,84.0
2011-11-18,
2011-11-21,84.0
2011-11-22,84.0
2011-11-23,85.0
2011-11-25,
2011-11-28,85.0
2011-11-29,85.0
2011-11-30,85.0
2011-12-01,85.0
2011-12-02,
2011-12-05,85.0
2011-12-06,85.0
2011-12-07,85.0
2011-12-08,85.0
2011-12-09,
2011-12-12,82.0
2011-12-13,82.0
2011-12-14,82.0
2011-12-15,82.0
2011-12-16,
2011-12-19,82.0
2011-12-20,82.0
2011-12-21,83.0
2011-12-22,83.0
2011-12-23,
2011-12-27,84.0
2011-12-28,84.0
2011-12-29,84.0
2011-12-30,
2012-01-03,84.0
2012-01-04,84.0
2012-01-05,84.0
2012-01-06,
2012-01-09,84.0
2012-01-10,84.0
2012-01-11,83.0
2012-01-12,83.0
2012-01-13,
2012-01-17,83.0
2012-01-18,83.0
2012-01-19,83.0
2012-01-20,
2012-01-23,83.0
2012-01-24,83.0
2012-01-25,83.0
2012-01-26,83.0
2012-01-27,
2012-01-30,83.0
2012-01-31,82.0
2012-02-01,82.0
2012-02-02,82.0
2012-02-03,
2012-02-06,82.0
2012-02-07,82.0
2012-02-08,82.0
2012-02-09,82.0
2012-02-10,
2012-02-13,82.0
2012-02-14,82.0
2012-02-15,82.0
2012-02-16,82.0
2012-02-17,
2012-02-21,81.0
2012-02-22,81.0
2012-02-23,79.0
2012-02-24,
2012-02-27,80.0
2012-02-28,80.0
2012-02-29,79.0
2012-03-01,79.0
2012-03-02,
2012-03-05,80.0
2012-03-06,80.0
2012-03-07,80.0
2012-03-08,80.0
2012-03-09,
2012-03-12,81.0
2012-03-13,81.0
2012-03-14,81.0
2012-03-15,81.0
2012-03-16,
2012-03-19,80.0
2012-03-20,81.0
2012-03-21,81.0
2012-03-22,81.0
2012-03-23,
2012-03-26,81.0
2012-03-27,78.0
2012-03-28,78.0
2012-03-29,78.0
2012-03-30,
2012-04-02,76.0
2012-04-03,76.0
2012-04-04,76.0
2012-04-05,76.0
2012-04-09,74.0
2012-04-10,74.0
2012-04-11,74.0
2012-04-12,74.0
2012-04-13,
2012-04-16,74.0
2012-04-17,74.0
2012-04-18,74.0
2012-04-19,74.0
2012-04-20,
2012-04-23,74.0
2012-04-24,74.0
2012-04-25,74.0
2012-04-26,74.0
2012-04-27,
2012-04-30,74.0
2012-05-01,74.0
2012-05-02,74.0
2012-05-03,74.0
2012-05-04,
2012-05-07,74.0
2012-05-08,74.0
2012-05-09,74.0
2012-05-10,74.0
2012-05-11,
2012-05-14,74.0
2012-05-15,74.0
2012-05-16,74.0
2012-05-17,74.0
2012-05-18,
2012-05-21,74.0
2012-05-22,75.0
2012-05-23,76.0
2012-05-24,77.0
2012-05-25,
2012-05-29,81.0
2012-05-30,84.0
2012-05-31,84.0
2012-06-01,
2012-06-04,84.0
2012-06-05,83.0
2012-06-06,83.0
2012-06-07,82.0
2012-06-08,
2012-06-11,82.0
2012-06-12,81.0
2012-06-13,81.0
2012-06-14,82.0
2012-06-15,
2012-06-18,82.0
2012-06-19,81.0
2012-06-20,82.0
2012-06-21,82.0
2012-06-22,
2012-06-25,83.0
2012-06-26,83.0
2012-06-27,83.0
2012-06-28,83.0
2012-06-29,
2012-07-02,83.0
2012-07-03,83.0
2012-07-05,83.0
2012-07-06,
2012-07-09,83.0
2012-07-10,83.0
2012-07-11,83.0
2012-07-12,83.0
2012-07-13,
2012-07-16,83.0
2012-07-17,83.0
2012-07-18,83.0
2012-07-19,83.0
2012-07-20,
2012-07-23,83.0
2012-07-24,83.0
2012-07-25,83.0
2012-07-26,83.0
2012-07-27,
2012-07-30,83.0
2012-07-31,83.0
2012-08-01,83.0
2012-08-02,83.0
2012-08-03,
2012-08-06,83.0
2012-08-07,82.0
2012-08-08,82.0
2012-08-09,82.0
2012-08-10,
2012-08-13,82.0
2012-08-14,82.0
2012-08-15,82.0
2012-08-16,82.0
2012-08-17,
2012-08-20,82.0
2012-08-21,82.0
2012-08-22,82.0
2012-08-23,83.0
2012-08-24,
2012-08-27,83.0
2012-08-28,83.0
2012-08-29,86.0
2012-08-30,86.0
2012-08-31,
2012-09-04,84.0
2012-09-05,85.0
2012-09-06,84.0
2012-09-07,
2012-09-10,84.0
2012-09-11,83.0
2012-09-12,83.0
2012-09-13,83.0
2012-09-14,
2012-09-17,81.0
2012-09-18,81.0
2012-09-19,82.0
2012-09-20,83.0
2012-09-21,
2012-09-24,83.0
2012-09-25,83.0
2012-09-26,83.0
2012-09-27,83.0
2012-09-28,
2012-10-01,84.0
2012-10-02,84.0
2012-10-03,84.0
2012-10-04,84.0
2012-10-05,
2012-10-08,84.0
2012-10-09,84.0
2012-10-10,85.0
2012-10-11,85.0
2012-10-12,
2012-10-15,85.0
2012-10-16,85.0
2012-10-17,85.0
2012-10-18,85.0
2012-10-19,
2012-10-22,85.0
2012-10-23,85.0
2012-10-24,85.0
2012-10-25,85.0
2012-10-26,
2012-10-31,85.0
2012-11-01,85.0
2012-11-02,
2012-11-05,85.0
2012-11-06,85.0
2012-11-07,85.0
2012-11-08,85.0
2012-11-09,
2012-11-12,85.0
2012-11-13,85.0
2012-11-14,85.0
2012-11-15,85.0
2012-11-16,
2012-11-19,85.0
2012-11-20,85.0
2012-11-21,85.0
2012-11-23,
2012-11-26,85.0
2012-11-27,84.0
2012-11-28,84.0
2012-11-29,84.0
2012-11-30,
2012-12-03,84.0
2012-12-04,84.0
