Date,BPY
2014-02-13,19.440001000000002
2014-02-14,19.450001
2014-02-18,19.709999
2014-02-19,19.5
2014-02-20,19.66
2014-02-21,19.84
2014-02-24,19.82
2014-02-25,19.75
2014-02-26,19.5
2014-02-27,19.5
2014-02-28,19.34
2014-03-03,19.5
2014-03-04,19.91
2014-03-05,19.76
2014-03-06,19.639999
2014-03-07,19.549999
2014-03-10,19.49
2014-03-11,19.620001000000002
2014-03-12,19.49
2014-03-13,19.27
2014-03-14,19.0
2014-03-17,19.0
2014-03-18,18.82
2014-03-19,18.799999
2014-03-20,18.91
2014-03-21,19.1
2014-03-24,18.610001
2014-03-25,18.84
2014-03-26,18.790001
2014-03-27,18.780001000000002
2014-03-28,18.85
2014-03-31,18.700001
2014-04-01,18.91
2014-04-02,18.99
2014-04-03,18.65
2014-04-04,18.84
2014-04-07,18.93
2014-04-08,19.129998999999998
2014-04-09,19.129998999999998
2014-04-10,19.08
2014-04-11,19.040001
2014-04-14,19.190001000000002
2014-04-15,19.219998999999998
2014-04-16,19.42
2014-04-17,19.6
2014-04-21,19.65
2014-04-22,19.780001000000002
2014-04-23,19.65
2014-04-24,19.59
2014-04-25,19.52
2014-04-28,19.33
2014-04-29,19.34
2014-04-30,19.459999
2014-05-01,19.5
2014-05-02,19.469998999999998
2014-05-05,19.440001000000002
2014-05-06,19.290001
2014-05-07,19.700001
2014-05-08,19.940001000000002
2014-05-09,20.049999
2014-05-12,20.1
2014-05-13,19.959999
2014-05-14,20.01
2014-05-15,19.879998999999998
2014-05-16,20.02
2014-05-19,19.959999
2014-05-20,19.879998999999998
2014-05-21,19.9
2014-05-22,20.25
2014-05-23,20.32
2014-05-27,20.459999
2014-05-28,20.190001000000002
2014-05-29,20.15
2014-05-30,20.030001000000002
2014-06-02,20.040001
2014-06-03,20.16
2014-06-04,20.190001000000002
2014-06-05,20.26
2014-06-06,20.59
2014-06-09,20.620001000000002
2014-06-10,20.530001000000002
2014-06-11,20.549999
2014-06-12,20.34
2014-06-13,20.49
2014-06-16,20.700001
2014-06-17,20.85
2014-06-18,20.719998999999998
2014-06-19,20.67
2014-06-20,20.799999
2014-06-23,20.530001000000002
2014-06-24,20.6
2014-06-25,20.76
2014-06-26,20.75
2014-06-27,20.700001
2014-06-30,20.870001000000002
2014-07-01,20.690001000000002
2014-07-02,20.74
2014-07-03,20.969998999999998
2014-07-07,20.549999
2014-07-08,20.530001000000002
2014-07-09,20.469998999999998
2014-07-10,20.49
2014-07-11,20.530001000000002
2014-07-14,20.77
2014-07-15,20.59
2014-07-16,20.6
2014-07-17,20.610001
2014-07-18,20.5
2014-07-21,20.559998999999998
2014-07-22,20.629998999999998
2014-07-23,20.84
2014-07-24,20.82
2014-07-25,20.780001000000002
2014-07-28,20.92
2014-07-29,20.950001
2014-07-30,20.860001
2014-07-31,20.639999
2014-08-01,20.5
2014-08-04,20.34
2014-08-05,20.4
2014-08-06,20.549999
2014-08-07,20.639999
2014-08-08,20.92
2014-08-11,21.25
2014-08-12,21.25
2014-08-13,21.35
2014-08-14,21.57
2014-08-15,21.73
2014-08-18,21.67
2014-08-19,21.65
2014-08-20,21.559998999999998
2014-08-21,21.48
2014-08-22,21.370001000000002
2014-08-25,21.25
2014-08-26,21.280001000000002
2014-08-27,21.360001
2014-08-28,21.35
2014-08-29,21.35
2014-09-02,21.389999
2014-09-03,21.389999
2014-09-04,21.67
2014-09-05,21.809998999999998
2014-09-08,21.51
2014-09-09,21.4
2014-09-10,21.309998999999998
2014-09-11,21.219998999999998
2014-09-12,21.030001000000002
2014-09-15,20.83
2014-09-16,21.02
2014-09-17,21.040001
2014-09-18,21.24
2014-09-19,21.219998999999998
2014-09-22,21.08
2014-09-23,21.02
2014-09-24,21.33
2014-09-25,21.030001000000002
2014-09-26,21.040001
2014-09-29,21.08
2014-09-30,21.07
2014-10-01,20.780001000000002
2014-10-02,20.790001
2014-10-03,21.16
2014-10-06,21.469998999999998
2014-10-07,21.41
2014-10-08,21.540001
2014-10-09,21.540001
2014-10-10,21.35
2014-10-13,21.18
2014-10-14,21.49
2014-10-15,21.17
2014-10-16,21.15
2014-10-17,21.389999
2014-10-20,21.51
2014-10-21,21.799999
2014-10-22,21.700001
2014-10-23,21.9
2014-10-24,22.23
2014-10-27,22.309998999999998
2014-10-28,22.620001000000002
2014-10-29,22.559998999999998
2014-10-30,22.6
2014-10-31,22.75
2014-11-03,22.709999
2014-11-04,22.35
2014-11-05,22.690001000000002
2014-11-06,22.360001
2014-11-07,22.719998999999998
2014-11-10,23.139999
2014-11-11,23.4
2014-11-12,23.26
2014-11-13,23.030001000000002
2014-11-14,23.360001
2014-11-17,23.34
2014-11-18,23.43
2014-11-19,23.440001000000002
2014-11-20,23.440001000000002
2014-11-21,23.280001000000002
2014-11-24,23.530001000000002
2014-11-25,23.42
2014-11-26,23.610001
2014-11-28,23.629998999999998
2014-12-01,22.99
2014-12-02,23.280001000000002
2014-12-03,23.34
2014-12-04,23.25
2014-12-05,23.0
2014-12-08,23.07
2014-12-09,23.049999
2014-12-10,22.700001
2014-12-11,22.639999
2014-12-12,22.610001
2014-12-15,22.16
2014-12-16,22.23
2014-12-17,22.860001
2014-12-18,23.08
2014-12-19,23.1
2014-12-22,23.08
2014-12-23,23.41
2014-12-24,23.4
2014-12-26,23.290001
2014-12-29,23.309998999999998
2014-12-30,23.290001
2014-12-31,22.870001000000002
2015-01-02,22.950001
2015-01-05,23.09
2015-01-06,23.030001000000002
2015-01-07,23.32
2015-01-08,23.49
2015-01-09,23.75
2015-01-12,23.959999
2015-01-13,24.24
2015-01-14,24.280001000000002
2015-01-15,24.08
2015-01-16,24.34
2015-01-20,24.360001
2015-01-21,24.129998999999998
2015-01-22,24.17
2015-01-23,23.969998999999998
2015-01-26,24.139999
2015-01-27,23.780001000000002
2015-01-28,23.940001000000002
2015-01-29,24.200001
2015-01-30,24.040001
2015-02-02,23.93
2015-02-03,24.450001
2015-02-04,24.379998999999998
2015-02-05,25.07
2015-02-06,24.91
2015-02-09,25.09
2015-02-10,24.969998999999998
2015-02-11,25.34
2015-02-12,26.219998999999998
2015-02-13,26.200001
2015-02-17,26.09
2015-02-18,25.99
2015-02-19,25.27
2015-02-20,25.09
2015-02-23,24.82
2015-02-24,24.58
2015-02-25,24.66
2015-02-26,24.549999
2015-02-27,24.84
2015-03-02,24.74
2015-03-03,24.549999
2015-03-04,24.969998999999998
2015-03-05,24.889999
2015-03-06,23.73
2015-03-09,23.82
2015-03-10,23.68
2015-03-11,23.67
2015-03-12,23.610001
2015-03-13,23.200001
2015-03-16,23.360001
2015-03-17,23.860001
2015-03-18,24.35
2015-03-19,24.1
2015-03-20,24.27
2015-03-23,24.049999
2015-03-24,24.1
2015-03-25,24.059998999999998
2015-03-26,23.83
2015-03-27,24.24
2015-03-30,24.469998999999998
2015-03-31,24.25
2015-04-01,24.379998999999998
2015-04-02,24.379998999999998
2015-04-06,24.549999
2015-04-07,24.34
2015-04-08,24.299999
2015-04-09,24.1
2015-04-10,24.059998999999998
2015-04-13,24.030001000000002
2015-04-14,24.02
2015-04-15,24.309998999999998
2015-04-16,24.65
2015-04-17,24.370001000000002
2015-04-20,24.5
2015-04-21,24.469998999999998
2015-04-22,24.17
2015-04-23,24.200001
2015-04-24,24.08
2015-04-27,24.040001
2015-04-28,24.09
2015-04-29,23.700001
2015-04-30,23.17
2015-05-01,22.9
2015-05-04,22.870001000000002
