Date,IAA
2019-06-17,36.57
2019-06-18,38.200001
2019-06-19,39.779999
2019-06-20,40.0
2019-06-21,39.650002
2019-06-24,38.509997999999996
2019-06-25,37.650002
2019-06-26,39.029999
2019-06-27,38.59
2019-06-28,38.779999
2019-07-01,40.970001
2019-07-02,41.610001000000004
2019-07-03,40.950001
2019-07-05,40.48
2019-07-08,39.98
2019-07-09,40.299999
2019-07-10,40.0
2019-07-11,41.400002
2019-07-12,43.040001000000004
2019-07-15,44.139998999999996
2019-07-16,43.939999
2019-07-17,43.959998999999996
2019-07-18,45.09
2019-07-19,45.200001
2019-07-22,44.779999
2019-07-23,45.060001
2019-07-24,46.220001
2019-07-25,46.669998
2019-07-26,47.470001
2019-07-29,46.970001
2019-07-30,46.73
2019-07-31,46.75
2019-08-01,46.880001
2019-08-02,47.5
2019-08-05,46.73
2019-08-06,47.759997999999996
2019-08-07,47.830002
2019-08-08,47.009997999999996
2019-08-09,45.009997999999996
2019-08-12,43.580002
2019-08-13,45.529999
2019-08-14,45.419998
2019-08-15,44.060001
2019-08-16,43.299999
2019-08-19,44.560001
2019-08-20,46.650002
2019-08-21,48.66
2019-08-22,48.290001000000004
2019-08-23,47.07
2019-08-26,47.240002000000004
2019-08-27,47.07
2019-08-28,48.169998
2019-08-29,48.279999
2019-08-30,48.849998
2019-09-03,47.950001
2019-09-04,45.810001
2019-09-05,47.529999
2019-09-06,47.919998
2019-09-09,48.610001000000004
2019-09-10,45.970001
2019-09-11,45.740002000000004
2019-09-12,45.779999
2019-09-13,44.790001000000004
2019-09-16,44.32
2019-09-17,43.200001
2019-09-18,42.130001
2019-09-19,44.119999
2019-09-20,44.900002
2019-09-23,43.009997999999996
2019-09-24,42.450001
2019-09-25,43.630001
2019-09-26,43.419998
2019-09-27,43.0
2019-09-30,41.73
2019-10-01,41.75
2019-10-02,41.849998
2019-10-03,40.349998
2019-10-04,40.189999
2019-10-07,40.23
2019-10-08,39.919998
2019-10-09,39.700001
2019-10-10,38.799999
2019-10-11,36.400002
2019-10-14,36.040001000000004
2019-10-15,36.290001000000004
2019-10-16,37.799999
2019-10-17,38.07
2019-10-18,37.720001
2019-10-21,39.25
2019-10-22,37.860001000000004
2019-10-23,38.16
2019-10-24,38.5
2019-10-25,38.169998
2019-10-28,37.540001000000004
2019-10-29,37.939999
2019-10-30,38.41
2019-10-31,38.150002
2019-11-01,38.639998999999996
2019-11-04,38.700001
2019-11-05,39.200001
2019-11-06,38.200001
2019-11-07,38.110001000000004
2019-11-08,38.240002000000004
2019-11-11,38.900002
2019-11-12,43.099998
2019-11-13,42.119999
2019-11-14,42.450001
2019-11-15,42.279999
2019-11-18,43.060001
