Date,H
2010-09-29,37.66
2010-09-30,37.389998999999996
2010-10-01,37.080002
2010-10-04,38.27
2010-10-05,40.119999
2010-10-06,39.779999
2010-10-07,39.16
2010-10-08,40.18
2010-10-11,41.0
2010-10-12,41.389998999999996
2010-10-13,41.5
2010-10-14,40.990002000000004
2010-10-15,40.75
2010-10-18,41.0
2010-10-19,40.16
2010-10-20,40.48
2010-10-21,40.119999
2010-10-22,41.080002
2010-10-25,40.990002000000004
2010-10-26,41.25
2010-10-27,40.41
2010-10-28,39.490002000000004
2010-10-29,40.299999
2010-11-01,40.549999
2010-11-02,40.959998999999996
2010-11-03,41.5
2010-11-04,42.299999
2010-11-05,42.57
2010-11-08,41.380001
2010-11-09,40.84
2010-11-10,41.82
2010-11-11,41.52
2010-11-12,40.970001
2010-11-15,41.310001
2010-11-16,40.650002
2010-11-17,39.73
2010-11-18,40.490002000000004
2010-11-19,41.360001000000004
2010-11-22,41.080002
2010-11-23,41.060001
2010-11-24,41.380001
2010-11-26,41.66
2010-11-29,41.650002
2010-11-30,41.860001000000004
2010-12-01,42.950001
2010-12-02,43.720001
2010-12-03,44.150002
2010-12-06,44.25
2010-12-07,45.299999
2010-12-08,45.330002
2010-12-09,45.009997999999996
2010-12-10,44.869999
2010-12-13,44.25
2010-12-14,43.889998999999996
2010-12-15,43.34
2010-12-16,43.970001
2010-12-17,44.25
2010-12-20,44.889998999999996
2010-12-21,44.860001000000004
2010-12-22,45.73
2010-12-23,45.529999
2010-12-27,45.810001
2010-12-28,45.5
2010-12-29,46.189999
2010-12-30,45.529999
2010-12-31,45.759997999999996
2011-01-03,46.360001000000004
2011-01-04,45.709998999999996
2011-01-05,46.849998
2011-01-06,46.060001
2011-01-07,47.0
2011-01-10,47.189999
2011-01-11,47.360001000000004
2011-01-12,47.810001
2011-01-13,47.959998999999996
2011-01-14,48.16
2011-01-18,48.5
2011-01-19,48.25
2011-01-20,47.849998
2011-01-21,47.790001000000004
2011-01-24,47.200001
2011-01-25,47.799999
2011-01-26,49.049999
2011-01-27,48.98
2011-01-28,47.799999
2011-01-31,48.59
2011-02-01,49.57
2011-02-02,49.040001000000004
2011-02-03,49.07
2011-02-04,49.0
2011-02-07,48.849998
2011-02-08,49.099998
2011-02-09,49.220001
2011-02-10,49.220001
2011-02-11,49.189999
2011-02-14,49.369999
2011-02-15,49.200001
2011-02-16,49.52
2011-02-17,48.73
2011-02-18,46.509997999999996
2011-02-22,45.830002
2011-02-23,44.740002000000004
2011-02-24,44.700001
2011-02-25,45.860001000000004
2011-02-28,45.75
2011-03-01,44.57
2011-03-02,45.419998
2011-03-03,46.080002
2011-03-04,44.91
2011-03-07,43.889998999999996
2011-03-08,44.68
2011-03-09,44.41
2011-03-10,44.740002000000004
2011-03-11,43.700001
2011-03-14,43.299999
2011-03-15,42.810001
2011-03-16,41.740002000000004
2011-03-17,42.049999
2011-03-18,42.5
2011-03-21,43.389998999999996
2011-03-22,42.75
2011-03-23,42.900002
2011-03-24,42.880001
2011-03-25,44.110001000000004
2011-03-28,41.349998
2011-03-29,42.259997999999996
2011-03-30,43.09
2011-03-31,43.040001000000004
2011-04-01,42.459998999999996
2011-04-04,42.720001
2011-04-05,42.209998999999996
2011-04-06,42.580002
2011-04-07,42.029999
2011-04-08,41.82
2011-04-11,41.119999
2011-04-12,40.16
2011-04-13,40.869999
2011-04-14,41.060001
2011-04-15,41.439999
2011-04-18,41.970001
2011-04-19,41.919998
2011-04-20,42.619999
2011-04-21,43.619999
2011-04-25,44.349998
2011-04-26,44.439999
2011-04-27,44.610001000000004
2011-04-28,44.509997999999996
2011-04-29,44.310001
2011-05-02,44.139998999999996
2011-05-03,42.580002
2011-05-04,43.220001
2011-05-05,43.619999
2011-05-06,43.700001
2011-05-09,44.0
2011-05-10,44.810001
2011-05-11,44.330002
2011-05-12,44.57
2011-05-13,44.029999
2011-05-16,44.450001
2011-05-17,44.369999
2011-05-18,45.0
2011-05-19,45.169998
2011-05-20,44.990002000000004
2011-05-23,44.419998
2011-05-24,43.939999
2011-05-25,44.279999
2011-05-26,44.919998
2011-05-27,45.259997999999996
2011-05-31,44.580002
2011-06-01,43.119999
2011-06-02,42.689999
2011-06-03,41.889998999999996
2011-06-06,41.110001000000004
2011-06-07,40.82
2011-06-08,39.799999
2011-06-09,40.0
2011-06-10,39.299999
2011-06-13,39.349998
2011-06-14,39.889998999999996
2011-06-15,38.970001
2011-06-16,38.919998
2011-06-17,39.450001
2011-06-20,39.459998999999996
2011-06-21,39.900002
2011-06-22,39.66
2011-06-23,39.48
2011-06-24,39.25
2011-06-27,39.099998
2011-06-28,40.0
2011-06-29,40.150002
2011-06-30,40.82
2011-07-01,42.259997999999996
2011-07-05,42.580002
2011-07-06,42.540001000000004
2011-07-07,43.25
2011-07-08,42.759997999999996
2011-07-11,41.299999
2011-07-12,40.939999
2011-07-13,41.25
2011-07-14,39.27
2011-07-15,39.73
2011-07-18,39.0
2011-07-19,39.849998
2011-07-20,39.939999
2011-07-21,41.490002000000004
2011-07-22,41.419998
2011-07-25,41.580002
2011-07-26,40.849998
2011-07-27,40.18
2011-07-28,39.25
2011-07-29,38.790001000000004
2011-08-01,38.759997999999996
2011-08-02,36.439999
2011-08-03,37.279999
2011-08-04,36.119999
2011-08-05,36.25
2011-08-08,33.09
2011-08-09,34.18
