Date,VALE
2002-03-21,2.25
2002-03-22,2.1791669999999996
2002-03-25,2.1791669999999996
2002-03-26,2.2366669999999997
2002-03-27,2.270833
2002-03-28,2.2825
2002-04-01,2.270833
2002-04-02,2.25
2002-04-03,2.2166669999999997
2002-04-04,2.266667
2002-04-05,2.309167
2002-04-08,2.3
2002-04-09,2.325
2002-04-10,2.359167
2002-04-11,2.3525
2002-04-12,2.358333
2002-04-15,2.3416669999999997
2002-04-16,2.371667
2002-04-17,2.360833
2002-04-18,2.3208330000000004
2002-04-19,2.3
2002-04-22,2.358333
2002-04-23,2.3466669999999996
2002-04-24,2.333333
2002-04-25,2.2791669999999997
2002-04-26,2.270833
2002-04-29,2.270833
2002-04-30,2.274167
2002-05-01,2.3125
2002-05-02,2.25
2002-05-03,2.25
2002-05-06,2.291667
2002-05-07,2.264167
2002-05-08,2.3
2002-05-09,2.2791669999999997
2002-05-10,2.3041669999999996
2002-05-13,2.316667
2002-05-14,2.3208330000000004
2002-05-15,2.316667
2002-05-16,2.305
2002-05-17,2.295833
2002-05-20,2.3008330000000004
2002-05-21,2.3425
2002-05-22,2.3416669999999997
2002-05-23,2.359167
2002-05-24,2.354167
2002-05-28,2.395833
2002-05-29,2.499167
2002-05-30,2.458333
2002-05-31,2.5
2002-06-03,2.5
2002-06-04,2.48
2002-06-05,2.479167
2002-06-06,2.418333
2002-06-07,2.43
2002-06-10,2.418333
2002-06-11,2.3858330000000003
2002-06-12,2.35
2002-06-13,2.3458330000000003
2002-06-14,2.350833
2002-06-17,2.375
2002-06-18,2.3425
2002-06-19,2.3391669999999998
2002-06-20,2.2725
2002-06-21,2.1958330000000004
2002-06-24,2.14
2002-06-25,2.165833
2002-06-26,2.144167
2002-06-27,2.295
2002-06-28,2.3058330000000002
2002-07-01,2.2633330000000003
2002-07-02,2.251667
2002-07-03,2.295833
2002-07-05,2.2791669999999997
2002-07-08,2.25
2002-07-09,2.275
2002-07-10,2.251667
2002-07-11,2.254167
2002-07-12,2.2591669999999997
2002-07-15,2.265833
2002-07-16,2.293333
2002-07-17,2.2583330000000004
2002-07-18,2.25
2002-07-19,2.2208330000000003
2002-07-22,2.1875
2002-07-23,2.166667
2002-07-24,2.1
2002-07-25,2.075
2002-07-26,2.0083330000000004
2002-07-29,1.9025
2002-07-30,1.9666669999999997
2002-07-31,2.041667
2002-08-01,2.0916669999999997
2002-08-02,2.1141669999999997
2002-08-05,2.0083330000000004
2002-08-06,2.025
2002-08-07,2.095
2002-08-08,2.149167
2002-08-09,2.1125
2002-08-12,2.068333
2002-08-13,2.0291669999999997
2002-08-14,2.043333
2002-08-15,2.045833
2002-08-16,2.1591669999999996
2002-08-19,2.1
2002-08-20,2.0908330000000004
2002-08-21,2.1133330000000004
2002-08-22,2.085
2002-08-23,2.1125
2002-08-26,2.1141669999999997
2002-08-27,2.104167
2002-08-28,2.1183330000000002
2002-08-29,2.108333
2002-08-30,2.1333330000000004
2002-09-03,2.043333
2002-09-04,2.0875
2002-09-05,2.079167
2002-09-06,2.104167
2002-09-09,2.1533330000000004
2002-09-10,2.1125
2002-09-11,2.1333330000000004
2002-09-12,2.100833
2002-09-13,2.1
2002-09-16,2.105833
2002-09-17,2.0725
2002-09-18,2.0491669999999997
2002-09-19,2.005833
2002-09-20,2.0541669999999996
2002-09-23,2.0133330000000003
2002-09-24,1.9875
2002-09-25,2.0125
2002-09-26,1.9866669999999997
2002-09-27,1.905833
2002-09-30,1.895833
2002-10-01,1.9625
2002-10-02,1.9333330000000002
2002-10-03,1.9658330000000002
2002-10-04,1.9625
2002-10-07,1.9125
2002-10-08,1.916667
2002-10-09,1.855
2002-10-10,1.844167
2002-10-11,1.885833
2002-10-14,1.8125
2002-10-15,1.845
2002-10-16,1.8125
2002-10-17,1.8925
