Date,YELP
2012-03-02,24.58
2012-03-05,20.99
2012-03-06,20.5
2012-03-07,20.25
2012-03-08,20.0
2012-03-09,19.799999
2012-03-12,22.49
2012-03-13,23.299999
2012-03-14,22.32
2012-03-15,21.75
2012-03-16,21.74
2012-03-19,22.99
2012-03-20,22.9
2012-03-21,23.120001000000002
2012-03-22,23.219998999999998
2012-03-23,23.18
2012-03-26,24.6
2012-03-27,27.65
2012-03-28,28.09
2012-03-29,28.01
2012-03-30,26.889999
2012-04-02,27.120001000000002
2012-04-03,26.700001
2012-04-04,26.16
2012-04-05,24.17
2012-04-09,25.219998999999998
2012-04-10,25.809998999999998
2012-04-11,25.43
2012-04-12,26.200001
2012-04-13,26.33
2012-04-16,25.870001000000002
2012-04-17,25.57
2012-04-18,24.99
2012-04-19,24.27
2012-04-20,23.1
2012-04-23,22.27
2012-04-24,21.18
2012-04-25,21.129998999999998
2012-04-26,21.200001
2012-04-27,21.9
2012-04-30,22.860001
2012-05-01,22.57
2012-05-02,23.16
2012-05-03,20.639999
2012-05-04,21.299999
2012-05-07,21.41
2012-05-08,20.809998999999998
2012-05-09,20.98
2012-05-10,20.049999
2012-05-11,20.27
2012-05-14,20.040001
2012-05-15,20.799999
2012-05-16,21.6
2012-05-17,21.27
2012-05-18,18.639999
2012-05-21,19.299999
2012-05-22,18.0
2012-05-23,18.32
2012-05-24,18.889999
2012-05-25,18.190001000000002
2012-05-29,17.07
2012-05-30,16.610001
2012-05-31,16.709999
2012-06-01,15.69
2012-06-04,15.22
2012-06-05,15.22
2012-06-06,16.459999
2012-06-07,17.52
2012-06-08,19.639999
2012-06-11,18.85
2012-06-12,19.65
2012-06-13,19.780001000000002
2012-06-14,19.85
2012-06-15,21.129998999999998
2012-06-18,21.15
2012-06-19,21.389999
2012-06-20,21.07
2012-06-21,21.0
2012-06-22,21.639999
2012-06-25,21.950001
2012-06-26,22.040001
2012-06-27,22.790001
2012-06-28,22.51
2012-06-29,22.73
2012-07-02,23.74
2012-07-03,24.719998999999998
2012-07-05,26.16
2012-07-06,25.299999
2012-07-09,24.790001
2012-07-10,22.629998999999998
2012-07-11,21.360001
2012-07-12,22.139999
2012-07-13,21.639999
2012-07-16,21.43
2012-07-17,23.02
2012-07-18,22.700001
2012-07-19,24.0
2012-07-20,24.049999
2012-07-23,23.290001
2012-07-24,22.51
2012-07-25,21.5
2012-07-26,19.68
2012-07-27,19.51
2012-07-30,20.620001000000002
2012-07-31,19.959999
2012-08-01,18.82
2012-08-02,22.0
2012-08-03,23.4
2012-08-06,25.43
2012-08-07,25.84
2012-08-08,26.459999
2012-08-09,25.73
2012-08-10,25.85
2012-08-13,23.870001000000002
2012-08-14,22.290001
2012-08-15,22.110001
2012-08-16,21.76
2012-08-17,21.5
2012-08-20,20.219998999999998
2012-08-21,19.0
2012-08-22,17.870001000000002
2012-08-23,18.190001000000002
2012-08-24,19.48
2012-08-27,19.110001
2012-08-28,18.26
2012-08-29,22.370001000000002
2012-08-30,21.690001000000002
2012-08-31,22.0
2012-09-04,24.25
2012-09-05,25.77
2012-09-06,25.549999
2012-09-07,24.82
2012-09-10,25.07
2012-09-11,26.200001
2012-09-12,25.799999
2012-09-13,23.950001
2012-09-14,26.18
2012-09-17,25.700001
2012-09-18,24.77
2012-09-19,25.709999
2012-09-20,26.309998999999998
2012-09-21,26.780001000000002
2012-09-24,25.67
2012-09-25,25.5
2012-09-26,25.68
2012-09-27,26.24
2012-09-28,27.049999
2012-10-01,27.76
2012-10-02,27.59
2012-10-03,28.09
2012-10-04,28.889999
2012-10-05,28.4
2012-10-08,28.27
2012-10-09,27.43
2012-10-10,25.610001
2012-10-11,25.73
2012-10-12,25.24
2012-10-15,25.309998999999998
2012-10-16,24.85
2012-10-17,25.700001
2012-10-18,24.76
2012-10-19,24.610001
2012-10-22,24.27
2012-10-23,24.0
2012-10-24,25.77
2012-10-25,24.030001000000002
2012-10-26,23.17
2012-10-31,24.1
2012-11-01,24.030001000000002
2012-11-02,20.51
2012-11-05,19.110001
2012-11-06,18.25
2012-11-07,18.4
2012-11-08,17.77
2012-11-09,17.719998999999998
2012-11-12,17.07
2012-11-13,17.209999
2012-11-14,16.77
2012-11-15,17.209999
2012-11-16,17.32
2012-11-19,18.799999
2012-11-20,18.809998999999998
2012-11-21,18.709999
2012-11-23,18.98
2012-11-26,18.99
2012-11-27,20.24
2012-11-28,20.200001
2012-11-29,19.450001
2012-11-30,18.91
2012-12-03,19.27
2012-12-04,19.049999
2012-12-05,18.84
2012-12-06,18.09
2012-12-07,19.049999
2012-12-10,18.82
2012-12-11,19.299999
2012-12-12,19.620001000000002
2012-12-13,19.66
2012-12-14,19.459999
2012-12-17,18.93
2012-12-18,18.059998999999998
2012-12-19,18.450001
2012-12-20,18.91
2012-12-21,19.0
2012-12-24,18.440001000000002
2012-12-26,18.629998999999998
2012-12-27,18.83
2012-12-28,18.870001000000002
2012-12-31,18.85
2013-01-02,19.700001
2013-01-03,20.15
2013-01-04,21.52
2013-01-07,21.08
2013-01-08,20.83
2013-01-09,20.76
2013-01-10,22.190001000000002
2013-01-11,22.120001000000002
2013-01-14,21.969998999999998
2013-01-15,20.610001
2013-01-16,20.360001
2013-01-17,20.27
2013-01-18,20.299999
2013-01-22,19.9
2013-01-23,20.34
2013-01-24,20.83
2013-01-25,21.17
2013-01-28,21.030001000000002
2013-01-29,20.84
2013-01-30,20.459999
2013-01-31,21.24
2013-02-01,20.469998999999998
2013-02-04,20.34
2013-02-05,21.18
2013-02-06,22.379998999999998
2013-02-07,21.35
2013-02-08,21.85
2013-02-11,21.629998999999998
2013-02-12,21.66
