Date,KLXI
2015-10-26,31.812901
2015-10-27,31.633801000000002
2015-10-28,32.409698
2015-10-29,33.040699
2015-10-30,33.347698
2015-11-02,34.243
2015-11-03,34.635201
2015-11-04,34.507301
2015-11-05,34.618099
2015-11-06,34.558399
2015-11-09,34.404999
2015-11-10,33.9701
2015-11-11,33.253899
2015-11-12,27.379
2015-11-13,26.671301
2015-11-16,26.6031
2015-11-17,26.6457
2015-11-18,26.031799
2015-11-19,25.775999
2015-11-20,26.245001000000002
2015-11-23,27.080601
2015-11-24,27.2596
2015-11-25,27.276699
2015-11-27,27.200001
2015-11-30,27.370501
2015-12-01,28.0441
2015-12-02,28.197599
2015-12-03,28.2402
2015-12-04,28.1208
2015-12-07,28.1464
2015-12-08,27.7542
2015-12-09,26.6628
2015-12-10,27.958799
2015-12-11,27.6945
2015-12-14,26.9186
2015-12-15,26.492201
2015-12-16,27.080601
2015-12-17,26.850401
2015-12-18,26.415501000000003
2015-12-21,26.492201
2015-12-22,26.2791
2015-12-23,27.3193
2015-12-24,27.4387
2015-12-28,26.3899
2015-12-29,26.7395
2015-12-30,26.3473
2015-12-31,26.2535
2016-01-04,25.938
2016-01-05,25.7931
2016-01-06,24.983
2016-01-07,24.5226
2016-01-08,23.5847
2016-01-11,24.3862
2016-01-12,23.985398999999997
2016-01-13,23.712601
2016-01-14,24.2924
2016-01-15,23.2521
2016-01-19,22.3995
2016-01-20,23.149798999999998
2016-01-21,23.610201
2016-01-22,23.908701
2016-01-25,23.576099
2016-01-26,24.4032
2016-01-27,24.215598999999997
2016-01-28,24.104799
2016-01-29,24.9233
2016-02-01,24.2924
2016-02-02,23.1157
2016-02-03,23.712601
2016-02-04,24.820999
2016-02-05,24.1133
2016-02-08,23.6444
2016-02-09,23.4056
2016-02-10,23.0986
2016-02-11,22.484699
2016-02-12,23.013399
2016-02-16,23.5847
2016-02-17,24.650499
2016-02-18,23.7637
2016-02-19,23.132799
2016-02-22,23.7722
2016-02-23,23.900101
2016-02-24,23.959801000000002
2016-02-25,23.7211
2016-02-26,23.652901
2016-02-29,23.865999
2016-03-01,24.011
2016-03-02,25.034201
2016-03-03,25.5543
2016-03-04,26.014799
2016-03-07,26.3302
2016-03-08,24.505501000000002
2016-03-09,24.974501
2016-03-10,24.309401
2016-03-11,25.1024
2016-03-14,25.153601000000002
2016-03-15,25.076798999999998
2016-03-16,25.759001
2016-03-17,27.191401000000003
2016-03-18,27.7883
2016-03-21,27.941799
2016-03-22,28.018499
2016-03-23,26.944201
2016-03-24,27.182899
2016-03-28,27.097601
2016-03-29,27.6689
2016-03-30,27.7542
2016-03-31,27.4046
2016-04-01,27.592199
2016-04-04,27.362
2016-04-05,27.0294
2016-04-06,27.276699
2016-04-07,26.9186
2016-04-08,27.1488
2016-04-11,26.986798999999998
2016-04-12,27.097601
2016-04-13,27.975901
2016-04-14,28.01
2016-04-15,28.001499
2016-04-18,28.052601
2016-04-19,28.487499
2016-04-20,28.777399
2016-04-21,28.802999
2016-04-22,28.896798999999998
2016-04-25,28.2146
2016-04-26,28.8626
2016-04-27,28.947901
2016-04-28,28.334
2016-04-29,28.751801
2016-05-02,28.947901
2016-05-03,28.0441
2016-05-04,27.5751
2016-05-05,27.2852
2016-05-06,27.643299
2016-05-09,27.0891
2016-05-10,27.899099
2016-05-11,27.362
2016-05-12,27.2852
2016-05-13,26.7395
2016-05-16,27.063499
2016-05-17,27.899099
2016-05-18,28.137898999999997
2016-05-19,28.521601
2016-05-20,29.8347
2016-05-23,25.5884
2016-05-24,26.756598999999998
2016-05-25,28.1635
2016-05-26,28.4363
2016-05-27,28.1208
2016-05-31,28.0441
2016-06-01,28.035601
2016-06-02,28.1635
2016-06-03,28.078198999999998
2016-06-06,29.2463
2016-06-07,29.519199
2016-06-08,29.8603
2016-06-09,29.775
2016-06-10,28.479
2016-06-13,28.027
2016-06-14,27.3193
2016-06-15,27.353399
2016-06-16,26.9356
2016-06-17,28.052601
2016-06-20,28.018499
2016-06-21,27.7542
2016-06-22,28.1805
2016-06-23,28.802999
2016-06-24,26.569
2016-06-27,25.2388
2016-06-28,25.3923
2016-06-29,26.1427
2016-06-30,26.4326
2016-07-01,27.0891
2016-07-05,26.3985
2016-07-06,26.6884
2016-07-07,27.0294
2016-07-08,28.3169
2016-07-11,28.521601
2016-07-12,28.8456
2016-07-13,28.5301
2016-07-14,28.564199
2016-07-15,28.598301
