Date,PKX
1994-10-14,37.25
1994-10-17,35.5
1994-10-18,35.75
1994-10-19,35.0
1994-10-20,35.0
1994-10-21,35.375
1994-10-24,35.0
1994-10-25,35.125
1994-10-26,33.875
1994-10-27,31.0
1994-10-28,32.875
1994-10-31,32.875
1994-11-01,33.0
1994-11-02,33.125
1994-11-03,33.25
1994-11-04,33.0
1994-11-07,33.5
1994-11-08,34.0
1994-11-09,35.0
1994-11-10,34.75
1994-11-11,34.875
1994-11-14,35.5
1994-11-15,34.875
1994-11-16,33.875
1994-11-17,33.75
1994-11-18,34.375
1994-11-21,34.0
1994-11-22,32.0
1994-11-23,31.25
1994-11-25,32.75
1994-11-28,32.25
1994-11-29,32.375
1994-11-30,31.75
1994-12-01,31.0
1994-12-02,29.0
1994-12-05,29.75
1994-12-06,29.25
1994-12-07,29.0
1994-12-08,26.875
1994-12-09,25.5
1994-12-12,25.625
1994-12-13,25.6875
1994-12-14,26.75
1994-12-15,28.25
1994-12-16,29.0
1994-12-19,28.5
1994-12-20,28.375
1994-12-21,29.5
1994-12-22,30.5
1994-12-23,30.375
1994-12-27,30.375
1994-12-28,29.625
1994-12-29,29.375
1994-12-30,29.25
1995-01-03,28.5
1995-01-04,26.75
1995-01-05,25.75
1995-01-06,26.5
1995-01-09,26.0
1995-01-10,26.0
1995-01-11,26.375
1995-01-12,26.25
1995-01-13,25.875
1995-01-16,25.125
1995-01-17,25.375
1995-01-18,25.5
1995-01-19,25.0
1995-01-20,25.0
1995-01-23,21.625
1995-01-24,22.0
1995-01-25,22.75
1995-01-26,23.125
1995-01-27,23.125
1995-01-30,23.25
1995-01-31,23.125
1995-02-01,23.375
1995-02-02,23.625
1995-02-03,24.125
1995-02-06,24.125
1995-02-07,24.5
1995-02-08,25.875
1995-02-09,27.0
1995-02-10,27.0
1995-02-13,27.375
1995-02-14,27.125
1995-02-15,26.375
1995-02-16,26.125
1995-02-17,26.25
1995-02-21,26.25
1995-02-22,26.25
1995-02-23,26.25
1995-02-24,25.875
1995-02-27,25.125
1995-02-28,25.5
1995-03-01,25.125
1995-03-02,25.25
1995-03-03,25.25
1995-03-06,25.625
1995-03-07,25.5
1995-03-08,25.5
1995-03-09,25.75
1995-03-10,25.625
