Date,DST
2012-06-18,26.42
2012-06-19,26.620001000000002
2012-06-20,26.83
2012-06-21,26.525
2012-06-22,26.584999
2012-06-25,26.17
2012-06-26,26.285
2012-06-27,26.799999
2012-06-28,26.799999
2012-06-29,27.155001000000002
2012-07-02,27.6
2012-07-03,27.815001000000002
2012-07-05,27.945
2012-07-06,27.565001000000002
2012-07-09,27.299999
2012-07-10,27.305
2012-07-11,27.34
2012-07-12,27.23
2012-07-13,27.5
2012-07-16,27.450001
2012-07-17,27.549999
2012-07-18,27.4
2012-07-19,27.355
2012-07-20,27.0
2012-07-23,26.66
2012-07-24,26.395
2012-07-25,26.514999
2012-07-26,26.66
2012-07-27,27.035
2012-07-30,27.065001000000002
2012-07-31,26.950001
2012-08-01,25.285
2012-08-02,25.055
2012-08-03,25.295
2012-08-06,25.15
2012-08-07,25.219998999999998
2012-08-08,25.33
2012-08-09,25.450001
2012-08-10,25.58
2012-08-13,25.325001
2012-08-14,25.24
2012-08-15,25.450001
2012-08-16,25.815001000000002
2012-08-17,25.620001000000002
2012-08-20,25.555
2012-08-21,26.155001000000002
2012-08-22,25.725
2012-08-23,25.655001000000002
2012-08-24,25.625
2012-08-27,25.440001000000002
2012-08-28,25.450001
2012-08-29,25.514999
2012-08-30,25.415001
2012-08-31,25.440001000000002
2012-09-04,25.780001000000002
2012-09-05,26.215
2012-09-06,26.545
2012-09-07,26.535
2012-09-10,26.195
2012-09-11,26.205
2012-09-12,26.200001
2012-09-13,27.605
2012-09-14,27.65
2012-09-17,27.690001000000002
2012-09-18,27.83
2012-09-19,27.51
2012-09-20,27.965
2012-09-21,28.25
2012-09-24,28.225
2012-09-25,28.045
2012-09-26,28.084999
2012-09-27,28.325001
2012-09-28,28.280001000000002
2012-10-01,28.530001000000002
2012-10-02,28.48
2012-10-03,28.48
2012-10-04,28.715
2012-10-05,28.775
2012-10-08,28.559998999999998
2012-10-09,28.35
2012-10-10,28.235001
2012-10-11,28.055
2012-10-12,28.155001000000002
2012-10-15,28.424999
2012-10-16,28.35
2012-10-17,28.254998999999998
2012-10-18,28.290001
2012-10-19,27.975
2012-10-22,28.145
