Date,BRP
2019-10-24,16.370001000000002
2019-10-25,16.15
2019-10-28,15.7
2019-10-29,15.41
2019-10-30,15.75
2019-10-31,15.75
2019-11-01,16.139999
2019-11-04,15.87
2019-11-05,16.059998999999998
2019-11-06,16.299999
2019-11-07,16.549999
2019-11-08,16.58
2019-11-11,16.76
2019-11-12,16.84
2019-11-13,17.02
2019-11-14,17.52
2019-11-15,17.469998999999998
2019-11-18,17.1
2019-11-19,16.93
2019-11-20,17.0
2019-11-21,16.9
2019-11-22,16.889999
2019-11-25,17.0
2019-11-26,17.02
2019-11-27,17.25
2019-11-29,17.219998999999998
2019-12-02,16.799999
2019-12-03,16.0
2019-12-04,14.81
2019-12-05,13.62
2019-12-06,14.78
2019-12-09,14.25
2019-12-10,14.48
2019-12-11,14.62
2019-12-12,14.47
2019-12-13,14.15
2019-12-16,13.62
2019-12-17,14.8
2019-12-18,15.31
2019-12-19,15.97
2019-12-20,16.02
2019-12-23,15.47
2019-12-24,15.61
2019-12-26,15.55
2019-12-27,15.56
2019-12-30,15.74
2019-12-31,16.049999
2020-01-02,16.32
2020-01-03,16.68
2020-01-06,16.43
2020-01-07,16.23
2020-01-08,16.139999
2020-01-09,16.1
2020-01-10,16.030001000000002
2020-01-13,16.34
2020-01-14,16.16
2020-01-15,16.219998999999998
2020-01-16,16.51
2020-01-17,16.469998999999998
2020-01-21,16.450001
2020-01-22,16.459999
2020-01-23,16.33
2020-01-24,16.25
2020-01-27,16.370001000000002
2020-01-28,16.370001000000002
2020-01-29,15.84
2020-01-30,15.64
2020-01-31,15.08
2020-02-03,15.86
2020-02-04,16.68
2020-02-05,16.77
2020-02-06,16.924999
2020-02-07,16.99
2020-02-10,16.440001000000002
2020-02-11,16.469998999999998
2020-02-12,16.34
2020-02-13,16.84
2020-02-14,16.68
2020-02-18,16.51
2020-02-19,16.93
2020-02-20,17.309998999999998
2020-02-21,17.42
2020-02-24,17.110001
2020-02-25,17.190001000000002
2020-02-26,17.17
2020-02-27,16.4
2020-02-28,15.44
2020-03-02,16.18
2020-03-03,16.08
2020-03-04,16.469998999999998
2020-03-05,16.51
2020-03-06,16.190001000000002
2020-03-09,14.51
2020-03-10,14.23
2020-03-11,14.03
2020-03-12,13.2
2020-03-13,13.48
2020-03-16,11.12
2020-03-17,11.63
2020-03-18,12.09
2020-03-19,11.5
2020-03-20,11.17
2020-03-23,10.38
2020-03-24,10.19
2020-03-25,11.57
2020-03-26,11.72
2020-03-27,11.29
2020-03-30,11.04
2020-03-31,10.55
2020-04-01,9.25
2020-04-02,9.36
2020-04-03,8.92
2020-04-06,9.95
2020-04-07,9.97
2020-04-08,10.54
2020-04-09,10.95
2020-04-13,10.69
2020-04-14,10.71
2020-04-15,10.07
2020-04-16,9.94
2020-04-17,10.23
2020-04-20,9.57
2020-04-21,9.34
2020-04-22,9.66
2020-04-23,9.54
2020-04-24,9.65
2020-04-27,9.65
2020-04-28,9.6
2020-04-29,10.04
2020-04-30,10.02
2020-05-01,10.38
2020-05-04,10.25
2020-05-05,10.245
2020-05-06,10.01
2020-05-07,10.31
2020-05-08,11.04
