Date,ASPS
2009-08-06,7.0
2009-08-07,16.0
2009-08-10,12.2
2009-08-11,11.91
2009-08-12,10.9
2009-08-13,10.66
2009-08-14,10.1
2009-08-17,10.27
2009-08-18,12.54
2009-08-19,11.68
2009-08-20,12.76
2009-08-21,13.44
2009-08-24,14.04
2009-08-25,14.51
2009-08-26,14.2
2009-08-27,14.33
2009-08-28,14.39
2009-08-31,14.35
2009-09-01,13.89
2009-09-02,13.6
2009-09-03,13.64
2009-09-04,13.62
2009-09-08,13.62
2009-09-09,13.58
2009-09-10,13.57
2009-09-11,13.68
2009-09-14,13.6
2009-09-15,13.66
2009-09-16,13.69
2009-09-17,13.91
2009-09-18,14.0
2009-09-21,14.05
2009-09-22,14.15
2009-09-23,14.22
2009-09-24,14.01
2009-09-25,14.0
2009-09-28,13.9
2009-09-29,14.33
2009-09-30,14.44
2009-10-01,14.63
2009-10-02,14.71
2009-10-05,14.6
2009-10-06,14.55
2009-10-07,14.57
2009-10-08,14.48
2009-10-09,14.71
2009-10-12,14.62
2009-10-13,14.78
2009-10-14,14.9
2009-10-15,15.83
2009-10-16,16.08
2009-10-19,16.129998999999998
2009-10-20,16.4
2009-10-21,16.57
2009-10-22,16.610001
2009-10-23,16.459999
2009-10-26,16.049999
2009-10-27,15.1
2009-10-28,14.85
2009-10-29,14.92
2009-10-30,15.25
2009-11-02,14.76
2009-11-03,14.56
2009-11-04,14.41
2009-11-05,14.85
2009-11-06,15.21
2009-11-09,16.700001
2009-11-10,16.950001
2009-11-11,17.09
2009-11-12,17.15
2009-11-13,17.16
2009-11-16,17.27
2009-11-17,17.26
2009-11-18,16.879998999999998
2009-11-19,16.889999
2009-11-20,16.6
2009-11-23,16.5
2009-11-24,16.450001
2009-11-25,16.450001
2009-11-27,16.4
2009-11-30,16.139999
2009-12-01,15.7
2009-12-02,15.45
2009-12-03,15.74
2009-12-04,15.78
2009-12-07,15.75
2009-12-08,16.26
2009-12-09,16.219998999999998
2009-12-10,16.530001000000002
2009-12-11,16.75
2009-12-14,18.280001000000002
2009-12-15,18.08
2009-12-16,17.82
2009-12-17,17.889999
2009-12-18,18.030001000000002
2009-12-21,18.120001000000002
2009-12-22,18.91
2009-12-23,18.98
2009-12-24,19.200001
2009-12-28,20.0
2009-12-29,21.209999
2009-12-30,20.870001000000002
2009-12-31,20.99
2010-01-04,21.18
2010-01-05,21.950001
2010-01-06,23.24
2010-01-07,23.35
2010-01-08,23.43
2010-01-11,23.51
2010-01-12,23.85
2010-01-13,23.0
2010-01-14,22.870001000000002
2010-01-15,22.129998999999998
2010-01-19,22.85
2010-01-20,23.4
2010-01-21,22.76
2010-01-22,21.940001000000002
2010-01-25,22.01
2010-01-26,21.379998999999998
2010-01-27,21.129998999999998
2010-01-28,22.32
2010-01-29,22.950001
2010-02-01,22.799999
2010-02-02,23.27
2010-02-03,23.1
2010-02-04,22.299999
2010-02-05,22.549999
2010-02-08,22.32
2010-02-09,22.68
2010-02-10,23.540001
2010-02-11,24.92
2010-02-12,24.5
2010-02-16,26.629998999999998
2010-02-17,26.25
2010-02-18,26.620001000000002
2010-02-19,26.549999
2010-02-22,25.76
2010-02-23,25.76
2010-02-24,26.049999
2010-02-25,25.719998999999998
2010-02-26,25.870001000000002
2010-03-01,26.0
2010-03-02,25.5
2010-03-03,25.799999
2010-03-04,26.76
2010-03-05,26.639999
2010-03-08,26.82
2010-03-09,26.66
2010-03-10,27.02
2010-03-11,26.41
2010-03-12,25.27
2010-03-15,24.9
2010-03-16,25.110001
2010-03-17,25.299999
2010-03-18,24.84
2010-03-19,24.43
2010-03-22,25.030001000000002
2010-03-23,24.459999
2010-03-24,23.959999
2010-03-25,22.91
2010-03-26,23.379998999999998
2010-03-29,22.83
2010-03-30,22.450001
2010-03-31,22.4
2010-04-01,22.17
2010-04-05,22.17
2010-04-06,24.26
2010-04-07,25.549999
2010-04-08,25.799999
2010-04-09,25.959999
2010-04-12,25.790001
2010-04-13,25.610001
2010-04-14,25.68
2010-04-15,26.469998999999998
2010-04-16,25.93
2010-04-19,25.18
2010-04-20,25.059998999999998
2010-04-21,25.290001
2010-04-22,25.5
2010-04-23,25.219998999999998
2010-04-26,24.879998999999998
2010-04-27,23.73
2010-04-28,24.15
2010-04-29,24.4
2010-04-30,24.16
2010-05-03,23.959999
2010-05-04,24.290001
