Date,LTRPA
2014-08-27,37.93
2014-08-28,36.0
2014-08-29,35.77
2014-09-02,35.450001
2014-09-03,35.02
2014-09-04,34.799999
2014-09-05,34.709998999999996
2014-09-08,35.200001
2014-09-09,34.330002
2014-09-10,35.139998999999996
2014-09-11,35.259997999999996
2014-09-12,36.279999
2014-09-15,34.77
2014-09-16,34.919998
2014-09-17,34.990002000000004
2014-09-18,35.779999
2014-09-19,36.110001000000004
2014-09-22,34.740002000000004
2014-09-23,33.880001
2014-09-24,34.580002
2014-09-25,33.610001000000004
2014-09-26,33.990002000000004
2014-09-29,33.619999
2014-09-30,33.900002
2014-10-01,33.23
2014-10-02,32.57
2014-10-03,32.700001
2014-10-06,32.369999
2014-10-07,31.549999
2014-10-08,32.029999
2014-10-09,30.93
2014-10-10,29.58
2014-10-13,28.27
2014-10-14,27.870001000000002
2014-10-15,27.59
2014-10-16,27.790001
2014-10-17,28.48
2014-10-20,29.4
2014-10-21,31.469998999999998
2014-10-22,30.530001000000002
2014-10-23,31.27
2014-10-24,31.6
2014-10-27,31.200001
2014-10-28,31.68
2014-10-29,30.92
2014-10-30,30.299999
2014-10-31,31.58
2014-11-03,30.299999
2014-11-04,29.889999
2014-11-05,25.209999
2014-11-06,26.200001
2014-11-07,26.030001000000002
2014-11-10,26.0
2014-11-11,24.879998999999998
2014-11-12,25.15
2014-11-13,24.549999
2014-11-14,24.91
2014-11-17,24.23
2014-11-18,24.889999
2014-11-19,25.370001000000002
2014-11-20,25.360001
2014-11-21,25.370001000000002
2014-11-24,25.530001000000002
2014-11-25,25.58
2014-11-26,25.709999
2014-11-28,26.209999
2014-12-01,25.0
2014-12-02,27.110001
2014-12-03,26.48
2014-12-04,26.99
2014-12-05,27.18
2014-12-08,26.0
2014-12-09,25.9
2014-12-10,25.280001000000002
2014-12-11,25.4
2014-12-12,25.040001
2014-12-15,25.25
2014-12-16,24.93
2014-12-17,25.610001
2014-12-18,26.52
2014-12-19,26.629998999999998
2014-12-22,26.969998999999998
2014-12-23,26.959999
2014-12-24,27.370001000000002
2014-12-26,27.440001000000002
2014-12-29,27.280001000000002
2014-12-30,27.16
2014-12-31,26.9
2015-01-02,26.950001
2015-01-05,26.200001
2015-01-06,25.09
2015-01-07,25.25
2015-01-08,26.24
2015-01-09,26.950001
2015-01-12,25.780001000000002
2015-01-13,25.84
2015-01-14,25.110001
2015-01-15,23.74
2015-01-16,24.33
2015-01-20,24.59
2015-01-21,24.639999
2015-01-22,25.35
2015-01-23,24.790001
2015-01-26,24.549999
2015-01-27,24.49
2015-01-28,24.049999
2015-01-29,24.18
2015-01-30,23.940001000000002
2015-02-02,24.25
2015-02-03,25.629998999999998
2015-02-04,26.0
2015-02-05,25.610001
2015-02-06,24.610001
2015-02-09,24.889999
2015-02-10,25.26
2015-02-11,24.219998999999998
2015-02-12,30.35
2015-02-13,31.120001000000002
2015-02-17,30.809998999999998
2015-02-18,31.440001000000002
2015-02-19,32.799999
2015-02-20,32.950001
2015-02-23,32.849998
2015-02-24,32.540001000000004
