Date,EURN
2015-01-26,12.2
2015-01-27,12.32
2015-01-28,12.1
2015-01-29,12.3
2015-01-30,11.67
2015-02-02,11.31
2015-02-03,11.33
2015-02-04,10.95
2015-02-05,11.29
2015-02-06,11.48
2015-02-09,11.13
2015-02-10,11.2
2015-02-11,11.78
2015-02-12,11.85
2015-02-13,11.7
2015-02-17,11.9
2015-02-18,12.12
2015-02-19,12.01
2015-02-20,12.36
2015-02-23,12.4
2015-02-24,12.53
2015-02-25,12.4
2015-02-26,12.31
2015-02-27,12.27
2015-03-02,11.93
2015-03-03,12.09
2015-03-04,11.93
2015-03-05,11.81
2015-03-06,11.64
2015-03-09,11.44
2015-03-10,11.07
2015-03-11,11.39
2015-03-12,11.48
2015-03-13,11.52
2015-03-16,11.66
2015-03-17,11.76
2015-03-18,11.93
2015-03-19,12.03
2015-03-20,12.15
2015-03-23,12.41
2015-03-24,12.46
2015-03-25,12.3
2015-03-26,12.39
2015-03-27,12.54
2015-03-30,12.15
2015-03-31,12.06
2015-04-01,12.61
2015-04-02,12.82
2015-04-06,12.88
2015-04-07,12.85
2015-04-08,12.9
2015-04-09,12.82
2015-04-10,13.22
2015-04-13,13.25
2015-04-14,13.46
2015-04-15,13.5
2015-04-16,13.56
2015-04-17,13.59
2015-04-20,13.83
2015-04-21,13.97
2015-04-22,14.06
2015-04-23,13.87
2015-04-24,13.7
2015-04-27,13.8
2015-04-28,13.81
2015-04-29,13.53
2015-04-30,13.48
2015-05-01,13.71
2015-05-04,13.87
2015-05-05,13.6
2015-05-06,13.51
2015-05-07,13.18
2015-05-08,13.57
2015-05-11,13.04
2015-05-12,12.99
2015-05-13,13.39
2015-05-14,13.8
2015-05-15,14.22
2015-05-18,14.12
2015-05-19,13.94
2015-05-20,13.9
2015-05-21,13.93
2015-05-22,13.95
2015-05-26,13.68
2015-05-27,13.69
2015-05-28,13.81
2015-05-29,13.66
2015-06-01,13.55
2015-06-02,13.93
2015-06-03,14.09
2015-06-04,14.02
2015-06-05,14.24
2015-06-08,14.39
2015-06-09,14.49
2015-06-10,14.97
2015-06-11,15.03
2015-06-12,14.79
2015-06-15,14.75
2015-06-16,14.61
2015-06-17,14.74
2015-06-18,14.95
2015-06-19,15.16
2015-06-22,15.44
2015-06-23,15.31
2015-06-24,15.17
2015-06-25,14.79
2015-06-26,14.81
2015-06-29,14.79
2015-06-30,14.81
2015-07-01,15.16
2015-07-02,15.33
2015-07-06,15.11
2015-07-07,14.96
2015-07-08,14.71
2015-07-09,14.76
2015-07-10,15.24
2015-07-13,15.34
2015-07-14,15.36
2015-07-15,15.45
2015-07-16,15.92
2015-07-17,16.18
2015-07-20,16.15
2015-07-21,16.32
2015-07-22,16.290001
2015-07-23,15.81
2015-07-24,15.72
2015-07-27,15.77
2015-07-28,15.98
2015-07-29,16.02
2015-07-30,15.45
2015-07-31,15.18
2015-08-03,15.45
2015-08-04,15.26
2015-08-05,14.63
2015-08-06,14.64
2015-08-07,14.51
2015-08-10,14.49
2015-08-11,14.23
2015-08-12,14.05
2015-08-13,14.13
2015-08-14,14.36
2015-08-17,14.19
2015-08-18,13.94
2015-08-19,13.45
2015-08-20,13.05
2015-08-21,13.03
2015-08-24,12.14
2015-08-25,12.95
2015-08-26,13.14
2015-08-27,13.27
2015-08-28,13.3
2015-08-31,13.39
2015-09-01,13.12
2015-09-02,13.47
2015-09-03,14.01
2015-09-04,13.94
2015-09-08,13.64
2015-09-09,13.68
2015-09-10,13.68
2015-09-11,13.39
2015-09-14,13.47
2015-09-15,13.7
2015-09-16,14.29
2015-09-17,14.77
2015-09-18,14.72
2015-09-21,14.86
2015-09-22,14.83
2015-09-23,14.67
2015-09-24,14.44
2015-09-25,14.16
2015-09-28,13.74
2015-09-29,13.63
2015-09-30,13.9
2015-10-01,14.49
2015-10-02,14.84
2015-10-05,15.59
2015-10-06,15.57
2015-10-07,15.65
2015-10-08,15.89
2015-10-09,15.99
2015-10-12,16.02
2015-10-13,15.98
2015-10-14,15.85
2015-10-15,15.81
2015-10-16,15.79
2015-10-19,15.29
2015-10-20,15.5
2015-10-21,15.36
2015-10-22,15.78
2015-10-23,15.83
2015-10-26,15.49
2015-10-27,14.87
2015-10-28,14.86
2015-10-29,14.69
2015-10-30,14.96
2015-11-02,15.06
2015-11-03,14.89
2015-11-04,13.9
2015-11-05,13.71
2015-11-06,13.98
2015-11-09,13.87
2015-11-10,13.67
2015-11-11,13.53
2015-11-12,13.42
2015-11-13,13.59
2015-11-16,13.8
2015-11-17,13.81
2015-11-18,13.64
2015-11-19,13.59
2015-11-20,13.37
2015-11-23,13.11
2015-11-24,12.99
2015-11-25,13.17
2015-11-27,13.08
2015-11-30,12.88
2015-12-01,13.1
2015-12-02,13.45
2015-12-03,13.56
2015-12-04,13.85
2015-12-07,13.46
2015-12-08,13.47
2015-12-09,13.39
2015-12-10,13.39
2015-12-11,12.86
2015-12-14,12.65
2015-12-15,12.78
2015-12-16,13.44
2015-12-17,12.98
2015-12-18,13.08
2015-12-21,13.06
2015-12-22,13.15
2015-12-23,13.41
2015-12-24,13.34
2015-12-28,13.19
2015-12-29,13.4
2015-12-30,13.6
2015-12-31,13.71
2016-01-04,13.44
2016-01-05,12.96
2016-01-06,12.6
2016-01-07,12.32
2016-01-08,12.07
2016-01-11,11.42
2016-01-12,10.77
2016-01-13,10.48
2016-01-14,10.19
2016-01-15,10.09
2016-01-19,10.36
2016-01-20,10.4
2016-01-21,10.63
2016-01-22,10.99
2016-01-25,11.02
2016-01-26,11.23
2016-01-27,10.93
2016-01-28,11.35
2016-01-29,12.05
2016-02-01,12.27
2016-02-02,11.51
2016-02-03,11.45
2016-02-04,11.58
2016-02-05,11.39
2016-02-08,10.74
2016-02-09,10.51
2016-02-10,10.7
2016-02-11,10.71
2016-02-12,10.93
2016-02-16,10.97
2016-02-17,11.26
2016-02-18,11.02
2016-02-19,10.94
2016-02-22,11.06
2016-02-23,10.99
2016-02-24,10.65
2016-02-25,10.38
2016-02-26,9.54
2016-02-29,10.02
2016-03-01,10.34
2016-03-02,9.94
2016-03-03,9.98
2016-03-04,10.18
2016-03-07,9.97
2016-03-08,9.72
2016-03-09,9.8
2016-03-10,9.89
2016-03-11,10.32
2016-03-14,10.66
2016-03-15,10.43
2016-03-16,10.71
2016-03-17,10.83
2016-03-18,10.68
2016-03-21,10.22
2016-03-22,10.11
2016-03-23,10.0
2016-03-24,10.06
2016-03-28,9.95
2016-03-29,10.02
2016-03-30,10.33
2016-03-31,10.24
2016-04-01,9.98
2016-04-04,9.98
2016-04-05,9.8
2016-04-06,10.11
2016-04-07,10.06
2016-04-08,9.89
2016-04-11,9.99
2016-04-12,10.27
2016-04-13,10.56
2016-04-14,10.92
2016-04-15,10.88
2016-04-18,10.9
2016-04-19,11.14
2016-04-20,11.24
2016-04-21,11.16
2016-04-22,11.19
2016-04-25,11.25
2016-04-26,10.96
2016-04-27,11.37
2016-04-28,11.09
2016-04-29,10.87
2016-05-02,10.98
2016-05-03,10.61
2016-05-04,10.72
2016-05-05,10.83
2016-05-06,10.64
2016-05-09,10.61
2016-05-10,10.73
2016-05-11,10.9
2016-05-12,10.71
2016-05-13,10.79
2016-05-16,10.99
2016-05-17,10.13
2016-05-18,10.03
2016-05-19,9.73
2016-05-20,9.86
2016-05-23,9.74
2016-05-24,9.86
2016-05-25,10.09
2016-05-26,10.14
2016-05-27,10.11
2016-05-31,10.51
2016-06-01,10.3
2016-06-02,10.15
2016-06-03,10.45
2016-06-06,10.59
2016-06-07,10.64
2016-06-08,10.71
2016-06-09,10.69
2016-06-10,10.13
2016-06-13,9.76
2016-06-14,9.32
2016-06-15,9.21
2016-06-16,8.97
2016-06-17,9.27
2016-06-20,9.37
2016-06-21,9.48
2016-06-22,9.43
2016-06-23,9.63
2016-06-24,9.03
2016-06-27,8.79
2016-06-28,9.12
2016-06-29,9.26
2016-06-30,9.17
2016-07-01,9.33
2016-07-05,8.92
2016-07-06,8.76
2016-07-07,8.54
2016-07-08,8.71
2016-07-11,8.89
2016-07-12,8.98
2016-07-13,8.87
2016-07-14,8.88
2016-07-15,8.78
2016-07-18,8.92
2016-07-19,8.83
2016-07-20,8.92
2016-07-21,8.93
2016-07-22,8.85
2016-07-25,9.05
2016-07-26,8.97
2016-07-27,8.84
2016-07-28,8.64
2016-07-29,8.66
2016-08-01,8.4
2016-08-02,8.4
2016-08-03,8.52
2016-08-04,8.62
2016-08-05,8.75
2016-08-08,8.94
2016-08-09,8.83
2016-08-10,8.78
2016-08-11,8.77
2016-08-12,8.95
2016-08-15,9.16
2016-08-16,9.12
2016-08-17,9.04
