Date,PPG
1980-03-17,1.6875
1980-03-18,1.65625
1980-03-19,1.679688
1980-03-20,1.6875
1980-03-21,1.664063
1980-03-24,1.679688
1980-03-25,1.664063
1980-03-26,1.65625
1980-03-27,1.648438
1980-03-28,1.65625
1980-03-31,1.796875
1980-04-01,1.765625
1980-04-02,1.710938
1980-04-03,1.71875
1980-04-07,1.695313
1980-04-08,1.710938
1980-04-09,1.6875
1980-04-10,1.6875
1980-04-11,1.734375
1980-04-14,1.734375
1980-04-15,1.726563
1980-04-16,1.734375
1980-04-17,1.734375
1980-04-18,1.742188
1980-04-21,1.734375
1980-04-22,1.765625
1980-04-23,1.765625
1980-04-24,1.789063
1980-04-25,1.804688
1980-04-28,1.78125
1980-04-29,1.8125
1980-04-30,1.835938
1980-05-01,1.859375
1980-05-02,1.945313
1980-05-05,1.929688
1980-05-06,1.882813
1980-05-07,1.890625
1980-05-08,1.898438
1980-05-09,1.867188
1980-05-12,1.867188
1980-05-13,1.875
1980-05-14,1.875
1980-05-15,1.859375
1980-05-16,1.765625
1980-05-19,1.789063
1980-05-20,1.835938
1980-05-21,1.835938
1980-05-22,1.828125
1980-05-23,1.828125
1980-05-27,1.828125
1980-05-28,1.867188
1980-05-29,1.851563
1980-05-30,1.890625
1980-06-02,1.890625
1980-06-03,1.921875
1980-06-04,1.929688
1980-06-05,1.96875
1980-06-06,1.9375
1980-06-09,1.9375
1980-06-10,1.992188
1980-06-11,1.992188
1980-06-12,1.96875
1980-06-13,1.984375
1980-06-16,1.976563
1980-06-17,1.953125
1980-06-18,1.960938
1980-06-19,1.9375
1980-06-20,1.953125
1980-06-23,1.9375
1980-06-24,1.9375
1980-06-25,1.960938
1980-06-26,1.9375
1980-06-27,1.9375
1980-06-30,1.875
1980-07-01,1.890625
1980-07-02,1.882813
1980-07-03,1.898438
1980-07-07,1.921875
1980-07-08,1.953125
1980-07-09,1.992188
1980-07-10,2.0
1980-07-11,2.015625
1980-07-14,2.054688
1980-07-15,2.070313
1980-07-16,2.070313
1980-07-17,2.078125
1980-07-18,2.132813
1980-07-21,2.15625
1980-07-22,2.148438
1980-07-23,2.125
1980-07-24,2.140625
1980-07-25,2.132813
1980-07-28,2.140625
1980-07-29,2.171875
1980-07-30,2.195313
1980-07-31,2.210938
1980-08-01,2.226563
1980-08-04,2.273438
1980-08-05,2.25
1980-08-06,2.289063
1980-08-07,2.257813
1980-08-08,2.273438
1980-08-11,2.257813
1980-08-12,2.273438
1980-08-13,2.265625
1980-08-14,2.265625
1980-08-15,2.257813
1980-08-18,2.203125
1980-08-19,2.179688
1980-08-20,2.195313
1980-08-21,2.265625
1980-08-22,2.265625
1980-08-25,2.25
1980-08-26,2.265625
1980-08-27,2.21875
1980-08-28,2.171875
1980-08-29,2.171875
1980-09-02,2.1875
1980-09-03,2.25
1980-09-04,2.25
1980-09-05,2.257813
1980-09-08,2.242188
1980-09-09,2.242188
1980-09-10,2.234375
1980-09-11,2.25
1980-09-12,2.265625
1980-09-15,2.25
1980-09-16,2.265625
1980-09-17,2.328125
1980-09-18,2.34375
1980-09-19,2.34375
1980-09-22,2.351563
1980-09-23,2.351563
1980-09-24,2.328125
1980-09-25,2.304688
1980-09-26,2.289063
1980-09-29,2.28125
1980-09-30,2.289063
1980-10-01,2.257813
1980-10-02,2.273438
1980-10-03,2.28125
1980-10-06,2.265625
1980-10-07,2.25
1980-10-08,2.28125
1980-10-09,2.265625
1980-10-10,2.226563
1980-10-13,2.226563
1980-10-14,2.203125
1980-10-15,2.195313
1980-10-16,2.1875
1980-10-17,2.1875
1980-10-20,2.1875
1980-10-21,2.25
1980-10-22,2.234375
1980-10-23,2.25
1980-10-24,2.265625
1980-10-27,2.25
1980-10-28,2.257813
1980-10-29,2.265625
1980-10-30,2.265625
1980-10-31,2.265625
1980-11-03,2.28125
1980-11-05,2.28125
1980-11-06,2.296875
1980-11-07,2.28125
1980-11-10,2.273438
1980-11-11,2.265625
1980-11-12,2.273438
1980-11-13,2.273438
1980-11-14,2.304688
1980-11-17,2.328125
1980-11-18,2.335938
1980-11-19,2.359375
1980-11-20,2.398438
1980-11-21,2.359375
1980-11-24,2.34375
1980-11-25,2.3125
1980-11-26,2.203125
1980-11-28,2.1875
1980-12-01,2.1875
1980-12-02,2.203125
1980-12-03,2.25
1980-12-04,2.25
1980-12-05,2.242188
1980-12-08,2.203125
1980-12-09,2.1875
1980-12-10,2.195313
1980-12-11,2.15625
1980-12-12,2.15625
1980-12-15,2.117188
1980-12-16,2.0625
1980-12-17,2.085938
1980-12-18,2.070313
1980-12-19,2.140625
1980-12-22,2.164063
1980-12-23,2.15625
1980-12-24,2.242188
1980-12-26,2.25
1980-12-29,2.265625
1980-12-30,2.328125
1980-12-31,2.546875
1981-01-02,2.546875
1981-01-05,2.515625
1981-01-06,2.421875
1981-01-07,2.359375
1981-01-08,2.296875
1981-01-09,2.398438
1981-01-12,2.53125
1981-01-13,2.515625
1981-01-14,2.523438
1981-01-15,2.515625
1981-01-16,2.640625
1981-01-19,2.625
1981-01-20,2.664063
1981-01-21,2.6875
1981-01-22,2.640625
1981-01-23,2.625
1981-01-26,2.5625
1981-01-27,2.585938
1981-01-28,2.625
1981-01-29,2.65625
1981-01-30,2.664063
1981-02-02,2.59375
1981-02-03,2.625
1981-02-04,2.578125
1981-02-05,2.625
1981-02-06,2.710938
1981-02-09,2.703125
1981-02-10,2.703125
1981-02-11,2.6875
1981-02-12,2.679688
1981-02-13,2.640625
1981-02-17,2.609375
1981-02-18,2.59375
1981-02-19,2.546875
1981-02-20,2.546875
1981-02-23,2.585938
1981-02-24,2.625
1981-02-25,2.9375
1981-02-26,3.046875
1981-02-27,3.15625
1981-03-02,3.210938
1981-03-03,3.148438
1981-03-04,3.125
1981-03-05,3.0
1981-03-06,3.03125
1981-03-09,3.0625
1981-03-10,2.960938
1981-03-11,2.96875
1981-03-12,3.078125
1981-03-13,3.125
1981-03-16,3.109375
1981-03-17,3.164063
1981-03-18,3.21875
1981-03-19,3.171875
1981-03-20,3.195313
1981-03-23,3.21875
1981-03-24,3.179688
1981-03-25,3.453125
1981-03-26,3.34375
1981-03-27,3.390625
1981-03-30,3.28125
1981-03-31,3.3828129999999996
1981-04-01,3.40625
1981-04-02,3.359375
1981-04-03,3.296875
1981-04-06,3.609375
1981-04-07,3.546875
1981-04-08,3.484375
1981-04-09,3.515625
1981-04-10,3.5625
1981-04-13,3.578125
1981-04-14,3.5
1981-04-15,3.4921879999999996
1981-04-16,3.5234379999999996
1981-04-20,3.515625
1981-04-21,3.296875
1981-04-22,3.3203129999999996
1981-04-23,3.3828129999999996
1981-04-24,3.40625
1981-04-27,3.40625
1981-04-28,3.2890629999999996
1981-04-29,3.179688
1981-04-30,3.1875
1981-05-01,3.25
1981-05-04,3.195313
1981-05-05,3.101563
1981-05-06,3.117188
1981-05-07,3.1875
1981-05-08,3.1875
1981-05-11,3.101563
1981-05-12,3.078125
1981-05-13,3.09375
1981-05-14,3.125
1981-05-15,3.140625
1981-05-18,3.132813
1981-05-19,3.1875
1981-05-20,3.3984379999999996
1981-05-21,3.375
1981-05-22,3.328125
1981-05-26,3.328125
1981-05-27,3.273438
1981-05-28,3.234375
1981-05-29,3.203125
1981-06-01,3.140625
1981-06-02,3.0625
1981-06-03,2.960938
1981-06-04,2.96875
1981-06-05,3.03125
1981-06-08,3.03125
1981-06-09,3.046875
1981-06-10,3.0625
1981-06-11,3.15625
1981-06-12,3.09375
1981-06-15,3.140625
1981-06-16,3.109375
1981-06-17,3.078125
1981-06-18,3.015625
1981-06-19,2.953125
1981-06-22,2.960938
1981-06-23,2.96875
1981-06-24,2.9375
1981-06-25,2.9375
1981-06-26,2.875
1981-06-29,2.914063
1981-06-30,2.9375
1981-07-01,2.945313
1981-07-02,2.9375
1981-07-06,2.90625
1981-07-07,2.804688
1981-07-08,2.765625
1981-07-09,2.75
1981-07-10,2.71875
1981-07-13,2.695313
1981-07-14,2.703125
1981-07-15,2.796875
1981-07-16,2.835938
1981-07-17,2.84375
1981-07-20,2.765625
1981-07-21,2.742188
1981-07-22,2.703125
1981-07-23,2.726563
1981-07-24,2.75
1981-07-27,2.71875
1981-07-28,2.78125
1981-07-29,2.796875
1981-07-30,2.789063
1981-07-31,2.78125
1981-08-03,2.796875
1981-08-04,2.796875
1981-08-05,2.890625
1981-08-06,2.875
1981-08-07,2.851563
1981-08-10,2.875
1981-08-11,2.953125
1981-08-12,2.882813
1981-08-13,2.859375
1981-08-14,2.90625
1981-08-17,2.882813
1981-08-18,2.835938
1981-08-19,2.859375
1981-08-20,2.851563
1981-08-21,2.835938
1981-08-24,2.851563
1981-08-25,2.882813
1981-08-26,2.867188
1981-08-27,2.867188
1981-08-28,2.867188
1981-08-31,2.859375
1981-09-01,2.867188
1981-09-02,2.882813
1981-09-03,2.859375
1981-09-04,2.8125
1981-09-08,2.695313
1981-09-09,2.6875
1981-09-10,2.726563
1981-09-11,2.703125
1981-09-14,2.710938
1981-09-15,2.703125
1981-09-16,2.734375
1981-09-17,2.710938
1981-09-18,2.640625
1981-09-21,2.648438
1981-09-22,2.648438
1981-09-23,2.609375
1981-09-24,2.59375
1981-09-25,2.46875
1981-09-28,2.546875
1981-09-29,2.5625
1981-09-30,2.515625
1981-10-01,2.492188
1981-10-02,2.523438
1981-10-05,2.492188
1981-10-06,2.4375
1981-10-07,2.421875
1981-10-08,2.453125
1981-10-09,2.4375
1981-10-12,2.4375
1981-10-13,2.429688
1981-10-14,2.421875
1981-10-15,2.429688
1981-10-16,2.429688
1981-10-19,2.445313
1981-10-20,2.390625
1981-10-21,2.390625
1981-10-22,2.34375
1981-10-23,2.296875
1981-10-26,2.304688
1981-10-27,2.351563
1981-10-28,2.382813
1981-10-29,2.359375
1981-10-30,2.390625
1981-11-02,2.4375
1981-11-03,2.53125
1981-11-04,2.507813
1981-11-05,2.546875
1981-11-06,2.5625
1981-11-09,2.570313
1981-11-10,2.59375
1981-11-11,2.617188
1981-11-12,2.609375
1981-11-13,2.554688
1981-11-16,2.476563
1981-11-17,2.492188
1981-11-18,2.46875
1981-11-19,2.476563
1981-11-20,2.5
1981-11-23,2.460938
1981-11-24,2.460938
1981-11-25,2.453125
1981-11-27,2.476563
1981-11-30,2.515625
1981-12-01,2.484375
1981-12-02,2.484375
1981-12-03,2.515625
1981-12-04,2.515625
1981-12-07,2.492188
1981-12-08,2.46875
1981-12-09,2.484375
1981-12-10,2.492188
1981-12-11,2.515625
1981-12-14,2.453125
1981-12-15,2.445313
1981-12-16,2.445313
1981-12-17,2.4375
1981-12-18,2.421875
1981-12-21,2.375
1981-12-22,2.375
1981-12-23,2.375
1981-12-24,2.382813
1981-12-28,2.3125
1981-12-29,2.3125
1981-12-30,2.328125
1981-12-31,2.359375
1982-01-04,2.367188
1982-01-05,2.328125
1982-01-06,2.328125
1982-01-07,2.296875
1982-01-08,2.265625
1982-01-11,2.1875
1982-01-12,2.203125
1982-01-13,2.1875
1982-01-14,2.179688
1982-01-15,2.15625
1982-01-18,2.0625
1982-01-19,2.054688
1982-01-20,2.046875
1982-01-21,2.046875
1982-01-22,2.03125
1982-01-25,2.015625
1982-01-26,2.0
1982-01-27,2.007813
1982-01-28,2.039063
1982-01-29,2.085938
1982-02-01,2.046875
1982-02-02,2.0625
1982-02-03,2.070313
1982-02-04,2.078125
1982-02-05,2.148438
1982-02-08,2.078125
1982-02-09,2.039063
1982-02-10,2.039063
1982-02-11,1.953125
1982-02-12,1.976563
1982-02-16,1.984375
1982-02-17,1.976563
1982-02-18,1.976563
1982-02-19,1.96875
1982-02-22,1.945313
1982-02-23,1.960938
1982-02-24,1.953125
1982-02-25,1.953125
1982-02-26,1.960938
1982-03-01,1.9375
1982-03-02,1.929688
