Date,FN
2011-07-21,18.059998999999998
2011-07-22,18.639999
2011-07-25,18.02
2011-07-26,17.370001000000002
2011-07-27,16.700001
2011-07-28,16.02
2011-07-29,15.4
2011-08-01,14.92
2011-08-02,14.39
2011-08-03,15.06
2011-08-04,15.05
2011-08-05,14.37
2011-08-08,12.9
2011-08-09,15.38
2011-08-10,14.7
2011-08-11,14.54
2011-08-12,15.03
2011-08-15,15.26
2011-08-16,17.940001000000002
2011-08-17,16.379998999999998
2011-08-18,15.16
2011-08-19,14.48
2011-08-22,15.04
2011-08-23,16.32
2011-08-24,16.889999
2011-08-25,16.059998999999998
2011-08-26,16.52
2011-08-29,17.299999
2011-08-30,16.950001
2011-08-31,16.49
2011-09-01,16.299999
2011-09-02,15.94
2011-09-06,16.18
2011-09-07,16.73
2011-09-08,16.01
2011-09-09,15.68
2011-09-12,16.379998999999998
2011-09-13,16.32
2011-09-14,18.17
2011-09-15,18.4
2011-09-16,18.379998999999998
2011-09-19,18.16
2011-09-20,18.76
2011-09-21,18.84
2011-09-22,18.469998999999998
2011-09-23,19.0
2011-09-26,19.52
2011-09-27,20.51
2011-09-28,19.629998999999998
2011-09-29,19.75
2011-09-30,18.700001
2011-10-03,17.52
2011-10-04,18.77
2011-10-05,19.34
2011-10-06,19.709999
2011-10-07,19.860001
2011-10-10,20.030001000000002
2011-10-11,19.52
2011-10-12,18.75
2011-10-13,17.99
2011-10-14,18.18
2011-10-17,17.16
2011-10-18,16.9
2011-10-19,15.65
2011-10-20,15.64
2011-10-21,16.09
2011-10-24,15.79
2011-10-25,12.25
2011-10-26,11.95
2011-10-27,13.05
2011-10-28,12.83
2011-10-31,12.4
2011-11-01,12.1
2011-11-02,13.53
2011-11-03,14.24
2011-11-04,14.11
2011-11-07,13.73
2011-11-08,14.33
2011-11-09,13.4
2011-11-10,14.12
2011-11-11,14.03
2011-11-14,13.72
2011-11-15,14.08
2011-11-16,14.22
2011-11-17,14.03
2011-11-18,14.0
2011-11-21,14.3
2011-11-22,13.94
2011-11-23,13.38
2011-11-25,13.39
2011-11-28,13.85
2011-11-29,13.7
2011-11-30,14.19
2011-12-01,14.16
2011-12-02,14.24
2011-12-05,14.13
2011-12-06,14.3
2011-12-07,14.15
2011-12-08,13.89
2011-12-09,13.97
2011-12-12,13.77
