Date,GLBR
2010-12-02,148.5
2010-12-03,150.0
2010-12-06,149.5
2010-12-07,145.0
2010-12-08,141.600006
2010-12-09,137.5
2010-12-10,130.0
2010-12-13,131.0
2010-12-14,131.0
2010-12-15,127.0
2010-12-16,127.800003
2010-12-17,126.5
2010-12-20,122.099998
2010-12-21,127.5
2010-12-22,127.699997
2010-12-23,129.0
2010-12-27,128.399994
2010-12-28,134.800003
2010-12-29,134.100006
2010-12-30,132.899994
2010-12-31,132.5
2011-01-03,131.600006
2011-01-04,130.0
2011-01-05,133.0
2011-01-06,133.899994
2011-01-07,134.399994
2011-01-10,134.699997
2011-01-11,140.199997
2011-01-12,144.100006
2011-01-13,147.0
2011-01-14,146.5
2011-01-18,145.600006
2011-01-19,143.0
2011-01-20,137.600006
2011-01-21,133.800003
2011-01-24,134.0
2011-01-25,134.699997
2011-01-26,133.100006
2011-01-27,132.300003
2011-01-28,132.800003
2011-01-31,135.699997
2011-02-01,140.899994
2011-02-02,140.399994
2011-02-03,139.600006
2011-02-04,139.300003
2011-02-07,139.199997
2011-02-08,139.800003
2011-02-09,139.600006
2011-02-10,134.600006
2011-02-11,129.699997
2011-02-14,131.100006
2011-02-15,137.0
2011-02-16,120.5
2011-02-17,122.599998
2011-02-18,120.300003
2011-02-22,119.199997
2011-02-23,114.599998
2011-02-24,115.5
2011-02-25,115.199997
2011-02-28,113.800003
2011-03-01,115.099998
2011-03-02,126.699997
2011-03-03,129.899994
2011-03-04,130.399994
2011-03-07,129.100006
2011-03-08,128.5
2011-03-09,128.399994
2011-03-10,125.699997
2011-03-11,126.199997
2011-03-14,125.800003
2011-03-15,121.0
2011-03-16,121.199997
2011-03-17,117.900002
2011-03-18,124.199997
2011-03-21,126.099998
2011-03-22,123.699997
2011-03-23,121.599998
2011-03-24,120.0
2011-03-25,118.400002
2011-03-28,116.099998
2011-03-29,125.0
2011-03-30,126.0
2011-03-31,130.300003
2011-04-01,135.800003
2011-04-04,136.300003
2011-04-05,135.0
2011-04-06,140.300003
2011-04-07,135.100006
2011-04-08,133.0
2011-04-11,133.0
2011-04-12,134.399994
2011-04-13,133.699997
2011-04-14,134.199997
2011-04-15,133.0
2011-04-18,133.899994
2011-04-19,132.800003
2011-04-20,135.300003
2011-04-21,132.800003
2011-04-25,132.5
2011-04-26,132.600006
2011-04-27,132.399994
2011-04-28,133.0
2011-04-29,133.100006
2011-05-02,131.300003
2011-05-03,124.0
2011-05-04,123.800003
2011-05-05,121.5
2011-05-06,125.5
2011-05-09,123.900002
2011-05-10,127.5
2011-05-11,124.5
