Date,WB
2014-04-17,20.24
2014-04-21,22.610001
2014-04-22,23.15
2014-04-23,21.41
2014-04-24,20.440001000000002
2014-04-25,19.209999
2014-04-28,17.51
2014-04-29,18.299999
2014-04-30,19.559998999999998
2014-05-01,20.219998999999998
2014-05-02,20.030001000000002
2014-05-05,19.75
2014-05-06,18.57
2014-05-07,17.549999
2014-05-08,17.969998999999998
2014-05-09,17.860001
2014-05-12,19.52
2014-05-13,20.059998999999998
2014-05-14,19.549999
2014-05-15,19.719998999999998
2014-05-16,19.75
2014-05-19,19.549999
2014-05-20,19.07
2014-05-21,20.25
2014-05-22,18.049999
2014-05-23,18.07
2014-05-27,17.950001
2014-05-28,18.370001000000002
2014-05-29,19.15
2014-05-30,18.52
2014-06-02,18.35
2014-06-03,18.32
2014-06-04,18.780001000000002
2014-06-05,18.959999
2014-06-06,18.540001
2014-06-09,18.65
2014-06-10,18.91
2014-06-11,19.209999
2014-06-12,18.940001000000002
2014-06-13,19.209999
2014-06-16,19.309998999999998
2014-06-17,20.799999
2014-06-18,21.23
2014-06-19,20.120001000000002
2014-06-20,19.879998999999998
2014-06-23,19.48
2014-06-24,19.870001000000002
2014-06-25,20.34
2014-06-26,20.469998999999998
2014-06-27,20.639999
2014-06-30,20.48
2014-07-01,21.370001000000002
2014-07-02,22.0
2014-07-03,21.040001
2014-07-07,19.92
2014-07-08,18.940001000000002
2014-07-09,19.549999
2014-07-10,19.280001000000002
2014-07-11,19.299999
2014-07-14,19.25
2014-07-15,19.1
2014-07-16,19.030001000000002
2014-07-17,18.91
2014-07-18,19.040001
2014-07-21,19.16
2014-07-22,19.51
2014-07-23,19.32
2014-07-24,19.639999
2014-07-25,20.16
2014-07-28,19.59
2014-07-29,19.559998999999998
2014-07-30,20.41
2014-07-31,19.559998999999998
2014-08-01,19.040001
2014-08-04,19.629998999999998
2014-08-05,19.48
2014-08-06,19.200001
2014-08-07,19.24
2014-08-08,19.530001000000002
2014-08-11,20.0
2014-08-12,20.09
2014-08-13,20.32
2014-08-14,21.459999
2014-08-15,19.950001
2014-08-18,20.0
2014-08-19,19.66
2014-08-20,19.360001
2014-08-21,19.52
2014-08-22,19.42
2014-08-25,19.379998999999998
2014-08-26,19.52
2014-08-27,19.379998999999998
2014-08-28,19.5
2014-08-29,19.92
2014-09-02,20.0
2014-09-03,19.889999
2014-09-04,20.35
2014-09-05,19.809998999999998
2014-09-08,20.120001000000002
2014-09-09,21.49
2014-09-10,21.49
2014-09-11,24.34
2014-09-12,23.809998999999998
2014-09-15,21.049999
2014-09-16,21.549999
2014-09-17,21.08
2014-09-18,21.440001000000002
2014-09-19,21.01
2014-09-22,19.809998999999998
2014-09-23,19.59
2014-09-24,19.969998999999998
2014-09-25,19.139999
2014-09-26,19.639999
2014-09-29,19.209999
