Date,CLPR
2017-09-07,10.84
2017-09-08,10.93
2017-09-11,10.92
2017-09-12,10.95
2017-09-13,10.98
2017-09-14,11.25
2017-09-15,10.76
2017-09-18,11.16
2017-09-19,10.81
2017-09-20,10.77
2017-09-21,10.56
2017-09-22,10.41
2017-09-25,10.59
2017-09-26,10.75
2017-09-27,11.22
2017-09-28,10.96
2017-09-29,10.71
2017-10-02,10.97
2017-10-03,10.88
2017-10-04,10.87
2017-10-05,10.91
2017-10-06,10.96
2017-10-09,11.4
2017-10-10,11.56
2017-10-11,11.54
2017-10-12,11.48
2017-10-13,11.51
2017-10-16,11.5
2017-10-17,11.48
2017-10-18,11.4
2017-10-19,11.44
2017-10-20,11.35
2017-10-23,10.92
2017-10-24,10.91
2017-10-25,11.02
2017-10-26,11.11
2017-10-27,10.76
2017-10-30,10.8
2017-10-31,10.87
2017-11-01,10.85
2017-11-02,10.98
2017-11-03,11.0
2017-11-06,10.71
2017-11-07,10.66
2017-11-08,10.79
2017-11-09,11.05
2017-11-10,11.0
2017-11-13,10.59
2017-11-14,9.86
2017-11-15,9.65
2017-11-16,9.89
2017-11-17,9.98
2017-11-20,10.34
2017-11-21,10.45
2017-11-22,10.52
2017-11-24,10.55
2017-11-27,10.34
2017-11-28,10.27
2017-11-29,10.2
2017-11-30,10.08
2017-12-01,10.15
2017-12-04,10.0
2017-12-05,10.05
2017-12-06,10.06
2017-12-07,9.9
2017-12-08,10.04
2017-12-11,10.02
2017-12-12,9.93
2017-12-13,10.25
2017-12-14,10.19
2017-12-15,10.12
2017-12-18,10.28
2017-12-19,9.98
2017-12-20,10.0
2017-12-21,9.95
2017-12-22,9.9
2017-12-26,9.9
2017-12-27,9.87
2017-12-28,9.87
2017-12-29,9.99
2018-01-02,10.0
2018-01-03,9.96
2018-01-04,9.87
2018-01-05,10.01
2018-01-08,9.98
2018-01-09,9.87
2018-01-10,9.69
2018-01-11,10.17
2018-01-12,10.03
2018-01-16,9.96
2018-01-17,10.02
2018-01-18,10.05
2018-01-19,10.15
2018-01-22,10.18
2018-01-23,10.15
2018-01-24,10.15
2018-01-25,10.17
2018-01-26,10.16
2018-01-29,10.15
2018-01-30,10.09
2018-01-31,9.45
2018-02-01,8.97
2018-02-02,8.2
2018-02-05,7.73
2018-02-06,8.09
2018-02-07,8.06
2018-02-08,7.77
2018-02-09,8.03
2018-02-12,8.12
2018-02-13,8.04
2018-02-14,8.04
2018-02-15,8.06
2018-02-16,8.26
2018-02-20,8.08
2018-02-21,8.19
2018-02-22,8.53
2018-02-23,8.79
2018-02-26,8.94
2018-02-27,8.92
2018-02-28,8.9
2018-03-01,8.84
2018-03-02,8.82
2018-03-05,8.83
2018-03-06,8.92
2018-03-07,8.7
2018-03-08,8.73
2018-03-09,8.85
2018-03-12,9.12
2018-03-13,9.1
2018-03-14,8.81
2018-03-15,8.75
2018-03-16,9.17
2018-03-19,9.12
2018-03-20,8.84
2018-03-21,8.55
2018-03-22,8.41
2018-03-23,8.08
2018-03-26,8.04
2018-03-27,7.9
2018-03-28,8.35
2018-03-29,8.47
2018-04-02,7.97
2018-04-03,8.01
2018-04-04,8.26
2018-04-05,8.34
2018-04-06,8.28
2018-04-09,8.44
2018-04-10,8.31
2018-04-11,8.44
2018-04-12,8.26
2018-04-13,8.16
2018-04-16,8.2
2018-04-17,8.05
2018-04-18,8.36
2018-04-19,7.99
2018-04-20,7.76
2018-04-23,7.76
2018-04-24,7.78
2018-04-25,7.72
2018-04-26,7.8
2018-04-27,8.0
2018-04-30,8.19
2018-05-01,8.05
2018-05-02,8.19
2018-05-03,8.29
2018-05-04,8.34
2018-05-07,8.47
2018-05-08,8.44
2018-05-09,8.48
2018-05-10,8.45
2018-05-11,8.5
2018-05-14,8.48
2018-05-15,8.55
2018-05-16,8.78
2018-05-17,8.99
2018-05-18,9.18
2018-05-21,9.19
2018-05-22,8.85
2018-05-23,8.79
2018-05-24,8.69
2018-05-25,8.49
2018-05-29,8.62
2018-05-30,8.82
2018-05-31,8.93
2018-06-01,8.94
2018-06-04,8.87
2018-06-05,8.69
2018-06-06,8.77
2018-06-07,9.11
2018-06-08,9.42
2018-06-11,9.86
2018-06-12,10.04
2018-06-13,9.66
2018-06-14,9.93
2018-06-15,9.53
2018-06-18,9.4
2018-06-19,9.17
2018-06-20,8.58
2018-06-21,8.55
2018-06-22,8.65
2018-06-25,8.67
2018-06-26,8.57
2018-06-27,8.57
2018-06-28,8.66
2018-06-29,8.54
2018-07-02,8.53
2018-07-03,8.7
2018-07-05,8.86
2018-07-06,9.07
2018-07-09,9.38
2018-07-10,9.98
2018-07-11,9.89
2018-07-12,9.93
2018-07-13,9.88
2018-07-16,10.01
2018-07-17,9.99
2018-07-18,10.01
2018-07-19,10.25
2018-07-20,10.07
2018-07-23,10.32
2018-07-24,10.26
2018-07-25,10.25
2018-07-26,10.29
2018-07-27,10.24
2018-07-30,10.3
2018-07-31,10.64
2018-08-01,10.53
2018-08-02,10.55
2018-08-03,10.51
2018-08-06,10.58
2018-08-07,10.59
2018-08-08,10.44
2018-08-09,10.54
2018-08-10,10.64
2018-08-13,10.97
2018-08-14,11.21
2018-08-15,11.51
2018-08-16,12.45
2018-08-17,12.14
2018-08-20,11.98
2018-08-21,11.91
2018-08-22,11.9
2018-08-23,11.89
2018-08-24,11.9
2018-08-27,11.85
2018-08-28,11.88
2018-08-29,11.84
2018-08-30,11.77
2018-08-31,12.2
2018-09-04,11.9
2018-09-05,11.97
2018-09-06,12.02
2018-09-07,12.11
2018-09-10,12.16
2018-09-11,11.78
2018-09-12,11.72
2018-09-13,12.02
2018-09-14,12.09
2018-09-17,12.29
2018-09-18,12.14
2018-09-19,12.17
2018-09-20,12.45
2018-09-21,13.1
2018-09-24,13.0
2018-09-25,13.23
2018-09-26,13.04
2018-09-27,13.1
2018-09-28,13.53
2018-10-01,13.29
2018-10-02,13.09
2018-10-03,13.31
2018-10-04,13.03
2018-10-05,13.19
2018-10-08,13.57
2018-10-09,13.48
2018-10-10,13.13
2018-10-11,12.65
2018-10-12,12.33
2018-10-15,12.36
2018-10-16,12.89
2018-10-17,12.68
2018-10-18,12.88
2018-10-19,13.01
2018-10-22,12.97
2018-10-23,12.99
2018-10-24,13.03
2018-10-25,13.69
2018-10-26,13.52
2018-10-29,13.42
2018-10-30,13.46
2018-10-31,13.44
2018-11-01,13.43
2018-11-02,13.77
2018-11-05,14.07
2018-11-06,14.25
2018-11-07,14.25
2018-11-08,14.05
2018-11-09,14.08
2018-11-12,13.99
2018-11-13,14.04
2018-11-14,14.03
2018-11-15,13.75
2018-11-16,13.17
2018-11-19,13.08
2018-11-20,12.97
2018-11-21,13.43
2018-11-23,13.4
2018-11-26,13.41
2018-11-27,12.85
2018-11-28,13.24
2018-11-29,13.02
2018-11-30,12.9
2018-12-03,13.0
2018-12-04,12.3
2018-12-06,12.39
2018-12-07,12.5
2018-12-10,12.41
2018-12-11,12.55
2018-12-12,12.71
2018-12-13,12.83
2018-12-14,12.69
2018-12-17,12.45
2018-12-18,12.52
2018-12-19,12.57
2018-12-20,12.53
2018-12-21,12.52
2018-12-24,12.23
2018-12-26,12.88
2018-12-27,12.92
2018-12-28,12.98
2018-12-31,13.07
2019-01-02,12.86
2019-01-03,12.78
2019-01-04,13.21
2019-01-07,12.94
2019-01-08,13.05
2019-01-09,13.24
2019-01-10,13.22
2019-01-11,13.29
2019-01-14,13.09
2019-01-15,13.17
2019-01-16,13.36
2019-01-17,13.33
2019-01-18,13.23
2019-01-22,13.2
2019-01-23,13.21
2019-01-24,13.12
2019-01-25,13.23
2019-01-28,12.89
2019-01-29,12.9
2019-01-30,13.02
2019-01-31,12.95
2019-02-01,12.83
2019-02-04,12.82
2019-02-05,12.88
2019-02-06,12.86
2019-02-07,12.87
2019-02-08,12.45
2019-02-11,12.55
2019-02-12,12.6
2019-02-13,12.53
2019-02-14,12.4
2019-02-15,12.7
2019-02-19,12.65
2019-02-20,12.68
2019-02-21,12.91
2019-02-22,13.02
2019-02-25,12.96
2019-02-26,13.14
2019-02-27,13.03
2019-02-28,13.16
2019-03-01,13.28
2019-03-04,13.22
2019-03-05,13.28
2019-03-06,13.1
2019-03-07,13.04
2019-03-08,13.17
2019-03-11,13.22
2019-03-12,13.31
2019-03-13,13.32
2019-03-14,13.37
2019-03-15,13.36
2019-03-18,13.36
2019-03-19,13.31
2019-03-20,13.28
2019-03-21,13.33
2019-03-22,12.96
2019-03-25,13.31
2019-03-26,13.35
2019-03-27,13.32
2019-03-28,13.36
2019-03-29,13.39
2019-04-01,13.34
2019-04-02,13.37
2019-04-03,13.35
2019-04-04,13.34
2019-04-05,13.41
2019-04-08,13.31
2019-04-09,13.31
2019-04-10,13.19
2019-04-11,13.26
2019-04-12,13.29
2019-04-15,13.32
2019-04-16,13.33
2019-04-17,13.29
2019-04-18,13.19
2019-04-22,13.09
2019-04-23,13.19
2019-04-24,13.1
2019-04-25,12.95
2019-04-26,13.04
2019-04-29,13.09
2019-04-30,13.05
2019-05-01,12.81
2019-05-02,12.85
2019-05-03,13.27
2019-05-06,13.04
2019-05-07,12.98
2019-05-08,13.0
2019-05-09,13.04
2019-05-10,13.2
2019-05-13,12.92
2019-05-14,12.96
2019-05-15,12.95
2019-05-16,13.0
2019-05-17,12.95
2019-05-20,12.89
2019-05-21,12.96
2019-05-22,13.0
2019-05-23,12.93
2019-05-24,13.0
2019-05-28,12.95
2019-05-29,12.78
2019-05-30,12.83
2019-05-31,12.77
2019-06-03,12.79
2019-06-04,12.83
2019-06-05,12.68
2019-06-06,12.48
2019-06-07,12.78
2019-06-10,12.68
2019-06-11,12.64
2019-06-12,12.7
2019-06-13,12.95
2019-06-14,12.96
2019-06-17,12.83
2019-06-18,12.69
2019-06-19,12.76
2019-06-20,12.2
2019-06-21,12.23
2019-06-24,12.2
2019-06-25,12.65
2019-06-26,10.95
2019-06-27,10.59
2019-06-28,11.18
2019-07-01,11.06
2019-07-02,11.18
2019-07-03,11.49
2019-07-05,11.51
2019-07-08,11.41
2019-07-09,11.3
2019-07-10,11.37
2019-07-11,11.22
2019-07-12,11.32
2019-07-15,10.99
2019-07-16,10.92
2019-07-17,10.93
2019-07-18,10.69
2019-07-19,10.49
2019-07-22,10.25
2019-07-23,10.46
2019-07-24,10.56
2019-07-25,10.45
2019-07-26,10.94
2019-07-29,11.29
2019-07-30,11.24
2019-07-31,11.55
2019-08-01,11.75
2019-08-02,10.85
2019-08-05,10.53
2019-08-06,10.99
2019-08-07,11.02
2019-08-08,11.2
2019-08-09,11.0
2019-08-12,11.08
2019-08-13,11.13
2019-08-14,11.0
2019-08-15,11.0
2019-08-16,11.02
2019-08-19,11.04
2019-08-20,11.28
2019-08-21,11.11
2019-08-22,11.1
2019-08-23,11.0
2019-08-26,11.2
2019-08-27,10.8
2019-08-28,11.15
2019-08-29,11.07
2019-08-30,10.94
2019-09-03,10.68
2019-09-04,10.49
2019-09-05,10.56
2019-09-06,10.59
2019-09-09,10.68
2019-09-10,10.59
2019-09-11,11.05
2019-09-12,10.99
2019-09-13,10.75
2019-09-16,10.75
2019-09-17,11.12
2019-09-18,10.93
2019-09-19,10.87
2019-09-20,11.0
2019-09-23,10.92
2019-09-24,10.88
2019-09-25,10.76
2019-09-26,10.46
2019-09-27,10.17
2019-09-30,10.19
2019-10-01,9.75
2019-10-02,9.88
2019-10-03,9.7
2019-10-04,9.79
2019-10-07,9.76
2019-10-08,9.26
2019-10-09,9.04
2019-10-10,9.05
2019-10-11,9.04
2019-10-14,8.93
2019-10-15,8.57
2019-10-16,8.8
2019-10-17,9.36
2019-10-18,9.54
2019-10-21,9.44
2019-10-22,9.45
2019-10-23,9.29
2019-10-24,9.12
2019-10-25,8.86
2019-10-28,9.15
2019-10-29,9.38
2019-10-30,9.67
2019-10-31,9.64
2019-11-01,10.0
2019-11-04,10.31
2019-11-05,10.2
2019-11-06,10.4
2019-11-07,10.53
2019-11-08,10.2
2019-11-11,9.9
2019-11-12,9.74
2019-11-13,9.3
2019-11-14,9.01
2019-11-15,9.52
2019-11-18,9.16
2019-11-19,9.32
2019-11-20,9.14
2019-11-21,8.91
2019-11-22,8.93
2019-11-25,9.11
2019-11-26,9.0
2019-11-27,9.0
2019-11-29,8.95
2019-12-02,8.94
2019-12-03,9.13
2019-12-04,9.18
2019-12-05,9.23
2019-12-06,9.23
2019-12-09,9.1
2019-12-10,9.25
2019-12-11,9.4
2019-12-12,9.77
2019-12-13,9.74
2019-12-16,9.94
2019-12-17,9.99
2019-12-18,10.42
2019-12-19,10.01
2019-12-20,10.15
2019-12-23,10.29
2019-12-24,10.38
2019-12-26,10.39
2019-12-27,10.43
2019-12-30,10.43
2019-12-31,10.6
2020-01-02,10.28
2020-01-03,10.32
2020-01-06,10.5
2020-01-07,10.64
2020-01-08,10.7
2020-01-09,10.47
2020-01-10,10.43
2020-01-13,10.49
2020-01-14,10.5
2020-01-15,10.69
2020-01-16,10.77
2020-01-17,10.74
2020-01-21,10.89
2020-01-22,11.04
2020-01-23,11.1
2020-01-24,11.05
2020-01-27,11.01
2020-01-28,11.12
2020-01-29,11.05
2020-01-30,10.97
2020-01-31,10.66
2020-02-03,11.3
2020-02-04,11.11
2020-02-05,11.26
2020-02-06,11.19
2020-02-07,11.2
2020-02-10,11.36
2020-02-11,11.24
2020-02-12,11.23
2020-02-13,11.37
2020-02-14,11.09
2020-02-18,11.23
2020-02-19,11.1
2020-02-20,11.04
2020-02-21,11.06
2020-02-24,10.93
2020-02-25,10.99
2020-02-26,11.07
2020-02-27,11.14
2020-02-28,11.27
2020-03-02,11.32
2020-03-03,11.15
2020-03-04,11.28
2020-03-05,10.84
2020-03-06,10.71
2020-03-09,10.64
2020-03-10,11.25
2020-03-11,10.01
2020-03-12,9.1
2020-03-13,9.31
2020-03-16,7.06
2020-03-17,7.46
2020-03-18,5.43
2020-03-19,6.34
2020-03-20,5.78
2020-03-23,5.7
2020-03-24,5.73
2020-03-25,5.74
2020-03-26,5.74
2020-03-27,5.43
2020-03-30,5.2
2020-03-31,5.18
2020-04-01,4.78
2020-04-02,4.55
2020-04-03,4.45
2020-04-06,4.54
2020-04-07,4.75
2020-04-08,5.05
2020-04-09,5.55
2020-04-13,5.15
2020-04-14,5.43
2020-04-15,4.87
2020-04-16,4.77
2020-04-17,5.0
2020-04-20,4.88
2020-04-21,4.82
2020-04-22,4.71
2020-04-23,4.57
2020-04-24,4.81
2020-04-27,4.93
2020-04-28,5.48
2020-04-29,5.62
2020-04-30,5.3
2020-05-01,5.11
2020-05-04,5.36
2020-05-05,5.2
2020-05-06,5.25
2020-05-07,5.4
2020-05-08,5.55
