Date,ISBC
2006-08-25,5.409965000000001
2006-08-28,5.4295800000000005
2006-08-29,5.464887999999999
2006-08-30,5.570812
2006-08-31,5.637505
2006-09-01,5.629658999999999
2006-09-05,5.71989
2006-09-06,5.727736
2006-09-07,5.731659
2006-09-08,5.868968
2006-09-11,5.8768139999999995
2006-09-12,5.908199
2006-09-13,5.998431
2006-09-14,5.9827379999999994
2006-09-15,6.021969
2006-09-18,6.033739
2006-09-19,6.0141230000000006
2006-09-20,6.07297
2006-09-21,5.9238919999999995
2006-09-22,5.8768139999999995
2006-09-25,5.849353
2006-09-26,5.884661
2006-09-27,5.931738
2006-09-28,5.943507
2006-09-29,5.912122
2006-10-02,5.829737000000001
2006-10-03,5.8179680000000005
2006-10-04,5.786583
2006-10-05,5.794429
2006-10-06,5.806198999999999
2006-10-09,5.880738
2006-10-10,5.837584
2006-10-11,5.814045
2006-10-12,5.841506
2006-10-13,5.802275
2006-10-16,5.7983519999999995
2006-10-17,5.766967
2006-10-18,5.763044
2006-10-19,5.7787370000000005
2006-10-20,5.774814
2006-10-23,5.763044
2006-10-24,5.770891000000001
2006-10-25,5.770891000000001
2006-10-26,5.794429
2006-10-27,5.810122
2006-10-30,5.829737000000001
2006-10-31,5.837584
2006-11-01,5.770891000000001
2006-11-02,5.751275
2006-11-03,5.8179680000000005
2006-11-06,5.845429
2006-11-07,5.845429
2006-11-08,5.880738
2006-11-09,5.8768139999999995
2006-11-10,5.951354
2006-11-13,5.967046
2006-11-14,5.994508000000001
2006-11-15,6.002354
2006-11-16,5.974892
2006-11-17,5.9592
2006-11-20,5.9827379999999994
2006-11-21,5.9238919999999995
2006-11-22,5.880738
2006-11-24,5.868968
2006-11-27,5.8768139999999995
2006-11-28,5.947430000000001
2006-11-29,5.9592
2006-11-30,6.002354
2006-12-01,6.021969
2006-12-04,6.065124
2006-12-05,6.108278
2006-12-06,6.1004309999999995
2006-12-07,6.092586
2006-12-08,6.108278
2006-12-11,6.049430999999999
2006-12-12,6.049430999999999
2006-12-13,6.07297
2006-12-14,6.088662
2006-12-15,6.0612010000000005
2006-12-18,6.018046
2006-12-19,6.096508999999999
2006-12-20,6.096508999999999
2006-12-21,6.1004309999999995
2006-12-22,6.12397
2006-12-26,6.167123999999999
2006-12-27,6.237741000000001
2006-12-28,6.1788940000000006
2006-12-29,6.171048000000001
2007-01-03,6.07297
2007-01-04,6.1788940000000006
2007-01-05,6.155355
