Date,CCR
2015-06-30,15.0
2015-07-01,15.41
2015-07-02,15.36
2015-07-06,15.1
2015-07-07,15.03
2015-07-08,15.02
2015-07-09,15.15
2015-07-10,15.16
2015-07-13,15.75
2015-07-14,15.89
2015-07-15,15.9
2015-07-16,15.6
2015-07-17,15.4
2015-07-20,15.3
2015-07-21,14.98
2015-07-22,14.98
2015-07-23,14.88
2015-07-24,14.63
2015-07-27,14.67
2015-07-28,14.91
2015-07-29,14.71
2015-07-30,14.68
2015-07-31,14.52
2015-08-03,13.85
2015-08-04,14.1
2015-08-05,14.5
2015-08-06,14.2
2015-08-07,14.51
2015-08-10,13.85
2015-08-11,13.1
2015-08-12,13.15
2015-08-13,13.25
2015-08-14,13.16
2015-08-17,13.35
2015-08-18,13.3
2015-08-19,13.73
2015-08-20,13.74
2015-08-21,14.47
2015-08-24,14.52
2015-08-25,13.41
2015-08-26,14.17
2015-08-27,14.66
2015-08-28,14.35
2015-08-31,14.96
2015-09-01,14.362
2015-09-02,14.4
2015-09-03,14.35
2015-09-04,14.07
2015-09-08,14.42
2015-09-09,14.38
2015-09-10,14.8
2015-09-11,14.21
2015-09-14,14.37
2015-09-15,14.36
2015-09-16,14.45
2015-09-17,14.35
2015-09-18,14.17
2015-09-21,14.42
2015-09-22,14.35
2015-09-23,14.35
2015-09-24,14.66
2015-09-25,13.76
2015-09-28,12.02
2015-09-29,11.56
2015-09-30,11.25
2015-10-01,11.34
2015-10-02,11.11
2015-10-05,11.74
2015-10-06,12.03
2015-10-07,12.4
2015-10-08,12.45
2015-10-09,12.64
2015-10-12,12.5
2015-10-13,12.41
2015-10-14,12.485
2015-10-15,12.16
2015-10-16,11.89
2015-10-19,12.07
2015-10-20,12.19
2015-10-21,12.25
2015-10-22,12.21
2015-10-23,12.56
2015-10-26,12.46
2015-10-27,12.96
2015-10-28,13.47
2015-10-29,12.94
2015-10-30,12.94
2015-11-02,13.11
2015-11-03,13.095
2015-11-04,13.05
2015-11-05,13.0
2015-11-06,12.43
2015-11-09,12.3
2015-11-10,12.28
2015-11-11,11.86
2015-11-12,11.71
2015-11-13,11.72
2015-11-16,12.0
2015-11-17,12.09
2015-11-18,12.31
2015-11-19,12.32
2015-11-20,11.74
2015-11-23,11.63
2015-11-24,11.72
2015-11-25,11.44
2015-11-27,11.45
2015-11-30,11.63
2015-12-01,11.31
2015-12-02,11.27
2015-12-03,10.63
2015-12-04,10.52
2015-12-07,10.16
2015-12-08,9.7
2015-12-09,9.53
2015-12-10,9.43
2015-12-11,9.14
2015-12-14,9.01
2015-12-15,8.97
2015-12-16,8.87
2015-12-17,8.8
2015-12-18,8.32
2015-12-21,8.58
2015-12-22,9.15
2015-12-23,9.5
2015-12-24,9.275
2015-12-28,9.29
2015-12-29,9.15
2015-12-30,8.8
2015-12-31,9.27
2016-01-04,9.25
2016-01-05,9.05
2016-01-06,8.6
2016-01-07,8.165
2016-01-08,7.95
2016-01-11,7.09
2016-01-12,6.46
2016-01-13,6.52
2016-01-14,6.78
2016-01-15,6.8
2016-01-19,6.75
2016-01-20,6.63
2016-01-21,6.58
2016-01-22,6.76
2016-01-25,6.73
2016-01-26,6.9
2016-01-27,6.878
2016-01-28,7.25
2016-01-29,7.9
2016-02-01,7.82
2016-02-02,7.57
2016-02-03,7.65
2016-02-04,7.28
2016-02-05,7.42
2016-02-08,6.84
2016-02-09,6.16
2016-02-10,6.29
2016-02-11,6.13
2016-02-12,6.42
2016-02-16,6.54
2016-02-17,6.93
2016-02-18,6.69
2016-02-19,6.15
2016-02-22,6.51
2016-02-23,6.52
2016-02-24,6.75
2016-02-25,6.47
2016-02-26,6.75
2016-02-29,6.9
2016-03-01,6.92
2016-03-02,7.0
2016-03-03,6.93
2016-03-04,6.65
2016-03-07,6.87
2016-03-08,6.88
2016-03-09,7.02
2016-03-10,6.74
2016-03-11,6.93
2016-03-14,6.85
2016-03-15,6.96
2016-03-16,6.98
2016-03-17,7.15
2016-03-18,6.87
2016-03-21,6.62
2016-03-22,6.9
2016-03-23,6.95
2016-03-24,7.0
2016-03-28,7.01
2016-03-29,7.03
2016-03-30,7.27
2016-03-31,7.18
2016-04-01,6.87
2016-04-04,6.96
2016-04-05,6.95
2016-04-06,6.76
2016-04-07,6.86
2016-04-08,6.89
2016-04-11,6.9
2016-04-12,7.0
2016-04-13,7.06
2016-04-14,7.0
2016-04-15,7.14
2016-04-18,7.6
2016-04-19,7.98
2016-04-20,9.01
2016-04-21,9.38
2016-04-22,9.1
2016-04-25,9.17
2016-04-26,9.32
2016-04-27,9.85
2016-04-28,9.6
2016-04-29,9.45
2016-05-02,9.68
2016-05-03,8.7
2016-05-04,8.52
2016-05-05,8.62
2016-05-06,8.83
2016-05-09,8.58
2016-05-10,8.33
2016-05-11,8.68
2016-05-12,8.59
2016-05-13,8.66
2016-05-16,8.46
2016-05-17,8.455
2016-05-18,8.13
2016-05-19,7.89
2016-05-20,7.69
2016-05-23,7.72
2016-05-24,7.9
2016-05-25,8.12
2016-05-26,7.9
2016-05-27,8.17
2016-05-31,8.04
2016-06-01,8.01
2016-06-02,8.18
2016-06-03,8.9
2016-06-06,9.62
2016-06-07,9.35
2016-06-08,9.47
2016-06-09,9.4
2016-06-10,8.91
2016-06-13,8.85
2016-06-14,8.57
2016-06-15,8.91
2016-06-16,8.8
2016-06-17,8.89
2016-06-20,9.29
2016-06-21,9.27
2016-06-22,9.16
2016-06-23,9.11
2016-06-24,8.79
2016-06-27,8.35
2016-06-28,8.96
2016-06-29,9.14
2016-06-30,9.26
2016-07-01,9.28
2016-07-05,9.02
2016-07-06,9.32
2016-07-07,9.53
2016-07-08,9.57
2016-07-11,9.57
2016-07-12,9.6
2016-07-13,9.67
2016-07-14,9.998
2016-07-15,10.02
2016-07-18,11.08
2016-07-19,10.9
