Date,MGI
2004-08-12,136.080002
2004-08-13,134.720001
2004-08-16,131.919998
2004-08-17,133.520004
2004-08-18,132.399994
2004-08-19,131.520004
2004-08-20,131.199997
2004-08-23,133.199997
2004-08-24,136.0
2004-08-25,131.919998
2004-08-26,133.279999
2004-08-27,133.600006
2004-08-30,131.600006
2004-08-31,133.600006
2004-09-01,136.399994
2004-09-02,135.360001
2004-09-03,132.96000700000002
2004-09-07,138.320007
2004-09-08,136.96000700000002
2004-09-09,140.080002
2004-09-10,141.600006
2004-09-13,138.559998
2004-09-14,138.0
2004-09-15,137.199997
2004-09-16,136.96000700000002
2004-09-17,139.600006
2004-09-20,137.199997
2004-09-21,138.240005
2004-09-22,137.679993
2004-09-23,136.720001
2004-09-24,137.03999299999998
2004-09-27,135.919998
2004-09-28,135.83999599999999
2004-09-29,135.919998
2004-09-30,136.639999
2004-10-01,140.399994
2004-10-04,138.639999
2004-10-05,138.240005
2004-10-06,144.399994
2004-10-07,144.0
2004-10-08,144.240005
2004-10-11,143.679993
2004-10-12,144.800003
2004-10-13,142.399994
2004-10-14,143.600006
2004-10-15,146.0
2004-10-18,143.03999299999998
2004-10-19,139.03999299999998
2004-10-20,136.880005
2004-10-21,135.199997
2004-10-22,135.759995
2004-10-25,138.559998
2004-10-26,139.919998
2004-10-27,148.720001
2004-10-28,150.559998
2004-10-29,148.800003
2004-11-01,148.800003
2004-11-02,151.199997
2004-11-03,153.520004
2004-11-04,154.880005
2004-11-05,153.440002
2004-11-08,146.240005
2004-11-09,147.520004
2004-11-10,147.759995
2004-11-11,149.600006
2004-11-12,157.919998
2004-11-15,158.399994
2004-11-16,158.240005
2004-11-17,159.759995
2004-11-18,157.520004
2004-11-19,159.679993
2004-11-22,161.600006
2004-11-23,159.119995
2004-11-24,164.639999
2004-11-26,168.399994
2004-11-29,170.399994
2004-11-30,171.119995
2004-12-01,170.399994
2004-12-02,167.919998
2004-12-03,170.720001
2004-12-06,170.880005
2004-12-07,164.16000400000001
2004-12-08,166.800003
2004-12-09,167.199997
2004-12-10,167.279999
2004-12-13,162.479996
2004-12-14,163.199997
2004-12-15,166.479996
2004-12-16,167.600006
2004-12-17,170.720001
2004-12-20,167.600006
2004-12-21,168.0
2004-12-22,171.199997
