Date,KOS
2011-05-11,18.24
2011-05-12,18.0
2011-05-13,18.129998999999998
2011-05-16,18.16
2011-05-17,17.92
2011-05-18,18.23
2011-05-19,18.959999
2011-05-20,18.93
2011-05-23,18.41
2011-05-24,18.49
2011-05-25,18.73
2011-05-26,18.52
2011-05-27,19.24
2011-05-31,19.15
2011-06-01,18.98
2011-06-02,18.790001
2011-06-03,19.0
2011-06-06,18.41
2011-06-07,18.02
2011-06-08,18.17
2011-06-09,18.58
2011-06-10,18.299999
2011-06-13,18.5
2011-06-14,18.35
2011-06-15,18.219998999999998
2011-06-16,18.299999
2011-06-17,18.33
2011-06-20,18.15
2011-06-21,17.940001000000002
2011-06-22,17.85
2011-06-23,17.84
2011-06-24,17.34
2011-06-27,17.040001
2011-06-28,17.040001
2011-06-29,16.629998999999998
2011-06-30,16.98
2011-07-01,16.73
2011-07-05,17.09
2011-07-06,16.83
2011-07-07,17.32
2011-07-08,17.040001
2011-07-11,16.77
2011-07-12,16.620001000000002
2011-07-13,16.82
2011-07-14,16.799999
2011-07-15,16.719998999999998
2011-07-18,15.95
2011-07-19,16.07
2011-07-20,16.15
2011-07-21,16.049999
2011-07-22,15.69
2011-07-25,15.28
2011-07-26,15.18
2011-07-27,14.95
2011-07-28,15.39
2011-07-29,15.19
2011-08-01,15.23
2011-08-02,14.9
2011-08-03,14.85
2011-08-04,13.54
2011-08-05,13.08
2011-08-08,12.28
2011-08-09,12.06
2011-08-10,11.51
2011-08-11,11.99
2011-08-12,11.59
2011-08-15,12.38
2011-08-16,12.52
2011-08-17,12.66
2011-08-18,12.59
2011-08-19,12.13
2011-08-22,12.01
2011-08-23,12.67
2011-08-24,13.4
2011-08-25,13.06
2011-08-26,13.14
2011-08-29,13.95
2011-08-30,13.94
2011-08-31,13.88
2011-09-01,13.33
2011-09-02,13.24
2011-09-06,12.67
2011-09-07,13.32
2011-09-08,13.07
2011-09-09,12.62
2011-09-12,12.17
2011-09-13,12.4
2011-09-14,12.74
2011-09-15,13.09
2011-09-16,13.32
2011-09-19,13.3
2011-09-20,13.28
2011-09-21,12.79
2011-09-22,11.71
2011-09-23,12.03
2011-09-26,11.85
2011-09-27,12.65
2011-09-28,12.07
2011-09-29,12.02
2011-09-30,11.71
2011-10-03,10.6
2011-10-04,10.53
2011-10-05,10.6
2011-10-06,10.86
2011-10-07,10.8
2011-10-10,11.72
2011-10-11,11.47
2011-10-12,12.0
2011-10-13,12.07
2011-10-14,12.65
2011-10-17,13.6
2011-10-18,14.47
2011-10-19,15.2
2011-10-20,15.34
2011-10-21,15.31
2011-10-24,15.86
2011-10-25,15.64
2011-10-26,15.91
2011-10-27,16.190001000000002
2011-10-28,16.129998999999998
2011-10-31,15.5
2011-11-01,14.97
2011-11-02,14.9
2011-11-03,14.65
2011-11-04,14.0
2011-11-07,13.69
2011-11-08,13.5
2011-11-09,13.64
2011-11-10,13.65
2011-11-11,13.65
2011-11-14,13.36
2011-11-15,13.44
2011-11-16,13.3
2011-11-17,12.52
2011-11-18,12.48
2011-11-21,12.8
2011-11-22,12.97
2011-11-23,12.37
2011-11-25,12.48
2011-11-28,13.19
2011-11-29,13.07
2011-11-30,13.47
2011-12-01,13.51
2011-12-02,13.08
2011-12-05,12.8
2011-12-06,12.81
2011-12-07,12.42
2011-12-08,12.02
2011-12-09,11.91
2011-12-12,11.64
2011-12-13,11.5
2011-12-14,11.34
2011-12-15,11.58
2011-12-16,12.28
2011-12-19,11.91
2011-12-20,12.19
2011-12-21,12.29
2011-12-22,12.62
2011-12-23,12.47
2011-12-27,12.24
2011-12-28,12.22
2011-12-29,12.27
2011-12-30,12.26
2012-01-03,12.71
2012-01-04,13.21
2012-01-05,14.0
2012-01-06,13.65
2012-01-09,13.73
2012-01-10,14.21
2012-01-11,14.01
2012-01-12,13.93
2012-01-13,13.77
2012-01-17,13.91
2012-01-18,13.42
2012-01-19,13.61
2012-01-20,12.99
2012-01-23,12.84
2012-01-24,12.7
2012-01-25,12.62
2012-01-26,12.68
2012-01-27,12.66
2012-01-30,12.64
2012-01-31,12.56
2012-02-01,12.96
2012-02-02,12.7
2012-02-03,13.64
2012-02-06,13.5
2012-02-07,13.42
2012-02-08,13.68
2012-02-09,14.03
2012-02-10,14.51
2012-02-13,14.73
2012-02-14,14.35
2012-02-15,14.19
2012-02-16,14.4
2012-02-17,14.48
2012-02-21,14.23
2012-02-22,14.2
2012-02-23,13.9
2012-02-24,13.84
2012-02-27,13.8
2012-02-28,13.69
2012-02-29,14.01
2012-03-01,14.05
2012-03-02,13.98
2012-03-05,13.6
2012-03-06,13.52
2012-03-07,13.16
2012-03-08,13.12
2012-03-09,13.11
2012-03-12,13.14
2012-03-13,13.38
2012-03-14,13.04
2012-03-15,13.15
2012-03-16,13.93
2012-03-19,13.81
2012-03-20,13.2
2012-03-21,13.03
2012-03-22,12.89
2012-03-23,13.28
2012-03-26,13.65
2012-03-27,13.29
2012-03-28,12.79
2012-03-29,12.89
2012-03-30,13.24
2012-04-02,13.46
2012-04-03,13.63
2012-04-04,13.36
2012-04-05,12.79
2012-04-09,12.63
2012-04-10,12.11
2012-04-11,12.19
2012-04-12,12.76
2012-04-13,12.36
2012-04-16,12.24
2012-04-17,12.42
2012-04-18,12.23
2012-04-19,12.35
2012-04-20,12.0
2012-04-23,11.84
2012-04-24,11.79
2012-04-25,12.09
2012-04-26,12.25
2012-04-27,12.33
2012-04-30,12.18
2012-05-01,12.31
2012-05-02,12.25
2012-05-03,12.1
2012-05-04,11.07
2012-05-07,11.25
2012-05-08,11.26
2012-05-09,11.11
2012-05-10,11.17
2012-05-11,11.0
2012-05-14,10.47
2012-05-15,10.42
2012-05-16,10.52
2012-05-17,10.27
2012-05-18,10.11
2012-05-21,10.74
2012-05-22,10.55
2012-05-23,10.98
2012-05-24,10.77
2012-05-25,10.83
2012-05-29,11.0
2012-05-30,10.44
2012-05-31,10.42
2012-06-01,10.2
2012-06-04,10.35
2012-06-05,10.43
2012-06-06,10.97
2012-06-07,10.89
2012-06-08,11.04
2012-06-11,10.98
2012-06-12,11.14
2012-06-13,11.33
2012-06-14,11.37
2012-06-15,11.44
2012-06-18,11.53
2012-06-19,11.98
2012-06-20,11.7
2012-06-21,11.19
2012-06-22,10.9
2012-06-25,10.42
2012-06-26,10.27
2012-06-27,10.42
2012-06-28,10.42
2012-06-29,11.05
2012-07-02,10.93
2012-07-03,11.0
2012-07-05,10.57
2012-07-06,10.24
2012-07-09,10.23
2012-07-10,9.97
2012-07-11,10.36
2012-07-12,10.15
2012-07-13,10.29
2012-07-16,10.28
2012-07-17,10.17
2012-07-18,10.48
2012-07-19,10.5
2012-07-20,10.5
2012-07-23,10.2
2012-07-24,9.91
2012-07-25,9.74
2012-07-26,9.69
2012-07-27,10.08
2012-07-30,9.75
2012-07-31,9.54
2012-08-01,9.68
2012-08-02,9.29
2012-08-03,9.4
2012-08-06,10.0
2012-08-07,9.7
2012-08-08,9.67
2012-08-09,9.36
2012-08-10,9.49
2012-08-13,9.48
2012-08-14,9.58
2012-08-15,9.95
2012-08-16,10.13
2012-08-17,10.03
2012-08-20,10.0
2012-08-21,9.83
2012-08-22,9.72
2012-08-23,9.51
2012-08-24,9.34
2012-08-27,9.47
2012-08-28,9.59
2012-08-29,9.65
2012-08-30,9.61
2012-08-31,9.68
2012-09-04,9.55
2012-09-05,9.58
2012-09-06,10.14
2012-09-07,10.84
2012-09-10,10.84
2012-09-11,10.95
2012-09-12,11.25
2012-09-13,11.29
2012-09-14,11.51
2012-09-17,11.25
2012-09-18,11.15
2012-09-19,11.41
2012-09-20,11.3
2012-09-21,11.45
2012-09-24,11.37
2012-09-25,11.38
2012-09-26,11.47
2012-09-27,11.42
2012-09-28,11.39
2012-10-01,11.5
2012-10-02,11.62
2012-10-03,11.4
2012-10-04,11.41
2012-10-05,11.45
2012-10-08,11.32
2012-10-09,11.22
2012-10-10,11.19
2012-10-11,11.25
2012-10-12,11.26
2012-10-15,11.53
2012-10-16,11.78
2012-10-17,11.65
2012-10-18,11.84
2012-10-19,11.73
2012-10-22,11.6
2012-10-23,11.46
2012-10-24,11.37
2012-10-25,11.34
2012-10-26,11.36
2012-10-31,11.38
2012-11-01,11.51
2012-11-02,11.57
2012-11-05,11.58
2012-11-06,11.5
2012-11-07,11.27
2012-11-08,11.23
2012-11-09,11.32
2012-11-12,11.31
2012-11-13,11.3
2012-11-14,11.21
2012-11-15,11.11
2012-11-16,11.37
2012-11-19,11.83
2012-11-20,11.69
2012-11-21,11.74
2012-11-23,11.76
2012-11-26,11.66
2012-11-27,11.4
2012-11-28,11.35
2012-11-29,11.71
2012-11-30,11.86
2012-12-03,11.92
2012-12-04,11.76
2012-12-05,11.87
2012-12-06,12.16
2012-12-07,12.16
2012-12-10,12.19
2012-12-11,12.11
2012-12-12,12.24
2012-12-13,11.94
2012-12-14,12.05
2012-12-17,11.99
2012-12-18,12.17
2012-12-19,12.45
2012-12-20,12.54
2012-12-21,12.56
2012-12-24,12.47
2012-12-26,12.48
2012-12-27,12.54
2012-12-28,12.2
2012-12-31,12.35
2013-01-02,12.64
2013-01-03,12.77
2013-01-04,13.0
2013-01-07,13.0
2013-01-08,12.81
2013-01-09,12.65
2013-01-10,12.72
2013-01-11,12.71
2013-01-14,12.6
2013-01-15,12.55
2013-01-16,12.43
2013-01-17,12.36
2013-01-18,12.19
2013-01-22,12.27
2013-01-23,12.37
2013-01-24,12.24
2013-01-25,12.39
2013-01-28,12.4
2013-01-29,12.44
2013-01-30,12.47
2013-01-31,12.38
2013-02-01,12.51
2013-02-04,12.29
2013-02-05,12.32
2013-02-06,12.59
2013-02-07,12.68
2013-02-08,12.81
2013-02-11,12.75
2013-02-12,11.8
2013-02-13,11.37
2013-02-14,11.3
2013-02-15,10.61
2013-02-19,10.72
2013-02-20,10.6
2013-02-21,10.3
2013-02-22,10.27
2013-02-25,10.25
2013-02-26,10.69
2013-02-27,10.82
2013-02-28,10.93
2013-03-01,10.85
2013-03-04,10.66
2013-03-05,10.7
2013-03-06,10.74
2013-03-07,10.69
2013-03-08,10.92
2013-03-11,10.91
2013-03-12,11.22
2013-03-13,11.17
2013-03-14,11.23
2013-03-15,11.08
2013-03-18,11.09
2013-03-19,10.99
2013-03-20,11.18
2013-03-21,11.27
2013-03-22,11.16
2013-03-25,11.17
2013-03-26,11.29
2013-03-27,11.31
2013-03-28,11.3
2013-04-01,11.26
2013-04-02,11.18
2013-04-03,10.86
2013-04-04,10.86
2013-04-05,11.0
2013-04-08,10.94
2013-04-09,11.35
2013-04-10,11.36
2013-04-11,11.25
2013-04-12,11.15
2013-04-15,10.51
2013-04-16,10.71
2013-04-17,10.52
2013-04-18,10.5
2013-04-19,10.56
2013-04-22,10.52
2013-04-23,10.6
2013-04-24,10.78
2013-04-25,10.92
2013-04-26,10.91
2013-04-29,11.0
2013-04-30,10.99
2013-05-01,10.9
