Date,OC
2006-11-01,27.6
2006-11-02,26.379998999999998
2006-11-03,25.98
2006-11-06,26.1
2006-11-07,27.200001
2006-11-08,27.889999
2006-11-09,28.5
2006-11-10,28.49
2006-11-13,28.27
2006-11-14,28.1
2006-11-15,28.25
2006-11-16,29.24
2006-11-17,29.190001000000002
2006-11-20,29.5
2006-11-21,29.700001
2006-11-22,30.120001000000002
2006-11-24,30.48
2006-11-27,29.75
2006-11-28,30.0
2006-11-29,30.25
2006-11-30,31.0
2006-12-01,31.25
2006-12-04,31.59
2006-12-05,31.65
2006-12-06,31.469998999999998
2006-12-07,30.639999
2006-12-08,30.450001
2006-12-11,30.58
2006-12-12,30.469998999999998
2006-12-13,30.389999
2006-12-14,30.4
2006-12-15,29.99
2006-12-18,29.82
2006-12-19,29.6
2006-12-20,29.5
2006-12-21,29.450001
2006-12-22,29.370001000000002
2006-12-26,29.52
2006-12-27,29.690001000000002
2006-12-28,29.969998999999998
2006-12-29,29.9
2007-01-03,29.09
2007-01-04,28.120001000000002
2007-01-05,27.32
2007-01-08,27.15
2007-01-09,27.0
2007-01-10,26.950001
2007-01-11,27.110001
2007-01-12,27.389999
2007-01-16,27.5
2007-01-17,28.27
2007-01-18,28.33
2007-01-19,28.540001
2007-01-22,28.57
2007-01-23,28.74
2007-01-24,28.99
2007-01-25,29.0
2007-01-26,29.15
2007-01-29,28.700001
2007-01-30,28.5
2007-01-31,28.639999
2007-02-01,28.700001
2007-02-02,28.85
2007-02-05,28.99
2007-02-06,29.27
2007-02-07,30.02
2007-02-08,29.77
2007-02-09,29.77
2007-02-12,30.040001
2007-02-13,30.030001000000002
2007-02-14,30.1
2007-02-15,31.799999
2007-02-16,31.5
2007-02-20,31.610001
2007-02-21,33.110001000000004
2007-02-22,32.450001
2007-02-23,31.790001
2007-02-26,32.889998999999996
2007-02-27,32.029999
2007-02-28,32.009997999999996
2007-03-01,31.709999
2007-03-02,30.35
2007-03-05,29.58
2007-03-06,30.01
2007-03-07,29.799999
2007-03-08,31.049999
2007-03-09,31.379998999999998
2007-03-12,31.35
2007-03-13,30.25
2007-03-14,29.790001
2007-03-15,29.9
2007-03-16,31.15
2007-03-19,31.25
2007-03-20,31.540001
2007-03-21,31.799999
2007-03-22,32.0
2007-03-23,32.34
2007-03-26,31.889999
2007-03-27,31.870001000000002
2007-03-28,31.51
2007-03-29,31.76
2007-03-30,31.860001
2007-04-02,31.799999
2007-04-03,31.780001000000002
2007-04-04,31.65
2007-04-05,32.0
2007-04-09,32.52
2007-04-10,33.0
2007-04-11,33.049999
2007-04-12,33.330002
2007-04-13,33.529999
2007-04-16,33.490002000000004
2007-04-17,33.470001
2007-04-18,33.43
2007-04-19,32.68
2007-04-20,33.080002
2007-04-23,32.959998999999996
2007-04-24,32.330002
2007-04-25,32.150002
2007-04-26,32.0
2007-04-27,31.52
