Date,NMIH
2013-11-08,14.0
2013-11-11,14.04
2013-11-12,14.0
2013-11-13,14.0
2013-11-14,13.94
2013-11-15,14.0
2013-11-18,14.1
2013-11-19,14.05
2013-11-20,13.82
2013-11-21,13.75
2013-11-22,13.83
2013-11-25,14.0
2013-11-26,13.98
2013-11-27,14.15
2013-11-29,14.04
2013-12-02,14.02
2013-12-03,13.9
2013-12-04,13.78
2013-12-05,13.76
2013-12-06,13.1
2013-12-09,13.48
2013-12-10,12.65
2013-12-11,12.19
2013-12-12,12.24
2013-12-13,12.0
2013-12-16,12.88
2013-12-17,12.3
2013-12-18,12.84
2013-12-19,12.37
2013-12-20,12.13
2013-12-23,12.76
2013-12-24,12.45
2013-12-26,12.5
2013-12-27,12.55
2013-12-30,12.5
2013-12-31,12.73
2014-01-02,12.47
2014-01-03,12.26
2014-01-06,12.34
2014-01-07,12.22
2014-01-08,12.35
2014-01-09,12.4
2014-01-10,12.5
2014-01-13,12.5
2014-01-14,12.5
2014-01-15,12.29
2014-01-16,12.16
2014-01-17,12.3
2014-01-21,12.25
2014-01-22,12.26
2014-01-23,12.28
2014-01-24,12.25
2014-01-27,12.06
2014-01-28,12.05
2014-01-29,12.15
2014-01-30,12.18
2014-01-31,12.27
2014-02-03,12.2
2014-02-04,12.09
2014-02-05,12.2
2014-02-06,12.16
2014-02-07,12.21
2014-02-10,12.24
2014-02-11,12.25
2014-02-12,12.32
2014-02-13,12.27
2014-02-14,12.22
2014-02-18,12.12
2014-02-19,11.69
2014-02-20,11.78
2014-02-21,11.47
2014-02-24,11.55
2014-02-25,11.46
2014-02-26,10.94
2014-02-27,10.82
2014-02-28,10.94
2014-03-03,10.67
2014-03-04,10.52
2014-03-05,10.53
2014-03-06,10.53
2014-03-07,10.9
2014-03-10,11.35
2014-03-11,11.96
2014-03-12,11.9
2014-03-13,11.81
2014-03-14,11.85
2014-03-17,11.81
2014-03-18,11.89
2014-03-19,11.88
2014-03-20,11.87
2014-03-21,11.8
2014-03-24,11.85
2014-03-25,11.72
2014-03-26,11.49
2014-03-27,11.6
2014-03-28,11.68
2014-03-31,11.72
2014-04-01,11.62
2014-04-02,11.56
2014-04-03,11.34
2014-04-04,11.37
2014-04-07,11.2
2014-04-08,11.02
2014-04-09,11.14
2014-04-10,11.21
2014-04-11,11.02
2014-04-14,10.9
2014-04-15,10.96
2014-04-16,11.06
2014-04-17,11.24
2014-04-21,11.3
2014-04-22,11.42
2014-04-23,11.39
2014-04-24,11.31
2014-04-25,11.31
2014-04-28,11.32
2014-04-29,11.37
2014-04-30,11.35
2014-05-01,11.16
2014-05-02,11.08
2014-05-05,11.1
2014-05-06,10.75
2014-05-07,10.26
2014-05-08,10.12
2014-05-09,10.12
2014-05-12,10.06
2014-05-13,10.14
2014-05-14,10.07
