Date,RIG
1993-05-28,15.812607
1993-06-01,16.616638000000002
1993-06-02,16.437965
1993-06-03,16.080617999999998
1993-06-04,16.169954
1993-06-07,15.544597
1993-06-08,15.723270000000001
1993-06-09,15.633934
1993-06-10,15.723270000000001
1993-06-11,15.544597
1993-06-14,14.91924
1993-06-15,14.740566000000001
1993-06-16,14.383219
1993-06-17,14.651229
1993-06-18,15.18725
1993-06-21,15.18725
1993-06-22,15.45526
1993-06-23,15.276587
1993-06-24,14.829903
1993-06-25,14.561893
1993-06-28,14.651229
1993-06-29,14.383219
1993-06-30,14.561893
1993-07-01,14.204545000000001
1993-07-02,13.757862
1993-07-06,13.311178
1993-07-07,13.579188
1993-07-08,13.221841
1993-07-09,13.132504
1993-07-12,13.579188
1993-07-13,13.668525
1993-07-14,13.579188
1993-07-15,13.221841
1993-07-16,13.400514999999999
1993-07-19,13.221841
1993-07-20,13.221841
1993-07-21,13.132504
1993-07-22,13.043167
1993-07-23,13.311178
1993-07-26,13.579188
1993-07-27,14.115209
1993-07-28,14.115209
1993-07-29,14.472555999999999
1993-07-30,14.383219
1993-08-02,14.472555999999999
1993-08-03,14.472555999999999
1993-08-04,14.204545000000001
1993-08-05,14.204545000000001
1993-08-06,14.293882
1993-08-09,14.204545000000001
1993-08-10,14.115209
1993-08-11,13.579188
1993-08-12,13.757862
1993-08-13,13.579188
1993-08-16,13.668525
1993-08-17,13.847198
1993-08-18,14.115209
1993-08-19,14.651229
1993-08-20,14.740566000000001
1993-08-23,15.633934
1993-08-24,15.544597
1993-08-25,15.45526
1993-08-26,15.097913
1993-08-27,15.276587
1993-08-30,15.365923
1993-08-31,15.723270000000001
1993-09-01,15.633934
1993-09-02,15.544597
1993-09-03,15.544597
1993-09-07,15.544597
1993-09-08,15.276587
1993-09-09,14.91924
1993-09-10,13.936535000000001
1993-09-13,13.668525
1993-09-14,13.400514999999999
1993-09-15,13.400514999999999
1993-09-16,13.668525
1993-09-17,13.668525
1993-09-20,13.847198
1993-09-21,13.400514999999999
1993-09-22,13.757862
1993-09-23,13.847198
1993-09-24,13.847198
1993-09-27,13.757862
1993-09-28,13.757862
1993-09-29,14.115209
1993-09-30,15.097913
1993-10-01,15.812607
1993-10-04,16.437965
1993-10-05,16.437965
1993-10-06,16.616638000000002
1993-10-07,16.527302
1993-10-08,15.901944
1993-10-11,16.080617999999998
1993-10-12,15.901944
1993-10-13,16.080617999999998
1993-10-14,15.901944
1993-10-15,15.901944
1993-10-18,15.901944
1993-10-19,15.18725
