Date,AGP
2001-11-06,10.45
2001-11-07,10.625
2001-11-08,9.615
2001-11-09,9.475
2001-11-12,9.525
2001-11-13,9.645
2001-11-14,9.25
2001-11-15,9.225
2001-11-16,9.175
2001-11-19,9.25
2001-11-20,9.28
2001-11-21,9.51
2001-11-23,9.575
2001-11-26,9.475
2001-11-27,9.425
2001-11-28,9.295
2001-11-29,9.065
2001-11-30,9.05
2001-12-03,9.375
2001-12-04,9.575
2001-12-05,10.2
2001-12-06,10.205
2001-12-07,10.25
2001-12-10,10.275
2001-12-11,10.01
2001-12-12,9.75
2001-12-13,10.2
2001-12-14,10.19
2001-12-17,10.01
2001-12-18,9.95
2001-12-19,9.8
2001-12-20,9.8975
2001-12-21,9.735
2001-12-24,9.76
2001-12-26,9.89
2001-12-27,9.96
2001-12-28,10.5
2001-12-31,10.9
2002-01-02,11.05
2002-01-03,11.15
2002-01-04,11.25
2002-01-07,11.5
2002-01-08,11.525
2002-01-09,12.57
2002-01-10,13.025
2002-01-11,13.21
2002-01-14,12.875
2002-01-15,12.6
2002-01-16,12.45
2002-01-17,12.61
2002-01-18,12.275
2002-01-22,12.025
2002-01-23,12.175
2002-01-24,12.1
2002-01-25,12.535
2002-01-28,12.375
2002-01-29,11.865
2002-01-30,11.65
2002-01-31,11.335
2002-02-01,11.175
2002-02-04,10.95
2002-02-05,10.5
2002-02-06,10.625
2002-02-07,11.0
2002-02-08,11.3
2002-02-11,11.395
2002-02-12,11.6
2002-02-13,11.825
2002-02-14,11.85
2002-02-15,11.9
2002-02-19,11.725
2002-02-20,11.745
2002-02-21,11.625
2002-02-22,11.25
2002-02-25,10.735
2002-02-26,10.9
2002-02-27,11.085
2002-02-28,11.7
2002-03-01,11.985
2002-03-04,12.105
2002-03-05,11.875
2002-03-06,11.875
2002-03-07,11.95
2002-03-08,12.275
2002-03-11,13.625
2002-03-12,13.755
2002-03-13,13.85
2002-03-14,13.9
2002-03-15,13.775
2002-03-18,14.75
2002-03-19,13.95
2002-03-20,14.15
2002-03-21,14.445
2002-03-22,14.165
2002-03-25,13.655
2002-03-26,13.975
2002-03-27,14.1
2002-03-28,14.075
2002-04-01,14.15
2002-04-02,14.0
2002-04-03,14.0
2002-04-04,14.305
2002-04-05,14.2
2002-04-08,14.675
2002-04-09,14.675
2002-04-10,15.245
2002-04-11,16.075001
2002-04-12,16.43
2002-04-15,16.799999
2002-04-16,17.195
2002-04-17,17.424999
2002-04-18,17.745001000000002
2002-04-19,17.0
2002-04-22,17.25
2002-04-23,17.075001
2002-04-24,16.9
2002-04-25,16.75
2002-04-26,16.75
2002-04-29,16.6
2002-04-30,15.275
2002-05-01,14.855
2002-05-02,13.5
2002-05-03,12.66
2002-05-06,11.8
2002-05-07,12.5
2002-05-08,12.745
2002-05-09,13.02
2002-05-10,13.495
2002-05-13,13.431
2002-05-14,13.235
2002-05-15,13.02
2002-05-16,13.019
2002-05-17,13.25
2002-05-20,13.375
2002-05-21,13.08
2002-05-22,13.22
2002-05-23,13.535
2002-05-24,14.175
2002-05-28,14.055
2002-05-29,14.095
2002-05-30,14.526
2002-05-31,14.58
2002-06-03,14.5
2002-06-04,14.545
2002-06-05,14.62
2002-06-06,14.625
2002-06-07,14.94
2002-06-10,14.915
2002-06-11,14.9
2002-06-12,14.23
2002-06-13,13.84
2002-06-14,13.435
2002-06-17,13.415
2002-06-18,14.63
2002-06-19,14.505
2002-06-20,14.73
2002-06-21,14.5
2002-06-24,14.24
2002-06-25,14.3
2002-06-26,14.15
2002-06-27,13.82
2002-06-28,13.64
2002-07-01,13.35
2002-07-02,13.055
2002-07-03,12.99
2002-07-05,13.08
2002-07-08,13.025
2002-07-09,12.595
2002-07-10,12.435
2002-07-11,12.75
2002-07-12,12.46
2002-07-15,13.395
2002-07-16,13.2855
2002-07-17,11.48
2002-07-18,11.565
2002-07-19,11.704
2002-07-22,11.47
2002-07-23,11.34
2002-07-24,11.94
2002-07-25,11.905
2002-07-26,11.6
2002-07-29,12.025
2002-07-30,12.685
2002-07-31,12.765
2002-08-01,12.9
2002-08-02,12.755
2002-08-05,12.925
2002-08-06,12.46
2002-08-07,12.35
2002-08-08,12.505
2002-08-09,12.745
2002-08-12,12.73
2002-08-13,12.7995
2002-08-14,12.87
2002-08-15,12.93
2002-08-16,12.92
2002-08-19,13.07
2002-08-20,13.04
2002-08-21,13.08
2002-08-22,14.6
2002-08-23,15.05
2002-08-26,14.775
2002-08-27,14.465
2002-08-28,14.855
2002-08-29,14.98
2002-08-30,14.995
2002-09-03,14.46
2002-09-04,13.565
2002-09-05,13.59
2002-09-06,14.055
2002-09-09,14.425
2002-09-10,14.24
2002-09-11,13.985
2002-09-12,14.0
2002-09-13,14.42
2002-09-16,14.625
2002-09-17,14.83
2002-09-18,14.995
2002-09-19,15.32
2002-09-20,15.075
2002-09-23,15.085
2002-09-24,14.99
2002-09-25,15.124
2002-09-26,15.745
2002-09-27,16.65
2002-09-30,16.775
2002-10-01,16.24
2002-10-02,15.825
2002-10-03,15.95
2002-10-04,15.555
2002-10-07,15.675
2002-10-08,15.0
2002-10-09,15.005
2002-10-10,15.47
2002-10-11,15.325
2002-10-14,15.605
2002-10-15,15.85
2002-10-16,15.806
2002-10-17,16.304001
2002-10-18,16.5
2002-10-21,16.469998999999998
2002-10-22,15.849
2002-10-23,16.75
2002-10-24,16.57
2002-10-25,16.200001
2002-10-28,15.745
2002-10-29,14.775
2002-10-30,15.25
2002-10-31,14.605
2002-11-01,14.91
2002-11-04,14.78
2002-11-05,14.085
2002-11-06,15.26
2002-11-07,15.185
2002-11-08,15.125
2002-11-11,15.3
2002-11-12,16.035
2002-11-13,15.73
2002-11-14,16.895
2002-11-15,16.886
2002-11-18,16.924999
2002-11-19,16.674999
2002-11-20,16.485001
2002-11-21,15.675
2002-11-22,15.935
2002-11-25,14.82
2002-11-26,14.75
2002-11-27,14.215
2002-11-29,13.195
2002-12-02,13.355
2002-12-03,13.43
2002-12-04,14.17
2002-12-05,14.685
2002-12-06,13.8
2002-12-09,14.56
2002-12-10,14.6
2002-12-11,14.335
2002-12-12,14.78
2002-12-13,14.425
2002-12-16,14.66
2002-12-17,14.345
2002-12-18,14.76
2002-12-19,14.89
2002-12-20,14.99
2002-12-23,14.79
2002-12-24,14.87
2002-12-26,15.13
2002-12-27,15.1105
2002-12-30,16.004998999999998
2002-12-31,15.155
2003-01-02,15.62
2003-01-03,15.575
2003-01-06,15.895
2003-01-07,15.8
2003-01-08,16.285
2003-01-09,16.475
2003-01-10,15.75
2003-01-13,15.415
2003-01-14,14.64
2003-01-15,14.35
2003-01-16,14.145
2003-01-17,14.225
2003-01-21,14.26
2003-01-22,14.205
2003-01-23,14.55
2003-01-24,14.61
2003-01-27,14.5
2003-01-28,14.355
2003-01-29,13.845
2003-01-30,14.0
2003-01-31,13.95
2003-02-03,13.45
2003-02-04,13.845
2003-02-05,13.72
2003-02-06,13.485
2003-02-07,13.39
2003-02-10,13.275
2003-02-11,13.485
2003-02-12,13.225
2003-02-13,13.045
2003-02-14,12.01
2003-02-18,12.45
2003-02-19,12.415
2003-02-20,12.485
2003-02-21,12.94
2003-02-24,13.015
2003-02-25,12.875
2003-02-26,12.95
2003-02-27,12.85
2003-02-28,12.845
2003-03-03,12.91
2003-03-04,12.965
2003-03-05,13.18
2003-03-06,13.32
2003-03-07,13.5
2003-03-10,13.225
2003-03-11,13.315
2003-03-12,13.395
2003-03-13,13.34
2003-03-14,13.115
2003-03-17,13.25
2003-03-18,12.625
2003-03-19,12.78
2003-03-20,13.22
2003-03-21,13.635
2003-03-24,13.455
2003-03-25,13.675
2003-03-26,13.845
2003-03-27,14.515
2003-03-28,14.81
2003-03-31,14.63
2003-04-01,14.6
2003-04-02,14.84
2003-04-03,15.01
2003-04-04,14.52
2003-04-07,14.575
2003-04-08,14.475
2003-04-09,14.275
2003-04-10,14.315
2003-04-11,14.4
2003-04-14,14.755
2003-04-15,14.875
2003-04-16,14.495
2003-04-17,14.345
2003-04-21,14.055
2003-04-22,13.865
2003-04-23,14.025
2003-04-24,13.99
2003-04-25,13.99
2003-04-28,14.375
2003-04-29,14.535
2003-04-30,14.56
2003-05-01,14.365
2003-05-02,14.625
2003-05-05,15.55
2003-05-06,15.885
2003-05-07,15.555
2003-05-08,15.47
2003-05-09,15.625
2003-05-12,15.63
2003-05-13,15.865
2003-05-14,16.155001000000002
2003-05-15,16.455
2003-05-16,16.389999
2003-05-19,16.415001
2003-05-20,16.67
2003-05-21,16.975
2003-05-22,16.85
2003-05-23,16.955
2003-05-27,17.215
2003-05-28,17.18
2003-05-29,17.280001000000002
2003-05-30,17.459999
2003-06-02,17.23
2003-06-03,16.75
2003-06-04,17.209999
2003-06-05,17.299999
2003-06-06,17.615
2003-06-09,17.66
2003-06-10,18.125
2003-06-11,18.799999
2003-06-12,18.625
2003-06-13,18.575001
2003-06-16,19.27
2003-06-17,18.975
2003-06-18,19.075001
2003-06-19,19.045
2003-06-20,18.344998999999998
2003-06-23,17.995001000000002
2003-06-24,17.905001000000002
2003-06-25,17.844998999999998
2003-06-26,18.1
2003-06-27,18.370001000000002
2003-06-30,18.610001
2003-07-01,18.6
2003-07-02,19.395
2003-07-03,19.26
2003-07-07,19.610001
2003-07-08,20.094998999999998
2003-07-09,20.219998999999998
2003-07-10,19.98
2003-07-11,20.129998999999998
2003-07-14,19.860001
2003-07-15,19.52
2003-07-16,19.17
2003-07-17,18.75
2003-07-18,19.01
2003-07-21,19.34
2003-07-22,19.34
2003-07-23,19.35
2003-07-24,19.129998999999998
2003-07-25,19.76
2003-07-28,20.549999
2003-07-29,21.245001000000002
2003-07-30,20.975
2003-07-31,20.610001
2003-08-01,20.1
2003-08-04,20.875
2003-08-05,20.0
2003-08-06,20.275
2003-08-07,20.875
2003-08-08,21.0
2003-08-11,20.41
2003-08-12,20.74
2003-08-13,20.995001000000002
2003-08-14,20.754998999999998
2003-08-15,21.0
2003-08-18,21.0
2003-08-19,21.025
2003-08-20,20.75
2003-08-21,21.049999
2003-08-22,21.139999
2003-08-25,20.85
2003-08-26,20.700001
2003-08-27,20.775
2003-08-28,20.5
2003-08-29,20.360001
2003-09-02,20.6
2003-09-03,20.950001
2003-09-04,20.790001
2003-09-05,20.6
2003-09-08,20.950001
2003-09-09,21.264999
2003-09-10,21.15
