Date,NFG
1973-05-03,2.65625
1973-05-04,2.627841
1973-05-07,2.627841
1973-05-08,2.642045
1973-05-09,2.65625
1973-05-10,2.642045
1973-05-11,2.642045
1973-05-14,2.642045
1973-05-15,2.599432
1973-05-16,2.585227
1973-05-17,2.613636
1973-05-18,2.613636
1973-05-21,2.571023
1973-05-22,2.556818
1973-05-23,2.542614
1973-05-24,2.542614
1973-05-25,2.514205
1973-05-29,2.514205
1973-05-30,2.471591
1973-05-31,2.457386
1973-06-01,2.443182
1973-06-04,2.428977
1973-06-05,2.428977
1973-06-06,2.414773
1973-06-07,2.443182
1973-06-08,2.485795
1973-06-11,2.485795
1973-06-12,2.542614
1973-06-13,2.542614
1973-06-14,2.542614
1973-06-15,2.571023
1973-06-18,2.542614
1973-06-19,2.556818
1973-06-20,2.571023
1973-06-21,2.571023
1973-06-22,2.627841
1973-06-25,2.585227
1973-06-26,2.585227
1973-06-27,2.542614
1973-06-28,2.5
1973-06-29,2.457386
1973-07-02,2.443182
1973-07-03,2.443182
1973-07-05,2.443182
1973-07-06,2.428977
1973-07-09,2.485795
1973-07-10,2.428977
1973-07-11,2.457386
1973-07-12,2.457386
1973-07-13,2.428977
1973-07-16,2.372159
1973-07-17,2.400568
1973-07-18,2.414773
1973-07-19,2.386364
1973-07-20,2.414773
1973-07-23,2.428977
1973-07-24,2.372159
1973-07-25,2.400568
1973-07-26,2.386364
1973-07-27,2.372159
1973-07-30,2.386364
1973-07-31,2.357955
1973-08-01,2.372159
1973-08-02,2.329545
1973-08-03,2.34375
1973-08-06,2.357955
1973-08-07,2.34375
1973-08-08,2.34375
1973-08-09,2.34375
1973-08-10,2.34375
1973-08-13,2.34375
1973-08-14,2.34375
1973-08-15,2.357955
1973-08-16,2.400568
1973-08-17,2.372159
1973-08-20,2.372159
1973-08-21,2.372159
1973-08-22,2.34375
1973-08-23,2.357955
1973-08-24,2.372159
1973-08-27,2.386364
1973-08-28,2.386364
1973-08-29,2.386364
1973-08-30,2.386364
1973-08-31,2.386364
1973-09-04,2.443182
1973-09-05,2.471591
1973-09-06,2.485795
1973-09-07,2.471591
1973-09-10,2.514205
1973-09-11,2.514205
1973-09-12,2.485795
1973-09-13,2.428977
1973-09-14,2.443182
1973-09-17,2.542614
1973-09-18,2.542614
1973-09-19,2.571023
1973-09-20,2.585227
1973-09-21,2.613636
1973-09-24,2.556818
1973-09-25,2.542614
1973-09-26,2.585227
1973-09-27,2.585227
1973-09-28,2.599432
1973-10-01,2.556818
1973-10-02,2.613636
1973-10-03,2.556818
1973-10-04,2.528409
1973-10-05,2.556818
1973-10-08,2.556818
1973-10-09,2.542614
1973-10-10,2.528409
1973-10-11,2.514205
1973-10-12,2.542614
1973-10-15,2.542614
1973-10-16,2.542614
1973-10-17,2.585227
1973-10-18,2.556818
1973-10-19,2.585227
1973-10-22,2.556818
1973-10-23,2.542614
1973-10-24,2.514205
1973-10-25,2.528409
1973-10-26,2.571023
1973-10-29,2.528409
1973-10-30,2.5
1973-10-31,2.485795
1973-11-01,2.485795
1973-11-02,2.457386
1973-11-05,2.386364
1973-11-06,2.329545
1973-11-07,2.357955
1973-11-08,2.386364
1973-11-09,2.386364
1973-11-12,2.428977
1973-11-13,2.372159
1973-11-14,2.357955
1973-11-15,2.34375
1973-11-16,2.386364
1973-11-19,2.357955
1973-11-20,2.329545
1973-11-21,2.272727
1973-11-23,2.258523
1973-11-26,2.173295
1973-11-27,2.116477
1973-11-28,2.201705
1973-11-29,2.244318
1973-11-30,2.230114
1973-12-03,2.215909
1973-12-04,2.230114
1973-12-05,2.1875
1973-12-06,2.173295
1973-12-07,2.244318
1973-12-10,2.201705
1973-12-11,2.1875
1973-12-12,2.215909
1973-12-13,2.173295
1973-12-14,2.201705
1973-12-17,2.215909
1973-12-18,2.244318
1973-12-19,2.215909
1973-12-20,2.215909
1973-12-21,2.258523
1973-12-24,2.173295
1973-12-26,2.173295
