Date,LOGM
2009-07-01,20.02
2009-07-02,20.09
2009-07-06,19.68
2009-07-07,19.32
2009-07-08,19.049999
2009-07-09,19.0
2009-07-10,18.360001
2009-07-13,19.450001
2009-07-14,19.41
2009-07-15,19.91
2009-07-16,19.780001000000002
2009-07-17,20.09
2009-07-20,20.23
2009-07-21,20.139999
2009-07-22,20.200001
2009-07-23,19.5
2009-07-24,19.26
2009-07-27,19.290001
2009-07-28,19.48
2009-07-29,19.9
2009-07-30,20.32
2009-07-31,19.51
2009-08-03,19.73
2009-08-04,19.700001
2009-08-05,19.73
2009-08-06,19.030001000000002
2009-08-07,17.92
2009-08-10,16.58
2009-08-11,17.74
2009-08-12,17.41
2009-08-13,17.860001
2009-08-14,17.73
2009-08-17,16.75
2009-08-18,15.47
2009-08-19,15.5
2009-08-20,17.299999
2009-08-21,17.48
2009-08-24,16.76
2009-08-25,16.299999
2009-08-26,16.43
2009-08-27,17.17
2009-08-28,17.0
2009-08-31,16.299999
2009-09-01,15.78
2009-09-02,15.43
2009-09-03,15.51
2009-09-04,16.469998999999998
2009-09-08,16.530001000000002
2009-09-09,16.93
2009-09-10,17.129998999999998
2009-09-11,16.77
2009-09-14,16.139999
2009-09-15,16.07
2009-09-16,16.92
2009-09-17,16.9
2009-09-18,16.959999
2009-09-21,17.42
2009-09-22,17.85
2009-09-23,17.870001000000002
2009-09-24,17.709999
2009-09-25,17.76
2009-09-28,18.0
2009-09-29,18.610001
2009-09-30,18.309998999999998
2009-10-01,18.49
2009-10-02,18.549999
2009-10-05,18.57
2009-10-06,18.59
2009-10-07,19.15
2009-10-08,19.610001
2009-10-09,20.0
2009-10-12,18.83
2009-10-13,19.219998999999998
2009-10-14,19.49
2009-10-15,19.24
2009-10-16,19.209999
2009-10-19,20.889999
2009-10-20,21.25
2009-10-21,21.959999
2009-10-22,22.16
2009-10-23,22.52
2009-10-26,22.709999
2009-10-27,20.110001
2009-10-28,19.67
2009-10-29,20.639999
2009-10-30,20.1
2009-11-02,20.58
2009-11-03,20.700001
2009-11-04,19.9
2009-11-05,20.02
2009-11-06,19.27
2009-11-09,19.58
2009-11-10,19.49
2009-11-11,19.799999
2009-11-12,19.4
2009-11-13,19.67
2009-11-16,19.709999
2009-11-17,19.75
2009-11-18,19.68
2009-11-19,19.49
2009-11-20,17.549999
2009-11-23,17.58
2009-11-24,16.959999
2009-11-25,17.049999
2009-11-27,16.690001000000002
2009-11-30,17.83
2009-12-01,17.73
2009-12-02,17.639999
2009-12-03,17.360001
2009-12-04,18.02
2009-12-07,18.190001000000002
2009-12-08,18.17
2009-12-09,18.51
2009-12-10,18.870001000000002
2009-12-11,19.969998999999998
2009-12-14,19.93
2009-12-15,20.969998999999998
2009-12-16,21.01
2009-12-17,20.969998999999998
2009-12-18,20.6
2009-12-21,20.32
2009-12-22,19.959999
2009-12-23,19.77
2009-12-24,19.700001
2009-12-28,19.92
2009-12-29,20.0
2009-12-30,20.0
2009-12-31,19.950001
2010-01-04,20.379998999999998
2010-01-05,20.290001
2010-01-06,20.440001000000002
2010-01-07,20.190001000000002
2010-01-08,20.27
2010-01-11,19.9
2010-01-12,19.709999
2010-01-13,20.389999
2010-01-14,20.540001
2010-01-15,20.120001000000002
2010-01-19,20.93
2010-01-20,20.610001
2010-01-21,19.83
2010-01-22,19.1
2010-01-25,18.85
2010-01-26,18.370001000000002
2010-01-27,18.02
2010-01-28,17.74
2010-01-29,16.950001
2010-02-01,17.24
2010-02-02,17.370001000000002
2010-02-03,17.68
2010-02-04,17.540001
2010-02-05,17.5
2010-02-08,16.98
2010-02-09,17.040001
2010-02-10,17.49
2010-02-11,17.48
2010-02-12,17.52
2010-02-16,17.59
2010-02-17,17.76
2010-02-18,19.09
2010-02-19,18.98
2010-02-22,18.459999
2010-02-23,18.139999
2010-02-24,18.059998999999998
2010-02-25,18.58
2010-02-26,18.76
2010-03-01,18.98
2010-03-02,19.1
2010-03-03,19.540001
2010-03-04,19.76
2010-03-05,19.790001
2010-03-08,19.5
2010-03-09,19.43
2010-03-10,20.469998999999998
2010-03-11,20.690001000000002
2010-03-12,19.98
2010-03-15,20.0
2010-03-16,20.16
2010-03-17,19.99
2010-03-18,19.92
2010-03-19,19.940001000000002
2010-03-22,20.26
2010-03-23,20.75
2010-03-24,20.43
2010-03-25,20.25
2010-03-26,20.27
2010-03-29,20.110001
2010-03-30,20.1
2010-03-31,20.690001000000002
2010-04-01,20.379998999999998
2010-04-05,20.610001
2010-04-06,20.99
2010-04-07,20.790001
2010-04-08,20.6
2010-04-09,21.200001
2010-04-12,21.65
2010-04-13,21.43
2010-04-14,21.459999
2010-04-15,21.23
2010-04-16,21.059998999999998
2010-04-19,20.74
2010-04-20,20.889999
2010-04-21,21.459999
2010-04-22,21.34
2010-04-23,21.190001000000002
2010-04-26,20.59
2010-04-27,20.18
2010-04-28,20.02
2010-04-29,22.879998999999998
2010-04-30,23.389999
2010-05-03,22.98
2010-05-04,22.9
2010-05-05,22.5
2010-05-06,21.82
2010-05-07,20.93
2010-05-10,20.82
2010-05-11,21.85
2010-05-12,23.559998999999998
2010-05-13,25.42
2010-05-14,25.93
2010-05-17,26.01
2010-05-18,26.25
2010-05-19,25.690001000000002
2010-05-20,24.91
2010-05-21,25.280001000000002
2010-05-24,24.780001000000002
2010-05-25,23.969998999999998
2010-05-26,24.98
2010-05-27,25.950001
2010-05-28,25.459999
2010-06-01,25.469998999999998
2010-06-02,26.41
2010-06-03,26.65
2010-06-04,25.84
2010-06-07,25.48
2010-06-08,25.709999
2010-06-09,26.02
2010-06-10,27.0
2010-06-11,28.26
2010-06-14,27.620001000000002
2010-06-15,28.17
2010-06-16,28.889999
2010-06-17,28.799999
2010-06-18,29.25
2010-06-21,27.26
2010-06-22,27.26
2010-06-23,28.02
2010-06-24,27.860001
2010-06-25,28.870001000000002
2010-06-28,28.870001000000002
2010-06-29,26.67
2010-06-30,26.23
2010-07-01,26.559998999999998
2010-07-02,26.549999
2010-07-06,27.200001
2010-07-07,29.48
2010-07-08,29.25
2010-07-09,28.84
2010-07-12,28.709999
2010-07-13,29.049999
2010-07-14,30.299999
2010-07-15,29.530001000000002
2010-07-16,28.690001000000002
2010-07-19,28.68
2010-07-20,29.459999
2010-07-21,29.790001
2010-07-22,27.799999
2010-07-23,28.5
2010-07-26,29.219998999999998
2010-07-27,29.379998999999998
2010-07-28,28.4
2010-07-29,28.02
2010-07-30,28.5
2010-08-02,29.389999
2010-08-03,29.0
2010-08-04,29.68
2010-08-05,27.950001
2010-08-06,27.370001000000002
2010-08-09,28.09
2010-08-10,27.32
2010-08-11,25.780001000000002
2010-08-12,26.1
2010-08-13,27.110001
2010-08-16,28.35
2010-08-17,28.860001
2010-08-18,29.33
2010-08-19,29.66
2010-08-20,29.809998999999998
2010-08-23,30.16
2010-08-24,29.07
2010-08-25,29.33
2010-08-26,29.6
2010-08-27,30.459999
2010-08-30,32.040001000000004
2010-08-31,32.75
2010-09-01,33.169998
2010-09-02,33.139998999999996
2010-09-03,32.759997999999996
2010-09-07,32.43
2010-09-08,33.130001
2010-09-09,32.400002
2010-09-10,31.940001000000002
2010-09-13,32.66
2010-09-14,32.939999
2010-09-15,31.49
2010-09-16,32.57
2010-09-17,34.5
2010-09-20,34.049999
2010-09-21,33.700001
2010-09-22,33.470001
2010-09-23,33.080002
2010-09-24,36.220001
2010-09-27,37.369999
