Date,NP
2004-11-17,35.0
2004-11-18,37.950001
2004-11-19,36.310001
2004-11-22,37.009997999999996
2004-11-23,36.959998999999996
2004-11-24,36.860001000000004
2004-11-26,36.860001000000004
2004-11-29,36.599998
2004-11-30,35.32
2004-12-01,33.5
2004-12-02,32.549999
2004-12-03,32.5
2004-12-06,31.9
2004-12-07,30.5
2004-12-08,30.51
2004-12-09,31.389999
2004-12-10,31.059998999999998
2004-12-13,31.940001000000002
2004-12-14,32.150002
2004-12-15,32.599998
2004-12-16,32.25
2004-12-17,32.0
2004-12-20,32.009997999999996
2004-12-21,32.169998
2004-12-22,32.02
2004-12-23,32.369999
2004-12-27,32.73
2004-12-28,32.790001000000004
2004-12-29,32.720001
2004-12-30,33.049999
2004-12-31,32.599998
2005-01-03,32.599998
2005-01-04,32.57
2005-01-05,32.509997999999996
2005-01-06,32.360001000000004
2005-01-07,32.0
2005-01-10,31.67
2005-01-11,31.27
2005-01-12,31.15
2005-01-13,31.030001000000002
2005-01-14,31.23
2005-01-18,32.139998999999996
2005-01-19,32.400002
2005-01-20,33.009997999999996
2005-01-21,32.959998999999996
2005-01-24,32.619999
2005-01-25,32.299999
2005-01-26,32.18
2005-01-27,32.080002
2005-01-28,31.85
2005-01-31,31.889999
2005-02-01,31.82
2005-02-02,32.119999
2005-02-03,32.09
2005-02-04,32.080002
2005-02-07,32.220001
2005-02-08,32.630001
2005-02-09,32.900002
2005-02-10,32.509997999999996
2005-02-11,32.650002
2005-02-14,32.849998
2005-02-15,33.0
2005-02-16,33.060001
2005-02-17,32.77
2005-02-18,33.189999
2005-02-22,35.759997999999996
2005-02-23,36.599998
2005-02-24,36.619999
2005-02-25,35.610001000000004
2005-02-28,35.16
2005-03-01,35.459998999999996
2005-03-02,35.279999
2005-03-03,34.599998
2005-03-04,35.700001
2005-03-07,35.34
2005-03-08,34.619999
2005-03-09,34.82
2005-03-10,34.560001
2005-03-11,34.700001
2005-03-14,33.349998
2005-03-15,33.849998
2005-03-16,33.93
2005-03-17,34.25
2005-03-18,34.209998999999996
2005-03-21,34.139998999999996
2005-03-22,34.18
2005-03-23,32.970001
2005-03-24,33.290001000000004
2005-03-28,34.23
2005-03-29,33.68
2005-03-30,33.509997999999996
2005-03-31,33.619999
2005-04-01,33.32
2005-04-04,32.959998999999996
2005-04-05,32.75
2005-04-06,32.830002
2005-04-07,33.009997999999996
2005-04-08,33.18
2005-04-11,32.759997999999996
2005-04-12,32.830002
2005-04-13,32.869999
2005-04-14,32.25
2005-04-15,32.400002
2005-04-18,32.25
2005-04-19,32.279999
2005-04-20,31.85
2005-04-21,31.5
2005-04-22,30.469998999999998
2005-04-25,30.59
2005-04-26,30.6
2005-04-27,30.34
2005-04-28,29.91
2005-04-29,30.09
2005-05-02,29.35
2005-05-03,29.190001000000002
2005-05-04,29.190001000000002
2005-05-05,29.190001000000002
2005-05-06,29.190001000000002
2005-05-09,29.77
2005-05-10,30.200001
2005-05-11,30.07
2005-05-12,29.77
2005-05-13,29.4
2005-05-16,29.440001000000002
2005-05-17,29.309998999999998
2005-05-18,29.32
2005-05-19,29.299999
2005-05-20,29.77
2005-05-23,30.549999
2005-05-24,31.01
2005-05-25,30.1
2005-05-26,30.09
2005-05-27,30.280001000000002
2005-05-31,29.93
2005-06-01,30.48
2005-06-02,30.51
2005-06-03,30.83
2005-06-06,31.219998999999998
