Date,ENT
2011-06-17,237.5
2011-06-20,237.5
2011-06-21,237.5
2011-06-22,237.5
2011-06-23,237.5
2011-06-24,237.5
2011-06-27,237.5
2011-06-28,237.5
2011-06-29,237.5
2011-06-30,237.5
2011-07-01,237.5
2011-07-05,237.5
2011-07-06,237.5
2011-07-07,237.5
2011-07-08,237.5
2011-07-11,237.5
2011-07-12,237.5
2011-07-13,237.5
2011-07-14,237.5
2011-07-15,237.5
2011-07-18,237.5
2011-07-19,237.5
2011-07-20,237.5
2011-07-21,237.5
2011-07-22,237.5
2011-07-25,237.5
2011-07-26,237.75
2011-07-27,237.75
2011-07-28,237.75
2011-07-29,237.75
2011-08-01,237.75
2011-08-02,237.75
2011-08-03,237.75
2011-08-04,236.25
2011-08-05,241.0
2011-08-08,241.0
2011-08-09,241.0
2011-08-10,241.0
2011-08-11,241.0
2011-08-12,241.0
2011-08-15,241.0
2011-08-16,241.0
2011-08-17,241.0
2011-08-18,241.0
2011-08-19,241.0
2011-08-22,241.0
2011-08-23,241.0
2011-08-24,241.0
2011-08-25,238.5
2011-08-26,238.5
2011-08-29,238.5
2011-08-30,238.5
2011-08-31,238.5
2011-09-01,238.0
2011-09-02,238.0
2011-09-06,238.0
2011-09-07,238.0
2011-09-08,238.0
2011-09-09,238.0
2011-09-12,238.25
2011-09-13,238.25
2011-09-14,238.25
2011-09-15,238.75
2011-09-16,238.75
2011-09-19,238.75
2011-09-20,238.75
2011-09-21,238.75
2011-09-22,238.75
2011-09-23,238.75
2011-09-26,237.5
2011-09-27,237.5
2011-09-28,237.5
2011-09-29,237.5
2011-09-30,237.5
2011-10-03,238.5
2011-10-04,238.75
2011-10-05,238.75
2011-10-06,238.75
2011-10-07,238.75
2011-10-10,237.5
2011-10-11,238.75
2011-10-12,239.5
2011-10-13,239.5
2011-10-14,239.5
2011-10-17,239.5
2011-10-18,239.5
2011-10-19,239.5
2011-10-20,239.5
2011-10-21,239.5
2011-10-24,239.5
2011-10-25,239.5
2011-10-26,239.5
2011-10-27,239.5
2011-10-28,239.5
2011-10-31,239.5
2011-11-01,239.5
2011-11-02,239.5
2011-11-03,239.5
2011-11-04,239.5
2011-11-07,240.5
2011-11-08,240.5
2011-11-09,240.5
2011-11-10,240.5
2011-11-11,240.5
2011-11-14,240.5
2011-11-15,240.5
2011-11-16,240.5
2011-11-17,240.5
2011-11-18,240.5
2011-11-21,240.5
2011-11-22,240.5
2011-11-23,240.5
2011-11-25,240.5
2011-11-28,240.5
2011-11-29,240.5
2011-11-30,240.5
2011-12-01,240.5
2011-12-02,240.5
2011-12-05,240.5
2011-12-06,240.5
2011-12-07,240.5
2011-12-08,240.5
2011-12-09,240.5
2011-12-12,240.5
2011-12-13,240.5
2011-12-14,240.5
2011-12-15,240.5
2011-12-16,240.5
2011-12-19,240.5
2011-12-20,240.5
2011-12-21,240.5
2011-12-22,240.5
2011-12-23,240.5
2011-12-27,240.5
2011-12-28,240.5
2011-12-29,240.5
2011-12-30,240.5
2012-01-03,240.5
2012-01-04,238.0
2012-01-05,238.0
2012-01-06,238.0
2012-01-09,238.0
2012-01-10,238.0
2012-01-11,238.0
2012-01-12,239.5
2012-01-13,239.5
2012-01-17,239.5
2012-01-18,239.5
2012-01-19,239.5
2012-01-20,239.5
2012-01-23,239.5
2012-01-24,239.5
2012-01-25,239.5
2012-01-26,239.5
2012-01-27,239.5
2012-01-30,239.5
2012-01-31,239.75
2012-02-01,239.75
2012-02-02,239.75
2012-02-03,239.75
2012-02-06,239.75
2012-02-07,240.5
2012-02-08,240.5
2012-02-09,240.5
2012-02-10,240.5
2012-02-13,240.5
2012-02-14,240.5
2012-02-15,240.5
2012-02-16,240.5
2012-02-17,240.5
2012-02-21,240.5
2012-02-22,240.5
2012-02-23,242.0
2012-02-24,242.0
2012-02-27,244.0
2012-02-28,244.0
2012-02-29,244.0
2012-03-01,244.0
2012-03-02,244.0
2012-03-05,241.75
2012-03-06,244.0
2012-03-07,243.0
2012-03-08,243.0
2012-03-09,243.0
2012-03-12,243.0
2012-03-13,243.75
2012-03-14,243.75
2012-03-15,243.75
2012-03-16,243.75
2012-03-19,243.75
2012-03-20,243.25
2012-03-21,242.75
2012-03-22,242.75
2012-03-23,242.75
2012-03-26,242.75
2012-03-27,242.75
2012-03-28,243.0
2012-03-29,243.0
2012-03-30,243.0
2012-04-02,243.0
2012-04-03,243.25
2012-04-04,243.25
2012-04-05,243.25
2012-04-09,243.25
2012-04-10,243.25
2012-04-11,243.0
2012-04-12,243.0
2012-04-13,242.75
2012-04-16,243.25
2012-04-17,243.5
2012-04-18,243.5
2012-04-19,243.5
2012-04-20,243.5
2012-04-23,243.5
2012-04-24,243.5
2012-04-25,243.5
2012-04-26,243.5
2012-04-27,243.5
2012-04-30,243.75
2012-05-01,243.5
2012-05-02,243.75
2012-05-03,243.75
2012-05-04,243.75
2012-05-07,243.75
2012-05-08,243.75
2012-05-09,243.75
2012-05-10,243.75
2012-05-11,243.75
2012-05-14,243.75
2012-05-15,243.75
2012-05-16,243.75
2012-05-17,243.75
2012-05-18,243.75
2012-05-21,243.75
2012-05-22,243.75
2012-05-23,242.75
2012-05-24,242.75
2012-05-25,242.5
2012-05-29,244.5
2012-05-30,242.75
2012-05-31,244.5
2012-06-01,244.5
2012-06-04,242.75
2012-06-05,242.75
2012-06-06,242.75
2012-06-07,244.0
2012-06-08,242.75
2012-06-11,244.5
2012-06-12,243.0
2012-06-13,243.25
2012-06-14,243.25
2012-06-15,243.25
2012-06-18,243.5
2012-06-19,243.5
2012-06-20,243.0
2012-06-21,243.0
2012-06-22,243.0
2012-06-25,244.0
2012-06-26,244.0
2012-06-27,244.25
2012-06-28,244.25
2012-06-29,244.25
2012-07-02,244.25
2012-07-03,244.25
2012-07-05,244.5
