Date,XEC
2002-09-25,16.1
2002-09-26,16.4
2002-09-27,16.1
2002-09-30,17.25
2002-10-01,16.780001000000002
2002-10-02,15.7
2002-10-03,16.1
2002-10-04,15.68
2002-10-07,15.0
2002-10-08,14.04
2002-10-09,14.0
2002-10-10,13.49
2002-10-11,13.6
2002-10-14,14.17
2002-10-15,14.95
2002-10-16,14.15
2002-10-17,14.39
2002-10-18,14.76
2002-10-21,14.77
2002-10-22,15.1
2002-10-23,15.34
2002-10-24,15.48
2002-10-25,15.37
2002-10-28,15.35
2002-10-29,15.34
2002-10-30,16.0
2002-10-31,15.9
2002-11-01,16.0
2002-11-04,15.85
2002-11-05,15.61
2002-11-06,15.55
2002-11-07,15.57
2002-11-08,15.1
2002-11-11,15.15
2002-11-12,15.12
2002-11-13,14.6
2002-11-14,14.69
2002-11-15,14.6
2002-11-18,14.7
2002-11-19,14.8
2002-11-20,15.28
2002-11-21,15.14
2002-11-22,15.22
2002-11-25,15.55
2002-11-26,15.4
2002-11-27,15.43
2002-11-29,15.12
2002-12-02,15.83
2002-12-03,15.82
2002-12-04,16.18
2002-12-05,16.469998999999998
2002-12-06,16.73
2002-12-09,16.85
2002-12-10,17.02
2002-12-11,16.799999
2002-12-12,17.42
2002-12-13,17.5
2002-12-16,17.280001000000002
2002-12-17,16.860001
2002-12-18,16.700001
2002-12-19,16.9
2002-12-20,16.549999
2002-12-23,17.0
2002-12-24,16.98
2002-12-26,16.98
2002-12-27,16.940001000000002
2002-12-30,17.540001
2002-12-31,17.9
2003-01-02,18.42
2003-01-03,18.049999
2003-01-06,17.65
2003-01-07,17.35
2003-01-08,17.41
2003-01-09,17.17
2003-01-10,17.379998999999998
2003-01-13,17.65
2003-01-14,18.15
2003-01-15,18.32
2003-01-16,19.299999
2003-01-17,19.16
2003-01-21,18.85
2003-01-22,18.799999
2003-01-23,18.84
2003-01-24,18.65
2003-01-27,18.4
2003-01-28,18.75
2003-01-29,18.35
2003-01-30,18.41
2003-01-31,18.68
2003-02-03,19.6
2003-02-04,19.700001
2003-02-05,19.6
2003-02-06,19.4
2003-02-07,18.82
2003-02-10,19.219998999999998
2003-02-11,19.389999
2003-02-12,18.950001
2003-02-13,18.98
2003-02-14,18.780001000000002
2003-02-18,19.299999
2003-02-19,19.16
2003-02-20,18.719998999999998
2003-02-21,19.1
2003-02-24,19.65
2003-02-25,19.52
2003-02-26,19.4
2003-02-27,19.4
2003-02-28,19.879998999999998
2003-03-03,19.65
2003-03-04,19.92
2003-03-05,20.0
2003-03-06,20.200001
2003-03-07,20.25
2003-03-10,20.120001000000002
2003-03-11,19.58
2003-03-12,18.75
2003-03-13,18.65
2003-03-14,18.299999
2003-03-17,18.049999
2003-03-18,18.5
2003-03-19,18.799999
