Date,EQT
1980-03-17,0.6485350000000001
1980-03-18,0.6485350000000001
1980-03-19,0.6485350000000001
1980-03-20,0.6485350000000001
1980-03-21,0.6485350000000001
1980-03-24,0.6216520000000001
1980-03-25,0.564528
1980-03-26,0.5678880000000001
1980-03-27,0.534285
1980-03-28,0.547726
1980-03-31,0.547726
1980-04-01,0.554447
1980-04-02,0.544366
1980-04-03,0.547726
1980-04-07,0.530925
1980-04-08,0.551086
1980-04-09,0.59141
1980-04-10,0.618292
1980-04-11,0.641814
1980-04-14,0.625013
1980-04-15,0.651895
1980-04-16,0.645174
1980-04-17,0.635093
1980-04-18,0.635093
1980-04-21,0.635093
1980-04-22,0.658615
1980-04-23,0.661976
1980-04-24,0.675417
1980-04-25,0.705659
1980-04-28,0.719101
1980-04-29,0.722461
1980-04-30,0.749343
1980-05-01,0.759424
1980-05-02,0.752703
1980-05-05,0.7359020000000001
1980-05-06,0.745983
1980-05-07,0.7560640000000001
1980-05-08,0.752703
1980-05-09,0.749343
1980-05-12,0.742622
1980-05-13,0.725821
1980-05-14,0.722461
1980-05-15,0.695579
1980-05-16,0.6989390000000001
1980-05-19,0.692218
1980-05-20,0.719101
1980-05-21,0.719101
1980-05-22,0.7359020000000001
1980-05-23,0.745983
1980-05-27,0.752703
1980-05-28,0.749343
1980-05-29,0.745983
1980-05-30,0.7359020000000001
1980-06-02,0.745983
1980-06-03,0.745983
1980-06-04,0.7728649999999999
1980-06-05,0.779586
1980-06-06,0.769505
1980-06-09,0.8064680000000001
1980-06-10,0.799747
1980-06-11,0.796387
1980-06-12,0.823269
1980-06-13,0.83335
1980-06-16,0.813188
1980-06-17,0.809828
1980-06-18,0.823269
1980-06-19,0.8367100000000001
1980-06-20,0.82663
1980-06-23,0.83335
1980-06-24,0.846791
1980-06-25,0.877034
1980-06-26,0.8703129999999999
1980-06-27,0.8669530000000001
1980-06-30,0.8434309999999999
1980-07-01,0.83335
1980-07-02,0.853512
1980-07-03,0.8669530000000001
1980-07-07,0.883754
1980-07-08,0.8736729999999999
1980-07-09,0.880394
1980-07-10,0.880394
1980-07-11,0.8736729999999999
1980-07-14,0.8736729999999999
1980-07-15,0.880394
1980-07-16,0.893835
1980-07-17,0.890475
1980-07-18,0.9039159999999999
1980-07-21,0.920717
1980-07-22,0.934159
1980-07-23,0.920717
1980-07-24,0.913997
1980-07-25,0.907276
1980-07-28,0.913997
1980-07-29,0.934159
1980-07-30,0.9476
1980-07-31,0.934159
1980-08-01,0.974482
1980-08-04,0.9677610000000001
1980-08-05,0.961041
1980-08-06,0.95096
1980-08-07,0.9408790000000001
1980-08-08,0.9711219999999999
