Date,CACH
1981-03-12,3.0322
1981-03-13,3.0322
1981-03-16,3.0322
1981-03-17,3.0322
1981-03-18,4.08997
1981-03-19,3.8079400000000003
1981-03-20,3.8079400000000003
1981-03-23,4.08997
1981-03-24,4.08997
1981-03-25,4.08997
1981-03-26,4.08997
1981-03-27,4.08997
1981-03-30,3.8079400000000003
1981-03-31,3.8079400000000003
1981-04-01,4.08997
1981-04-02,4.30145
1981-04-03,4.30145
1981-04-06,4.86571
1981-04-07,4.86571
1981-04-08,5.076980000000001
1981-04-09,5.5709
1981-04-10,5.852930000000001
1981-04-13,5.852930000000001
1981-04-14,5.5709
1981-04-15,5.35922
1981-04-16,5.076980000000001
1981-04-20,5.076980000000001
1981-04-21,4.86571
1981-04-22,4.30145
1981-04-23,4.58368
1981-04-24,5.852930000000001
1981-04-27,5.852930000000001
1981-04-28,5.5709
1981-04-29,4.86571
1981-04-30,4.86571
1981-05-01,4.86571
1981-05-04,4.86571
1981-05-05,4.86571
1981-05-06,4.58368
1981-05-07,4.58368
1981-05-08,4.58368
1981-05-11,4.58368
1981-05-12,4.58368
1981-05-13,4.30145
1981-05-14,4.30145
1981-05-15,4.08997
1981-05-18,3.8079400000000003
1981-05-19,3.8079400000000003
1981-05-20,3.8079400000000003
1981-05-21,3.8079400000000003
1981-05-22,3.8079400000000003
1981-05-26,4.08997
1981-05-27,4.08997
1981-05-28,4.08997
1981-05-29,4.08997
1981-06-01,3.8079400000000003
1981-06-02,3.5257
1981-06-03,3.5257
1981-06-04,3.5257
1981-06-05,3.3144400000000003
1981-06-08,3.3144400000000003
1981-06-09,3.3144400000000003
1981-06-10,3.3144400000000003
1981-06-11,3.3144400000000003
1981-06-12,3.3144400000000003
1981-06-15,3.3144400000000003
1981-06-16,3.0322
1981-06-17,3.0322
1981-06-18,3.3144400000000003
1981-06-19,3.3144400000000003
1981-06-22,3.0322
1981-06-23,3.0322
1981-06-24,3.0322
1981-06-25,3.0322
1981-06-26,3.0322
1981-06-29,3.0322
1981-06-30,3.0322
1981-07-01,3.0322
1981-07-02,3.0322
1981-07-06,3.0322
1981-07-07,3.0322
1981-07-08,2.7501700000000002
1981-07-09,2.7501700000000002
1981-07-10,2.7501700000000002
