Date,VMW
2007-08-15,57.709998999999996
2007-08-16,56.990002000000004
2007-08-17,55.549999
2007-08-20,57.330002
2007-08-21,65.989998
2007-08-22,66.849998
2007-08-23,70.199997
2007-08-24,71.300003
2007-08-27,72.300003
2007-08-28,69.779999
2007-08-29,68.199997
2007-08-30,68.459999
2007-08-31,68.889999
2007-09-04,67.449997
2007-09-05,64.209999
2007-09-06,69.790001
2007-09-07,69.5
2007-09-10,76.760002
2007-09-11,76.650002
2007-09-12,78.300003
2007-09-13,77.790001
2007-09-14,77.91999799999999
2007-09-17,73.699997
2007-09-18,73.900002
2007-09-19,77.599998
2007-09-20,76.650002
2007-09-21,79.309998
2007-09-24,83.83000200000001
2007-09-25,83.230003
2007-09-26,82.360001
2007-09-27,83.120003
2007-09-28,85.0
2007-10-01,88.620003
2007-10-02,92.41999799999999
2007-10-03,88.25
2007-10-04,89.57
2007-10-05,91.129997
2007-10-08,95.089996
2007-10-09,101.610001
2007-10-10,107.040001
2007-10-11,102.690002
2007-10-12,102.980003
2007-10-15,98.760002
2007-10-16,99.900002
2007-10-17,103.949997
2007-10-18,101.550003
2007-10-19,97.739998
2007-10-22,102.379997
2007-10-23,106.150002
2007-10-24,103.519997
2007-10-25,114.0
2007-10-26,112.089996
2007-10-29,120.779999
2007-10-30,120.349998
2007-10-31,124.83000200000001
2007-11-01,122.25
2007-11-02,117.120003
2007-11-05,112.550003
2007-11-06,110.940002
2007-11-07,102.5
2007-11-08,91.879997
2007-11-09,87.739998
2007-11-12,80.360001
2007-11-13,90.68
2007-11-14,87.16999799999999
2007-11-15,82.300003
2007-11-16,85.25
2007-11-19,81.970001
2007-11-20,82.620003
2007-11-21,80.68
2007-11-23,78.839996
2007-11-26,71.440002
2007-11-27,77.58000200000001
2007-11-28,87.690002
2007-11-29,90.849998
2007-11-30,91.370003
2007-12-03,94.970001
2007-12-04,95.08000200000001
2007-12-05,90.440002
2007-12-06,89.699997
2007-12-07,88.879997
2007-12-10,93.449997
2007-12-11,95.290001
2007-12-12,99.230003
2007-12-13,96.0
2007-12-14,95.699997
2007-12-17,89.849998
2007-12-18,88.83000200000001
2007-12-19,90.529999
2007-12-20,91.139999
2007-12-21,89.639999
2007-12-24,88.709999
2007-12-26,87.629997
2007-12-27,84.970001
2007-12-28,83.599998
2007-12-31,84.989998
2008-01-02,84.599998
2008-01-03,83.949997
2008-01-04,80.489998
2008-01-07,72.989998
2008-01-08,74.5
2008-01-09,79.889999
2008-01-10,80.300003
2008-01-11,77.529999
2008-01-14,82.239998
2008-01-15,79.93
2008-01-16,83.5
2008-01-17,80.739998
2008-01-18,81.269997
2008-01-22,80.449997
2008-01-23,77.510002
2008-01-24,80.199997
2008-01-25,80.550003
2008-01-28,83.0
2008-01-29,54.869999
2008-01-30,56.419998
2008-01-31,56.669998
2008-02-01,57.849998
2008-02-04,58.049999
2008-02-05,59.299999
2008-02-06,61.52
2008-02-07,60.799999
2008-02-08,60.27
2008-02-11,61.419998
2008-02-12,62.259997999999996
2008-02-13,62.93
2008-02-14,62.099998
