Date,FNB
1987-07-24,10.670397
1987-07-27,10.670397
1987-07-28,10.670397
1987-07-29,10.670397
1987-07-30,10.670397
1987-07-31,10.670397
1987-08-03,10.670397
1987-08-04,10.670397
1987-08-05,10.670397
1987-08-06,10.670397
1987-08-07,10.670397
1987-08-10,10.670397
1987-08-11,10.670397
1987-08-12,10.670397
1987-08-13,10.670397
1987-08-14,10.816566
1987-08-17,10.816566
1987-08-18,10.816566
1987-08-19,10.816566
1987-08-20,10.816566
1987-08-21,10.816566
1987-08-24,10.816566
1987-08-25,10.816566
1987-08-26,10.816566
1987-08-27,10.816566
1987-08-28,10.816566
1987-08-31,10.816566
1987-09-01,10.816566
1987-09-02,10.816566
1987-09-03,10.816566
1987-09-04,10.816566
1987-09-08,10.816566
1987-09-09,10.816566
1987-09-10,10.816566
1987-09-11,10.962736999999999
1987-09-14,10.962736999999999
1987-09-15,10.962736999999999
1987-09-16,10.962736999999999
1987-09-17,10.962736999999999
1987-09-18,10.962736999999999
1987-09-21,10.962736999999999
1987-09-22,11.474331
1987-09-23,11.474331
1987-09-24,11.620500999999999
1987-09-25,11.620500999999999
1987-09-28,11.620500999999999
1987-09-29,11.620500999999999
1987-09-30,11.76667
1987-10-01,11.76667
1987-10-02,11.76667
1987-10-05,11.76667
1987-10-06,12.132095
1987-10-07,12.424435
1987-10-08,12.424435
1987-10-09,12.424435
1987-10-12,12.424435
1987-10-13,12.424435
1987-10-14,12.424435
1987-10-15,12.424435
1987-10-16,12.424435
1987-10-19,12.424435
1987-10-20,12.278265
1987-10-21,12.278265
1987-10-22,12.278265
1987-10-23,12.278265
1987-10-26,12.278265
1987-10-27,11.693585
1987-10-28,11.108907
1987-10-29,11.108907
1987-10-30,11.108907
1987-11-02,11.108907
1987-11-03,11.108907
1987-11-04,11.108907
1987-11-05,11.108907
1987-11-06,11.108907
1987-11-09,11.108907
1987-11-10,11.108907
1987-11-11,11.108907
1987-11-12,11.108907
1987-11-13,11.108907
1987-11-16,11.108907
1987-11-17,11.108907
1987-11-18,10.816566
1987-11-19,10.524227
1987-11-20,10.524227
1987-11-23,10.524227
1987-11-24,10.524227
1987-11-25,10.524227
1987-11-27,10.524227
1987-11-30,10.524227
1987-12-01,10.524227
1987-12-02,10.524227
1987-12-03,10.524227
1987-12-04,10.524227
1987-12-07,10.524227
1987-12-08,10.524227
1987-12-09,10.524227
1987-12-10,10.524227
1987-12-11,10.524227
1987-12-14,10.524227
1987-12-15,10.524227
1987-12-16,10.524227
1987-12-17,10.524227
1987-12-18,10.524227
1987-12-21,10.524227
1987-12-22,10.524227
1987-12-23,10.524227
1987-12-24,10.524227
1987-12-28,10.524227
1987-12-29,10.670397
1987-12-30,10.670397
1987-12-31,10.670397
1988-01-04,10.670397
1988-01-05,10.816566
1988-01-06,10.816566
1988-01-07,10.816566
1988-01-08,10.816566
1988-01-11,10.524227
1988-01-12,10.524227
1988-01-13,10.524227
1988-01-14,10.524227
1988-01-15,10.524227
1988-01-18,10.597311999999999
1988-01-19,10.597311999999999
1988-01-20,10.524227
1988-01-21,10.524227
1988-01-22,10.524227
1988-01-25,10.524227
1988-01-26,10.524227
1988-01-27,10.524227
1988-01-28,10.524227
1988-01-29,10.524227
1988-02-01,10.524227
1988-02-02,10.524227
1988-02-03,10.524227
1988-02-04,10.524227
1988-02-05,10.524227
1988-02-08,10.524227
1988-02-09,10.524227
1988-02-10,10.670397
1988-02-11,10.816566
1988-02-12,10.816566
1988-02-16,11.401246
1988-02-17,11.401246
1988-02-18,11.401246
1988-02-19,11.401246
1988-02-22,11.547416
1988-02-23,11.547416
1988-02-24,11.547416
1988-02-25,11.401246
1988-02-26,11.401246
1988-02-29,11.401246
1988-03-01,11.401246
1988-03-02,11.401246
1988-03-03,11.401246
1988-03-04,11.401246
1988-03-07,11.401246
1988-03-08,11.255075999999999
1988-03-09,11.255075999999999
1988-03-10,11.255075999999999
1988-03-11,11.255075999999999
1988-03-14,11.255075999999999
1988-03-15,11.255075999999999
1988-03-16,11.108907
1988-03-17,10.962736999999999
1988-03-18,10.816566
1988-03-21,10.816566
1988-03-22,10.816566
1988-03-23,10.816566
1988-03-24,10.816566
1988-03-25,10.816566
1988-03-28,10.816566
1988-03-29,10.816566
1988-03-30,10.816566
1988-03-31,10.816566
1988-04-04,10.816566
1988-04-05,10.816566
1988-04-06,10.816566
1988-04-07,10.816566
1988-04-08,10.816566
1988-04-11,10.962736999999999
1988-04-12,10.962736999999999
1988-04-13,10.962736999999999
1988-04-14,10.962736999999999
1988-04-15,10.816566
1988-04-18,10.962736999999999
1988-04-19,10.962736999999999
1988-04-20,10.962736999999999
1988-04-21,10.962736999999999
1988-04-22,10.962736999999999
1988-04-25,10.962736999999999
1988-04-26,11.108907
1988-04-27,10.816566
1988-04-28,10.816566
1988-04-29,10.962736999999999
1988-05-02,10.962736999999999
1988-05-03,10.962736999999999
1988-05-04,10.816566
1988-05-05,10.231888
1988-05-06,10.231888
1988-05-09,10.231888
1988-05-10,10.231888
1988-05-11,10.231888
1988-05-12,10.231888
1988-05-13,10.231888
1988-05-16,10.231888
1988-05-17,10.231888
1988-05-18,9.939548
1988-05-19,9.939548
1988-05-20,9.939548
1988-05-23,9.939548
1988-05-24,9.939548
1988-05-25,9.939548
1988-05-26,9.939548
1988-05-27,9.939548
1988-05-31,9.939548
1988-06-01,9.939548
1988-06-02,9.939548
1988-06-03,9.939548
