Date,DESP
2017-09-20,31.780001000000002
2017-09-21,30.84
2017-09-22,32.16
2017-09-25,31.889999
2017-09-26,32.009997999999996
2017-09-27,32.0
2017-09-28,32.220001
2017-09-29,32.0
2017-10-02,31.549999
2017-10-03,32.0
2017-10-04,32.16
2017-10-05,32.080002
2017-10-06,32.310001
2017-10-09,33.299999
2017-10-10,33.869999
2017-10-11,33.599998
2017-10-12,33.0
2017-10-13,33.939999
2017-10-16,33.18
2017-10-17,32.52
2017-10-18,32.279999
2017-10-19,30.809998999999998
2017-10-20,30.1
2017-10-23,29.780001000000002
2017-10-24,30.129998999999998
2017-10-25,30.0
2017-10-26,30.059998999999998
2017-10-27,29.67
2017-10-30,29.950001
2017-10-31,30.799999
2017-11-01,30.58
2017-11-02,29.690001000000002
2017-11-03,29.85
2017-11-06,29.9
2017-11-07,29.059998999999998
2017-11-08,29.34
2017-11-09,29.24
2017-11-10,28.65
2017-11-13,28.299999
2017-11-14,28.540001
2017-11-15,28.290001
2017-11-16,29.16
2017-11-17,28.5
2017-11-20,27.299999
2017-11-21,27.799999
2017-11-22,26.91
2017-11-24,27.01
2017-11-27,25.809998999999998
2017-11-28,25.030001000000002
2017-11-29,24.0
2017-11-30,24.0
2017-12-01,23.690001000000002
2017-12-04,22.879998999999998
2017-12-05,23.01
2017-12-06,25.799999
2017-12-07,26.9
2017-12-08,26.620001000000002
2017-12-11,26.030001000000002
2017-12-12,26.030001000000002
2017-12-13,26.24
2017-12-14,26.4
2017-12-15,26.84
2017-12-18,26.1
2017-12-19,26.299999
2017-12-20,27.190001000000002
2017-12-21,27.950001
2017-12-22,28.049999
2017-12-26,27.610001
2017-12-27,27.51
2017-12-28,27.0
2017-12-29,27.48
2018-01-02,29.030001000000002
2018-01-03,28.370001000000002
2018-01-04,27.33
2018-01-05,28.23
2018-01-08,28.219998999999998
2018-01-09,27.59
2018-01-10,26.49
2018-01-11,28.58
2018-01-12,29.309998999999998
2018-01-16,28.620001000000002
2018-01-17,29.25
2018-01-18,28.809998999999998
2018-01-19,29.18
2018-01-22,30.1
2018-01-23,30.02
2018-01-24,30.0
2018-01-25,30.030001000000002
2018-01-26,30.65
2018-01-29,30.84
2018-01-30,30.1
2018-01-31,30.450001
2018-02-01,30.25
2018-02-02,30.049999
2018-02-05,29.200001
2018-02-06,29.209999
2018-02-07,29.5
2018-02-08,28.790001
2018-02-09,27.48
2018-02-12,27.76
2018-02-13,27.91
2018-02-14,28.700001
2018-02-15,28.4
2018-02-16,28.719998999999998
2018-02-20,28.200001
2018-02-21,28.6
2018-02-22,28.58
2018-02-23,29.27
2018-02-26,29.15
2018-02-27,28.700001
2018-02-28,28.4
2018-03-01,28.360001
2018-03-02,28.65
2018-03-05,29.08
2018-03-06,28.85
2018-03-07,29.469998999999998
2018-03-08,30.91
2018-03-09,33.5
2018-03-12,33.130001
2018-03-13,33.080002
2018-03-14,32.43
2018-03-15,32.75
2018-03-16,32.91
2018-03-19,33.049999
2018-03-20,31.879998999999998
2018-03-21,31.9
2018-03-22,31.91
2018-03-23,32.450001
2018-03-26,32.799999
2018-03-27,31.93
2018-03-28,31.0
2018-03-29,31.25
2018-04-02,30.6
2018-04-03,31.0
2018-04-04,30.99
2018-04-05,31.059998999999998
2018-04-06,30.42
2018-04-09,29.309998999999998
2018-04-10,29.48
2018-04-11,29.459999
2018-04-12,29.49
2018-04-13,29.459999
2018-04-16,29.059998999999998
2018-04-17,29.9
2018-04-18,29.959999
2018-04-19,30.209999
2018-04-20,30.059998999999998
2018-04-23,30.01
2018-04-24,29.389999
2018-04-25,28.620001000000002
2018-04-26,28.879998999999998
2018-04-27,28.450001
2018-04-30,29.360001
2018-05-01,29.190001000000002
2018-05-02,28.879998999999998
2018-05-03,28.549999
2018-05-04,28.690001000000002
2018-05-07,28.01
2018-05-08,27.52
2018-05-09,27.4
2018-05-10,26.719998999999998
2018-05-11,25.969998999999998
2018-05-14,24.9
2018-05-15,24.17
2018-05-16,24.700001
2018-05-17,24.08
2018-05-18,23.889999
2018-05-21,23.799999
2018-05-22,23.4
2018-05-23,23.08
2018-05-24,23.01
2018-05-25,22.860001
2018-05-29,22.790001
2018-05-30,22.67
2018-05-31,23.290001
2018-06-01,23.58
2018-06-04,23.120001000000002
2018-06-05,22.969998999999998
2018-06-06,22.620001000000002
2018-06-07,22.4
2018-06-08,22.92
2018-06-11,23.030001000000002
2018-06-12,22.799999
2018-06-13,22.35
2018-06-14,22.02
2018-06-15,21.65
2018-06-18,21.139999
2018-06-19,21.52
2018-06-20,22.25
2018-06-21,22.57
2018-06-22,22.74
2018-06-25,22.0
2018-06-26,21.33
2018-06-27,20.540001
2018-06-28,20.799999
2018-06-29,20.969998999999998
2018-07-02,20.91
2018-07-03,20.42
2018-07-05,20.549999
2018-07-06,20.49
2018-07-09,20.780001000000002
2018-07-10,20.43
2018-07-11,20.120001000000002
2018-07-12,19.610001
2018-07-13,20.42
2018-07-16,20.26
2018-07-17,19.799999
2018-07-18,19.52
2018-07-19,19.42
2018-07-20,19.49
2018-07-23,20.5
2018-07-24,20.76
2018-07-25,21.440001000000002
2018-07-26,21.58
2018-07-27,21.799999
2018-07-30,21.639999
2018-07-31,21.02
2018-08-01,20.540001
2018-08-02,21.09
2018-08-03,21.24
2018-08-06,21.719998999999998
2018-08-07,20.91
2018-08-08,20.59
2018-08-09,20.4
2018-08-10,19.33
2018-08-13,19.84
2018-08-14,19.780001000000002
2018-08-15,19.57
2018-08-16,18.27
2018-08-17,17.030001000000002
2018-08-20,17.41
2018-08-21,17.6
2018-08-22,17.98
2018-08-23,17.870001000000002
2018-08-24,17.51
2018-08-27,18.08
2018-08-28,17.52
2018-08-29,17.299999
2018-08-30,16.959999
2018-08-31,16.860001
2018-09-04,16.799999
2018-09-05,16.389999
2018-09-06,16.16
2018-09-07,16.24
2018-09-10,15.97
2018-09-11,15.46
2018-09-12,15.06
2018-09-13,15.33
2018-09-14,15.5
2018-09-17,16.18
2018-09-18,16.780001000000002
2018-09-19,17.15
2018-09-20,17.52
2018-09-21,17.24
2018-09-24,17.040001
2018-09-25,16.940001000000002
2018-09-26,16.66
2018-09-27,16.690001000000002
2018-09-28,16.870001000000002
2018-10-01,16.940001000000002
2018-10-02,16.879998999999998
2018-10-03,17.030001000000002
2018-10-04,17.07
2018-10-05,16.719998999999998
2018-10-08,16.790001
2018-10-09,16.34
2018-10-10,15.89
2018-10-11,15.25
2018-10-12,15.51
2018-10-15,15.51
2018-10-16,16.200001
2018-10-17,16.09
2018-10-18,15.63
2018-10-19,15.62
2018-10-22,15.31
2018-10-23,15.47
2018-10-24,15.2
2018-10-25,15.57
2018-10-26,15.33
2018-10-29,14.99
2018-10-30,15.78
2018-10-31,16.07
2018-11-01,16.870001000000002
2018-11-02,17.0
2018-11-05,16.68
2018-11-06,16.59
2018-11-07,16.65
2018-11-08,15.91
2018-11-09,15.73
2018-11-12,16.190001000000002
2018-11-13,16.129998999999998
2018-11-14,16.08
2018-11-15,15.85
2018-11-16,15.7
2018-11-19,14.92
2018-11-20,15.03
2018-11-21,15.14
