Date,MLHR
1980-03-17,0.770833
1980-03-18,0.770833
1980-03-19,0.791667
1980-03-20,0.78125
1980-03-21,0.770833
1980-03-24,0.697917
1980-03-25,0.6875
1980-03-26,0.71875
1980-03-27,0.645833
1980-03-28,0.71875
1980-03-31,0.75
1980-04-01,0.875
1980-04-02,0.864583
1980-04-03,0.854167
1980-04-07,0.8125
1980-04-08,0.8125
1980-04-09,0.822917
1980-04-10,0.822917
1980-04-11,0.802083
1980-04-14,0.791667
1980-04-15,0.791667
1980-04-16,0.770833
1980-04-17,0.75
1980-04-18,0.75
1980-04-21,0.729167
1980-04-22,0.739583
1980-04-23,0.739583
1980-04-24,0.739583
1980-04-25,0.729167
1980-04-28,0.729167
1980-04-29,0.739583
1980-04-30,0.739583
1980-05-01,0.739583
1980-05-02,0.75
1980-05-05,0.75
1980-05-06,0.75
1980-05-07,0.729167
1980-05-08,0.729167
1980-05-09,0.729167
1980-05-12,0.729167
1980-05-13,0.739583
1980-05-14,0.739583
1980-05-15,0.739583
1980-05-16,0.739583
1980-05-19,0.729167
1980-05-20,0.729167
1980-05-21,0.729167
1980-05-22,0.739583
1980-05-23,0.75
1980-05-27,0.75
1980-05-28,0.760417
1980-05-29,0.75
1980-05-30,0.760417
1980-06-02,0.770833
1980-06-03,0.78125
1980-06-04,0.78125
1980-06-05,0.78125
1980-06-06,0.78125
1980-06-09,0.78125
1980-06-10,0.84375
1980-06-11,0.864583
1980-06-12,0.885417
1980-06-13,0.90625
1980-06-16,0.90625
1980-06-17,0.90625
1980-06-18,0.895833
1980-06-19,0.90625
1980-06-20,0.895833
1980-06-23,0.895833
1980-06-24,0.90625
1980-06-25,0.927083
1980-06-26,0.916667
1980-06-27,0.916667
1980-06-30,0.90625
1980-07-01,0.916667
1980-07-02,0.916667
1980-07-03,0.927083
1980-07-07,0.947917
1980-07-08,0.96875
1980-07-09,0.96875
1980-07-10,0.979167
1980-07-11,0.979167
1980-07-14,0.979167
1980-07-15,1.010417
1980-07-16,1.020833
1980-07-17,1.041667
1980-07-18,1.0625
1980-07-21,1.0625
1980-07-22,1.072917
1980-07-23,1.083333
1980-07-24,1.083333
1980-07-25,1.0625
1980-07-28,1.072917
1980-07-29,1.083333
1980-07-30,1.166667
1980-07-31,1.15625
1980-08-01,1.229167
1980-08-04,1.1875
1980-08-05,1.177083
1980-08-06,1.197917
1980-08-07,1.208333
1980-08-08,1.208333
1980-08-11,1.197917
1980-08-12,1.1875
1980-08-13,1.177083
1980-08-14,1.1875
1980-08-15,1.21875
1980-08-18,1.177083
1980-08-19,1.166667
1980-08-20,1.166667
1980-08-21,1.1875
1980-08-22,1.208333
1980-08-25,1.208333
1980-08-26,1.239583
1980-08-27,1.3125
1980-08-28,1.3125
1980-08-29,1.3125
1980-09-02,1.302083
1980-09-03,1.3125
1980-09-04,1.375
1980-09-05,1.427083
1980-09-08,1.416667
1980-09-09,1.375
1980-09-10,1.333333
1980-09-11,1.34375
1980-09-12,1.34375
1980-09-15,1.333333
1980-09-16,1.333333
1980-09-17,1.375
1980-09-18,1.427083
1980-09-19,1.520833
1980-09-22,1.520833
1980-09-23,1.520833
1980-09-24,1.510417
1980-09-25,1.520833
1980-09-26,1.510417
1980-09-29,1.479167
1980-09-30,1.489583
1980-10-01,1.5
1980-10-02,1.5
1980-10-03,1.53125
1980-10-06,1.635417
1980-10-07,1.65625
1980-10-08,1.645833
1980-10-09,1.65625
1980-10-10,1.635417
1980-10-13,1.635417
1980-10-14,1.614583
1980-10-15,1.583333
1980-10-16,1.53125
1980-10-17,1.5
1980-10-20,1.458333
1980-10-21,1.510417
1980-10-22,1.510417
1980-10-23,1.46875
1980-10-24,1.458333
1980-10-27,1.458333
1980-10-28,1.458333
1980-10-29,1.458333
1980-10-30,1.447917
1980-10-31,1.4375
1980-11-03,1.395833
1980-11-05,1.385417
1980-11-06,1.395833
1980-11-07,1.40625
1980-11-10,1.395833
1980-11-11,1.40625
1980-11-12,1.40625
1980-11-13,1.416667
1980-11-14,1.427083
1980-11-17,1.416667
1980-11-18,1.427083
1980-11-19,1.46875
1980-11-20,1.479167
1980-11-21,1.479167
1980-11-24,1.46875
1980-11-25,1.46875
1980-11-26,1.479167
1980-11-28,1.489583
1980-12-01,1.46875
1980-12-02,1.4375
1980-12-03,1.447917
1980-12-04,1.4375
1980-12-05,1.427083
1980-12-08,1.375
1980-12-09,1.375
1980-12-10,1.364583
1980-12-11,1.322917
1980-12-12,1.302083
