Date,SRCL
1996-08-23,2.3125
1996-08-26,2.3125
1996-08-27,2.46875
1996-08-28,2.5625
1996-08-29,2.5
1996-08-30,2.4375
1996-09-03,2.28125
1996-09-04,2.375
1996-09-05,2.28125
1996-09-06,2.25
1996-09-09,2.375
1996-09-10,2.3125
1996-09-11,2.34375
1996-09-12,2.34375
1996-09-13,2.34375
1996-09-16,2.34375
1996-09-17,2.3125
1996-09-18,2.25
1996-09-19,2.1875
1996-09-20,2.28125
1996-09-23,2.21875
1996-09-24,2.1875
1996-09-25,2.34375
1996-09-26,2.375
1996-09-27,2.34375
1996-09-30,2.28125
1996-10-01,2.1875
1996-10-02,2.28125
1996-10-03,2.28125
1996-10-04,2.21875
1996-10-07,2.21875
1996-10-08,2.1875
1996-10-09,2.09375
1996-10-10,2.125
1996-10-11,2.0625
1996-10-14,2.09375
1996-10-15,2.125
1996-10-16,2.0
1996-10-17,1.90625
1996-10-18,2.0625
1996-10-21,2.03125
1996-10-22,1.96875
1996-10-23,2.0625
1996-10-24,1.9375
1996-10-25,2.0
1996-10-28,1.96875
1996-10-29,1.96875
1996-10-30,1.96875
1996-10-31,1.84375
1996-11-01,1.90625
1996-11-04,1.9375
1996-11-05,1.9375
1996-11-06,1.9375
1996-11-07,2.125
1996-11-08,2.0625
1996-11-11,2.125
1996-11-12,2.125
1996-11-13,2.09375
1996-11-14,2.09375
1996-11-15,2.0625
1996-11-18,2.125
1996-11-19,1.9375
1996-11-20,2.0
1996-11-21,1.90625
1996-11-22,1.921875
1996-11-25,2.0
1996-11-26,2.0
1996-11-27,1.9375
1996-11-29,1.96875
1996-12-02,1.90625
1996-12-03,1.9375
1996-12-04,2.0
1996-12-05,1.9375
1996-12-06,1.9375
1996-12-09,1.84375
1996-12-10,1.9375
1996-12-11,1.765625
1996-12-12,1.875
1996-12-13,1.75
1996-12-16,1.78125
1996-12-17,1.875
1996-12-18,1.875
1996-12-19,1.9375
1996-12-20,1.9375
1996-12-23,2.3125
1996-12-24,2.1875
1996-12-26,2.3125
1996-12-27,2.3125
1996-12-30,2.28125
1996-12-31,2.875
1997-01-02,2.5625
1997-01-03,2.53125
1997-01-06,2.5
1997-01-07,2.5
1997-01-08,2.5625
1997-01-09,2.5625
1997-01-10,2.5
1997-01-13,2.46875
1997-01-14,2.6875
1997-01-15,2.78125
1997-01-16,2.71875
1997-01-17,2.71875
1997-01-20,2.6875
1997-01-21,2.6875
1997-01-22,2.6875
1997-01-23,2.75
1997-01-24,2.53125
1997-01-27,2.5625
1997-01-28,2.5625
1997-01-29,2.6875
1997-01-30,2.75
