Date,UI
2011-10-14,17.5
2011-10-17,18.6
2011-10-18,19.0
2011-10-19,17.65
2011-10-20,17.879998999999998
2011-10-21,19.559998999999998
2011-10-24,20.23
2011-10-25,19.389999
2011-10-26,19.040001
2011-10-27,19.120001000000002
2011-10-28,20.389999
2011-10-31,20.99
2011-11-01,20.459999
2011-11-02,20.75
2011-11-03,20.17
2011-11-04,19.27
2011-11-07,18.860001
2011-11-08,18.709999
2011-11-09,18.719998999999998
2011-11-10,18.6
2011-11-11,19.459999
2011-11-14,19.709999
2011-11-15,19.85
2011-11-16,20.049999
2011-11-17,22.01
2011-11-18,22.360001
2011-11-21,20.469998999999998
2011-11-22,20.540001
2011-11-23,19.67
2011-11-25,19.360001
2011-11-28,19.370001000000002
2011-11-29,18.879998999999998
2011-11-30,19.76
2011-12-01,19.99
2011-12-02,20.25
2011-12-05,19.93
2011-12-06,19.5
2011-12-07,19.84
2011-12-08,20.110001
2011-12-09,20.139999
2011-12-12,19.860001
2011-12-13,20.82
2011-12-14,21.030001000000002
2011-12-15,20.549999
2011-12-16,20.9
2011-12-19,20.540001
2011-12-20,19.879998999999998
2011-12-21,19.360001
2011-12-22,19.209999
2011-12-23,19.26
2011-12-27,18.84
2011-12-28,18.43
2011-12-29,18.559998999999998
2011-12-30,18.23
2012-01-03,18.49
2012-01-04,18.25
2012-01-05,17.440001000000002
2012-01-06,18.299999
2012-01-09,19.32
2012-01-10,19.92
2012-01-11,21.17
2012-01-12,21.809998999999998
2012-01-13,22.389999
2012-01-17,21.639999
2012-01-18,21.139999
2012-01-19,20.030001000000002
2012-01-20,20.040001
2012-01-23,19.99
2012-01-24,19.959999
2012-01-25,20.139999
2012-01-26,21.0
2012-01-27,22.559998999999998
2012-01-30,24.42
2012-01-31,24.280001000000002
2012-02-01,24.1
2012-02-02,25.52
2012-02-03,25.0
2012-02-06,23.76
2012-02-07,23.25
2012-02-08,23.459999
2012-02-09,24.83
2012-02-10,24.91
2012-02-13,24.67
2012-02-14,24.299999
2012-02-15,23.280001000000002
2012-02-16,24.120001000000002
2012-02-17,25.01
2012-02-21,25.0
2012-02-22,25.35
2012-02-23,26.780001000000002
2012-02-24,27.34
2012-02-27,28.610001
2012-02-28,27.799999
2012-02-29,26.280001000000002
2012-03-01,25.02
2012-03-02,25.99
2012-03-05,25.18
2012-03-06,23.57
2012-03-07,24.629998999999998
2012-03-08,25.110001
2012-03-09,25.5
2012-03-12,26.190001000000002
2012-03-13,26.57
2012-03-14,27.0
2012-03-15,27.17
2012-03-16,26.92
2012-03-19,27.1
2012-03-20,27.040001
2012-03-21,28.73
2012-03-22,28.719998999999998
2012-03-23,30.379998999999998
2012-03-26,32.75
2012-03-27,32.099998
2012-03-28,30.950001
2012-03-29,31.15
2012-03-30,31.629998999999998
2012-04-02,32.330002
2012-04-03,32.950001
2012-04-04,31.01
2012-04-05,30.959999
2012-04-09,30.5
2012-04-10,31.24
2012-04-11,32.419998
2012-04-12,33.880001
2012-04-13,34.349998
2012-04-16,32.970001
2012-04-17,33.189999
2012-04-18,32.299999
2012-04-19,33.290001000000004
2012-04-20,32.139998999999996
2012-04-23,31.870001000000002
2012-04-24,32.189999
2012-04-25,31.93
2012-04-26,32.740002000000004
2012-04-27,33.75
2012-04-30,33.02
2012-05-01,35.0
2012-05-02,28.9
2012-05-03,28.780001000000002
2012-05-04,26.99
2012-05-07,24.91
2012-05-08,24.92
2012-05-09,26.040001
2012-05-10,24.74
2012-05-11,22.559998999999998
2012-05-14,22.389999
2012-05-15,22.309998999999998
2012-05-16,20.9
2012-05-17,20.530001000000002
2012-05-18,19.0
2012-05-21,20.52
2012-05-22,19.799999
2012-05-23,19.9
2012-05-24,20.450001
2012-05-25,20.26
2012-05-29,19.530001000000002
2012-05-30,17.040001
2012-05-31,18.65
2012-06-01,17.66
2012-06-04,16.68
2012-06-05,15.77
2012-06-06,15.9
2012-06-07,13.63
2012-06-08,13.48
2012-06-11,11.83
2012-06-12,12.94
2012-06-13,12.92
2012-06-14,13.51
2012-06-15,13.1
2012-06-18,12.99
2012-06-19,13.55
2012-06-20,13.66
2012-06-21,13.37
2012-06-22,13.67
2012-06-25,13.81
2012-06-26,13.57
2012-06-27,13.89
2012-06-28,14.06
2012-06-29,14.25
2012-07-02,13.6
2012-07-03,14.91
2012-07-05,14.1
2012-07-06,13.57
2012-07-09,14.14
2012-07-10,14.06
2012-07-11,13.43
2012-07-12,13.08
2012-07-13,13.64
2012-07-16,12.98
2012-07-17,12.41
2012-07-18,13.06
2012-07-19,12.43
2012-07-20,12.5
2012-07-23,12.25
2012-07-24,12.45
2012-07-25,12.77
2012-07-26,10.88
2012-07-27,12.82
2012-07-30,13.11
2012-07-31,14.14
2012-08-01,13.87
2012-08-02,12.21
2012-08-03,12.41
2012-08-06,12.51
2012-08-07,14.01
2012-08-08,14.1
2012-08-09,15.01
2012-08-10,8.71
2012-08-13,8.34
2012-08-14,7.88
2012-08-15,8.2
2012-08-16,8.23
2012-08-17,8.65
2012-08-20,9.19
2012-08-21,9.1
2012-08-22,8.88
2012-08-23,8.99
2012-08-24,10.57
2012-08-27,10.52
2012-08-28,11.43
2012-08-29,12.11
2012-08-30,11.9
2012-08-31,12.02
2012-09-04,12.0
2012-09-05,11.85
2012-09-06,11.99
2012-09-07,12.03
2012-09-10,13.0
2012-09-11,13.1
2012-09-12,13.19
2012-09-13,12.93
2012-09-14,12.8
2012-09-17,13.1
2012-09-18,12.44
2012-09-19,12.46
2012-09-20,11.97
2012-09-21,12.0
2012-09-24,12.0
2012-09-25,11.8
2012-09-26,11.88
2012-09-27,11.52
2012-09-28,11.9
2012-10-01,11.99
2012-10-02,12.22
2012-10-03,12.22
2012-10-04,12.64
2012-10-05,12.44
2012-10-08,12.41
2012-10-09,12.12
2012-10-10,12.3
2012-10-11,12.59
2012-10-12,12.58
2012-10-15,12.58
2012-10-16,12.77
2012-10-17,12.75
2012-10-18,12.34
2012-10-19,11.95
2012-10-22,11.95
2012-10-23,11.78
2012-10-24,12.18
2012-10-25,12.02
2012-10-26,11.97
2012-10-31,11.8
2012-11-01,12.16
2012-11-02,11.59
2012-11-05,11.41
2012-11-06,11.09
2012-11-07,10.27
2012-11-08,10.15
2012-11-09,11.21
2012-11-12,10.77
2012-11-13,10.76
2012-11-14,10.67
2012-11-15,10.88
2012-11-16,11.98
2012-11-19,11.73
2012-11-20,11.99
2012-11-21,12.11
2012-11-23,12.08
2012-11-26,12.03
2012-11-27,11.74
2012-11-28,12.1
2012-11-29,11.61
2012-11-30,11.75
2012-12-03,12.0
2012-12-04,12.15
2012-12-05,12.17
2012-12-06,11.93
2012-12-07,11.99
2012-12-10,12.0
2012-12-11,11.99
2012-12-12,11.91
2012-12-13,12.0
2012-12-14,11.96
2012-12-17,12.02
2012-12-18,12.7
2012-12-19,13.09
2012-12-20,12.32
2012-12-21,12.15
2012-12-24,12.25
2012-12-26,12.19
2012-12-27,12.48
2012-12-28,12.4
2012-12-31,12.14
2013-01-02,12.72
2013-01-03,12.88
2013-01-04,12.76
2013-01-07,12.36
2013-01-08,12.21
2013-01-09,12.03
2013-01-10,11.85
2013-01-11,12.06
2013-01-14,11.8
2013-01-15,11.86
2013-01-16,11.83
2013-01-17,11.9
2013-01-18,11.86
2013-01-22,11.84
2013-01-23,11.74
2013-01-24,11.68
2013-01-25,11.72
2013-01-28,11.96
2013-01-29,11.96
2013-01-30,12.49
2013-01-31,12.88
2013-02-01,13.95
2013-02-04,13.87
2013-02-05,13.83
2013-02-06,14.8
2013-02-07,14.87
2013-02-08,15.74
2013-02-11,15.4
2013-02-12,15.64
2013-02-13,15.47
2013-02-14,15.2
2013-02-15,14.55
2013-02-19,14.18
2013-02-20,13.91
2013-02-21,13.38
2013-02-22,13.57
2013-02-25,13.52
2013-02-26,13.51
2013-02-27,13.84
2013-02-28,13.77
2013-03-01,13.88
2013-03-04,13.79
2013-03-05,12.84
2013-03-06,13.04
2013-03-07,13.35
2013-03-08,13.39
2013-03-11,13.42
2013-03-12,13.43
2013-03-13,13.41
2013-03-14,13.41
2013-03-15,13.28
2013-03-18,13.13
2013-03-19,13.16
2013-03-20,13.37
2013-03-21,13.3
2013-03-22,13.45
2013-03-25,13.2
2013-03-26,13.7
2013-03-27,13.79
2013-03-28,13.72
2013-04-01,13.55
2013-04-02,13.73
2013-04-03,13.55
2013-04-04,13.03
2013-04-05,13.13
2013-04-08,13.25
2013-04-09,13.52
2013-04-10,14.55
2013-04-11,14.46
2013-04-12,14.9
2013-04-15,13.7
2013-04-16,14.54
2013-04-17,13.93
2013-04-18,14.08
2013-04-19,14.09
2013-04-22,14.2
2013-04-23,14.86
2013-04-24,14.64
2013-04-25,15.33
2013-04-26,16.120001000000002
2013-04-29,15.73
2013-04-30,15.45
2013-05-01,15.06
2013-05-02,16.049999
2013-05-03,16.43
2013-05-06,16.610001
2013-05-07,16.530001000000002
2013-05-08,16.360001
2013-05-09,16.110001
2013-05-10,19.110001
2013-05-13,19.860001
2013-05-14,20.459999
2013-05-15,20.540001
