Date,TDC
2007-10-01,27.98
2007-10-02,27.549999
2007-10-03,26.549999
2007-10-04,27.0
2007-10-05,27.15
2007-10-08,27.27
2007-10-09,27.35
2007-10-10,26.969998999999998
2007-10-11,26.82
2007-10-12,28.4
2007-10-15,29.08
2007-10-16,29.030001000000002
2007-10-17,28.84
2007-10-18,28.82
2007-10-19,27.530001000000002
2007-10-22,27.809998999999998
2007-10-23,27.889999
2007-10-24,28.26
2007-10-25,28.450001
2007-10-26,28.9
2007-10-29,27.83
2007-10-30,28.34
2007-10-31,28.530001000000002
2007-11-01,27.67
2007-11-02,27.940001000000002
2007-11-05,27.4
2007-11-06,27.25
2007-11-07,26.629998999999998
2007-11-08,26.219998999999998
2007-11-09,24.77
2007-11-12,24.85
2007-11-13,25.950001
2007-11-14,25.0
2007-11-15,24.41
2007-11-16,23.799999
2007-11-19,23.129998999999998
2007-11-20,24.120001000000002
2007-11-21,24.01
2007-11-23,24.84
2007-11-26,24.26
2007-11-27,24.59
2007-11-28,26.1
2007-11-29,26.5
2007-11-30,25.959999
2007-12-03,26.190001000000002
2007-12-04,26.450001
2007-12-05,26.780001000000002
2007-12-06,26.870001000000002
2007-12-07,26.52
2007-12-10,26.690001000000002
2007-12-11,25.540001
2007-12-12,26.16
2007-12-13,26.629998999999998
2007-12-14,27.120001000000002
2007-12-17,26.67
2007-12-18,26.83
2007-12-19,26.440001000000002
2007-12-20,26.65
2007-12-21,26.870001000000002
2007-12-24,27.41
2007-12-26,27.040001
2007-12-27,26.799999
2007-12-28,27.5
2007-12-31,27.41
2008-01-02,26.84
2008-01-03,26.889999
2008-01-04,26.620001000000002
2008-01-07,26.870001000000002
2008-01-08,26.639999
2008-01-09,26.99
2008-01-10,26.73
2008-01-11,25.75
2008-01-14,25.52
2008-01-15,25.110001
2008-01-16,25.67
2008-01-17,24.84
2008-01-18,24.17
2008-01-22,23.27
2008-01-23,22.48
2008-01-24,22.91
2008-01-25,23.02
2008-01-28,23.85
2008-01-29,23.459999
2008-01-30,23.09
2008-01-31,23.799999
2008-02-01,23.610001
2008-02-04,24.27
2008-02-05,23.57
2008-02-06,23.35
2008-02-07,23.25
2008-02-08,22.66
2008-02-11,22.6
2008-02-12,21.75
2008-02-13,23.18
2008-02-14,23.5
2008-02-15,23.719998999999998
2008-02-19,24.52
2008-02-20,24.950001
2008-02-21,24.57
2008-02-22,24.93
2008-02-25,25.120001000000002
2008-02-26,26.030001000000002
2008-02-27,26.49
2008-02-28,26.049999
2008-02-29,25.23
2008-03-03,25.98
2008-03-04,25.6
2008-03-05,26.530001000000002
2008-03-06,25.73
2008-03-07,24.940001000000002
2008-03-10,24.18
2008-03-11,24.780001000000002
2008-03-12,24.77
2008-03-13,24.530001000000002
2008-03-14,23.709999
2008-03-17,22.65
2008-03-18,23.73
2008-03-19,22.98
2008-03-20,23.469998999999998
2008-03-24,24.92
2008-03-25,24.25
2008-03-26,23.26
2008-03-27,22.51
2008-03-28,21.92
2008-03-31,22.059998999999998
2008-04-01,20.639999
2008-04-02,21.57
2008-04-03,21.98
2008-04-04,21.889999
2008-04-07,22.01
2008-04-08,22.23
2008-04-09,22.290001
2008-04-10,22.17
2008-04-11,21.52
2008-04-14,20.860001
2008-04-15,20.610001
2008-04-16,21.280001000000002
2008-04-17,21.6
2008-04-18,21.99
2008-04-21,21.799999
2008-04-22,21.280001000000002
2008-04-23,21.530001000000002
2008-04-24,21.620001000000002
2008-04-25,21.77
2008-04-28,22.24
2008-04-29,21.809998999999998
2008-04-30,21.290001
2008-05-01,21.82
