Date,GPI
1997-10-30,12.625
1997-10-31,13.0625
1997-11-03,13.9375
1997-11-04,13.375
1997-11-05,13.5
1997-11-06,13.4375
1997-11-07,13.0
1997-11-10,12.875
1997-11-11,12.1875
1997-11-12,11.9375
1997-11-13,11.0
1997-11-14,11.0
1997-11-17,11.0625
1997-11-18,10.3125
1997-11-19,9.625
1997-11-20,10.875
1997-11-21,10.875
1997-11-24,10.375
1997-11-25,10.25
1997-11-26,9.8125
1997-11-28,9.6875
1997-12-01,10.375
1997-12-02,10.625
1997-12-03,10.5
1997-12-04,10.375
1997-12-05,10.8125
1997-12-08,10.875
1997-12-09,10.75
1997-12-10,10.75
1997-12-11,10.75
1997-12-12,10.3125
1997-12-15,9.5
1997-12-16,9.8125
1997-12-17,9.25
1997-12-18,9.1875
1997-12-19,9.125
1997-12-22,9.0625
1997-12-23,8.625
1997-12-24,8.4375
1997-12-26,8.1875
1997-12-29,8.125
1997-12-30,8.75
1997-12-31,9.0625
1998-01-02,9.375
1998-01-05,9.9375
1998-01-06,10.25
1998-01-07,9.625
1998-01-08,9.5
1998-01-09,9.4375
1998-01-12,9.625
1998-01-13,9.25
1998-01-14,9.25
1998-01-15,9.375
1998-01-16,9.25
1998-01-20,9.125
1998-01-21,9.25
1998-01-22,9.0
1998-01-23,9.0
1998-01-26,9.0
1998-01-27,9.75
1998-01-28,9.6875
1998-01-29,9.5
1998-01-30,9.25
1998-02-02,9.5
1998-02-03,9.375
1998-02-04,9.0
1998-02-05,8.75
1998-02-06,9.0
1998-02-09,9.125
1998-02-10,9.9375
1998-02-11,9.75
1998-02-12,9.9375
1998-02-13,9.625
1998-02-17,9.75
1998-02-18,9.6875
1998-02-19,9.5
1998-02-20,9.4375
1998-02-23,9.1875
1998-02-24,9.5
1998-02-25,9.75
1998-02-26,9.9375
1998-02-27,10.0
1998-03-02,10.5
1998-03-03,10.125
1998-03-04,9.9375
1998-03-05,9.75
1998-03-06,9.5625
1998-03-09,9.5
1998-03-10,9.75
1998-03-11,9.75
1998-03-12,10.4375
1998-03-13,10.875
1998-03-16,10.6875
1998-03-17,10.5
1998-03-18,10.6875
1998-03-19,10.875
1998-03-20,11.375
1998-03-23,11.1875
1998-03-24,10.8125
1998-03-25,10.9375
1998-03-26,11.0
1998-03-27,10.8125
1998-03-30,10.875
1998-03-31,10.9375
1998-04-01,11.625
1998-04-02,12.5625
1998-04-03,12.9375
1998-04-06,12.8125
1998-04-07,12.25
1998-04-08,12.5
1998-04-09,12.4375
1998-04-13,12.5
1998-04-14,12.625
1998-04-15,12.6875
1998-04-16,12.75
1998-04-17,13.0
1998-04-20,14.25
1998-04-21,14.75
1998-04-22,14.8125
1998-04-23,14.8125
1998-04-24,14.75
1998-04-27,14.0
1998-04-28,14.3125
1998-04-29,14.0625
1998-04-30,15.0
1998-05-01,14.375
1998-05-04,14.4375
1998-05-05,14.375
1998-05-06,14.3125
1998-05-07,13.8125
1998-05-08,14.125
1998-05-11,15.5
1998-05-12,15.5
1998-05-13,15.4375
1998-05-14,15.9375
1998-05-15,16.1875
1998-05-18,15.75
1998-05-19,15.9375
1998-05-20,16.125
1998-05-21,16.0
1998-05-22,16.1875
1998-05-26,16.3125
1998-05-27,16.25
1998-05-28,16.375
1998-05-29,16.8125
1998-06-01,16.6875
1998-06-02,16.75
1998-06-03,16.5
1998-06-04,16.5625
1998-06-05,16.0
1998-06-08,16.4375
1998-06-09,16.5
1998-06-10,16.5
1998-06-11,16.5625
1998-06-12,17.0
1998-06-15,16.75
1998-06-16,16.875
1998-06-17,17.0
1998-06-18,16.9375
1998-06-19,17.8125
1998-06-22,18.0
1998-06-23,18.25
1998-06-24,18.0
1998-06-25,17.625
1998-06-26,17.0
1998-06-29,17.5
1998-06-30,16.0
1998-07-01,17.0625
1998-07-02,17.125
1998-07-06,18.0
1998-07-07,18.375
1998-07-08,18.375
1998-07-09,17.9375
1998-07-10,17.875
1998-07-13,17.875
1998-07-14,17.4375
1998-07-15,17.75
1998-07-16,17.6875
1998-07-17,17.5625
1998-07-20,17.6875
1998-07-21,18.0
1998-07-22,17.875
1998-07-23,17.4375
1998-07-24,17.0
1998-07-27,17.0
1998-07-28,16.5
1998-07-29,16.375
1998-07-30,15.75
1998-07-31,15.0
1998-08-03,14.25
1998-08-04,13.9375
1998-08-05,14.5625
1998-08-06,15.0
1998-08-07,14.5625
1998-08-10,15.0625
1998-08-11,14.25
1998-08-12,14.9375
1998-08-13,14.9375
1998-08-14,14.625
1998-08-17,15.125
1998-08-18,14.9375
1998-08-19,14.875
1998-08-20,14.9375
1998-08-21,14.125
1998-08-24,14.25
1998-08-25,14.5
1998-08-26,14.0
1998-08-27,14.0
1998-08-28,12.875
1998-08-31,11.875
1998-09-01,11.5
1998-09-02,11.625
1998-09-03,11.5
1998-09-04,11.6875
1998-09-08,11.875
1998-09-09,12.0
1998-09-10,11.9375
1998-09-11,12.125
1998-09-14,12.25
1998-09-15,12.0
1998-09-16,11.875
1998-09-17,11.5
1998-09-18,11.6875
1998-09-21,11.75
1998-09-22,12.0
1998-09-23,12.75
1998-09-24,13.75
1998-09-25,13.75
1998-09-28,13.75
1998-09-29,14.8125
1998-09-30,15.0
1998-10-01,14.0
1998-10-02,13.875
1998-10-05,14.125
1998-10-06,14.4375
1998-10-07,14.3125
1998-10-08,13.75
1998-10-09,13.3125
1998-10-12,13.4375
1998-10-13,13.5
1998-10-14,13.1875
1998-10-15,14.25
1998-10-16,14.0625
1998-10-19,14.0625
1998-10-20,15.0
1998-10-21,15.0
1998-10-22,15.75
1998-10-23,15.25
1998-10-26,16.1875
1998-10-27,16.625
1998-10-28,17.0625
1998-10-29,17.4375
1998-10-30,17.125
1998-11-02,16.875
1998-11-03,16.6875
1998-11-04,16.3125
1998-11-05,17.125
1998-11-06,17.25
1998-11-09,17.25
1998-11-10,18.0
1998-11-11,17.75
1998-11-12,17.125
1998-11-13,16.125
1998-11-16,16.0625
1998-11-17,16.1875
1998-11-18,16.0625
1998-11-19,16.25
1998-11-20,16.4375
1998-11-23,16.3125
1998-11-24,16.6875
