Date,INWK
2006-08-16,10.45
2006-08-17,10.48
2006-08-18,10.25
2006-08-21,10.25
2006-08-22,10.3
2006-08-23,10.1
2006-08-24,10.26
2006-08-25,10.3
2006-08-28,10.8
2006-08-29,11.58
2006-08-30,11.53
2006-08-31,11.7
2006-09-01,11.9
2006-09-05,12.0
2006-09-06,11.96
2006-09-07,11.95
2006-09-08,11.77
2006-09-11,11.83
2006-09-12,11.37
2006-09-13,11.97
2006-09-14,11.52
2006-09-15,11.9
2006-09-18,12.58
2006-09-19,11.94
2006-09-20,11.6
2006-09-21,11.51
2006-09-22,11.61
2006-09-25,11.98
2006-09-26,11.67
2006-09-27,11.95
2006-09-28,12.24
2006-09-29,11.75
2006-10-02,11.71
2006-10-03,11.68
2006-10-04,11.93
2006-10-05,12.26
2006-10-06,12.39
2006-10-09,13.39
2006-10-10,14.1
2006-10-11,14.6
2006-10-12,14.46
2006-10-13,13.95
2006-10-16,14.15
2006-10-17,14.1
2006-10-18,14.8
2006-10-19,15.02
2006-10-20,14.29
2006-10-23,14.47
2006-10-24,14.06
2006-10-25,14.16
2006-10-26,14.0
2006-10-27,14.0
2006-10-30,15.01
2006-10-31,14.95
2006-11-01,14.79
2006-11-02,14.76
2006-11-03,14.33
2006-11-06,15.48
2006-11-07,15.37
2006-11-08,14.19
2006-11-09,14.21
2006-11-10,13.8
2006-11-13,13.94
2006-11-14,14.57
2006-11-15,16.41
2006-11-16,16.68
2006-11-17,16.719998999999998
2006-11-20,16.82
2006-11-21,17.379998999999998
2006-11-22,17.51
2006-11-24,17.799999
2006-11-27,17.5
2006-11-28,16.65
2006-11-29,16.549999
2006-11-30,16.719998999999998
2006-12-01,16.83
2006-12-04,16.77
2006-12-05,16.440001000000002
2006-12-06,16.110001
2006-12-07,16.940001000000002
2006-12-08,17.4
2006-12-11,18.15
2006-12-12,17.559998999999998
2006-12-13,16.809998999999998
2006-12-14,16.52
2006-12-15,17.0
2006-12-18,16.91
2006-12-19,16.77
2006-12-20,17.120001000000002
2006-12-21,16.620001000000002
2006-12-22,16.33
2006-12-26,16.219998999999998
2006-12-27,16.790001
2006-12-28,16.4
2006-12-29,15.96
2007-01-03,15.98
2007-01-04,16.42
2007-01-05,16.0
