Date,HURN
2004-10-13,18.9
2004-10-14,19.6
2004-10-15,19.1
2004-10-18,19.25
2004-10-19,19.200001
2004-10-20,19.209999
2004-10-21,19.42
2004-10-22,19.299999
2004-10-25,19.35
2004-10-26,20.08
2004-10-27,21.0
2004-10-28,20.129998999999998
2004-10-29,19.5
2004-11-01,19.549999
2004-11-02,19.49
2004-11-03,19.59
2004-11-04,19.799999
2004-11-05,20.0
2004-11-08,19.92
2004-11-09,19.0
2004-11-10,19.5
2004-11-11,19.9
2004-11-12,19.25
2004-11-15,19.120001000000002
2004-11-16,19.84
2004-11-17,20.1
2004-11-18,20.450001
2004-11-19,21.02
2004-11-22,20.040001
2004-11-23,19.82
2004-11-24,20.059998999999998
2004-11-26,19.84
2004-11-29,20.42
2004-11-30,21.15
2004-12-01,22.450001
2004-12-02,22.709999
2004-12-03,23.950001
2004-12-06,23.68
2004-12-07,21.52
2004-12-08,21.75
2004-12-09,21.870001000000002
2004-12-10,21.75
2004-12-13,21.6
2004-12-14,21.809998999999998
2004-12-15,22.0
2004-12-16,22.5
2004-12-17,21.879998999999998
2004-12-20,22.17
2004-12-21,21.77
2004-12-22,21.0
2004-12-23,21.16
2004-12-27,21.469998999999998
2004-12-28,21.879998999999998
2004-12-29,21.33
2004-12-30,21.059998999999998
2004-12-31,22.200001
2005-01-03,21.299999
2005-01-04,21.41
2005-01-05,21.65
2005-01-06,21.35
2005-01-07,21.43
2005-01-10,21.41
2005-01-11,21.33
2005-01-12,22.549999
2005-01-13,21.889999
2005-01-14,23.17
2005-01-18,24.1
2005-01-19,23.870001000000002
2005-01-20,23.75
2005-01-21,24.200001
2005-01-24,24.0
2005-01-25,24.5
2005-01-26,25.559998999999998
2005-01-27,24.870001000000002
2005-01-28,24.25
2005-01-31,23.59
2005-02-01,23.85
2005-02-02,23.59
2005-02-03,23.469998999999998
2005-02-04,23.58
2005-02-07,23.5
2005-02-08,23.120001000000002
2005-02-09,22.76
2005-02-10,23.219998999999998
2005-02-11,24.59
2005-02-14,24.4
2005-02-15,23.440001000000002
2005-02-16,24.5
2005-02-17,23.91
2005-02-18,22.26
2005-02-22,21.860001
2005-02-23,23.139999
2005-02-24,23.52
2005-02-25,23.379998999999998
2005-02-28,22.4
2005-03-01,23.299999
2005-03-02,22.76
2005-03-03,23.09
2005-03-04,23.59
2005-03-07,22.530001000000002
2005-03-08,21.17
2005-03-09,21.75
2005-03-10,21.639999
2005-03-11,21.85
2005-03-14,22.18
2005-03-15,22.200001
2005-03-16,21.85
2005-03-17,21.83
2005-03-18,21.030001000000002
2005-03-21,21.049999
2005-03-22,21.0
2005-03-23,21.18
2005-03-24,21.059998999999998
2005-03-28,20.540001
2005-03-29,19.9
2005-03-30,19.76
2005-03-31,20.709999
2005-04-01,20.32
2005-04-04,20.389999
2005-04-05,20.889999
2005-04-06,22.040001
2005-04-07,22.299999
2005-04-08,22.049999
2005-04-11,22.59
2005-04-12,23.0
2005-04-13,22.219998999999998
2005-04-14,21.74
2005-04-15,21.43
2005-04-18,22.549999
2005-04-19,22.110001
2005-04-20,21.58
2005-04-21,21.23
2005-04-22,19.65
2005-04-25,20.5
2005-04-26,19.969998999999998
2005-04-27,19.799999
2005-04-28,20.700001
2005-04-29,21.040001
2005-05-02,20.9
2005-05-03,19.93
2005-05-04,22.299999
2005-05-05,22.040001
2005-05-06,21.889999
2005-05-09,21.92
2005-05-10,21.809998999999998
2005-05-11,21.440001000000002
2005-05-12,20.27
2005-05-13,19.459999
2005-05-16,20.52
2005-05-17,20.34
2005-05-18,21.4
2005-05-19,20.459999
2005-05-20,20.290001
2005-05-23,20.18
2005-05-24,20.200001
2005-05-25,20.59
2005-05-26,21.379998999999998
2005-05-27,22.6
2005-05-31,22.969998999999998
2005-06-01,22.959999
2005-06-02,23.5
2005-06-03,23.25
2005-06-06,23.719998999999998
2005-06-07,23.42
2005-06-08,22.0
2005-06-09,21.860001
2005-06-10,21.620001000000002
2005-06-13,21.59
2005-06-14,22.059998999999998
2005-06-15,22.34
