Date,BOKF
1991-09-05,11.072826
1991-09-06,13.287392
1991-09-09,13.287392
1991-09-10,13.287392
1991-09-11,13.287392
1991-09-12,13.287392
1991-09-13,13.287392
1991-09-16,13.287392
1991-09-17,13.287392
1991-09-18,13.287392
1991-09-19,13.287392
1991-09-20,13.287392
1991-09-23,13.287392
1991-09-24,13.287392
1991-09-25,13.287392
1991-09-26,13.287392
1991-09-27,13.287392
1991-09-30,8.858261
1991-10-01,11.072826
1991-10-02,11.072826
1991-10-03,11.072826
1991-10-04,11.072826
1991-10-07,11.072826
1991-10-08,11.072826
1991-10-09,11.072826
1991-10-10,11.072826
1991-10-11,11.072826
1991-10-14,11.072826
1991-10-15,11.072826
1991-10-16,15.501957
1991-10-17,15.501957
1991-10-18,15.501957
1991-10-21,15.501957
1991-10-22,15.501957
1991-10-23,15.501957
1991-10-24,15.501957
1991-10-25,13.287392
1991-10-28,13.287392
1991-10-29,3.321848
1991-10-30,6.643696
1991-10-31,6.643696
1991-11-01,6.643696
1991-11-04,6.643696
1991-11-05,5.536413
1991-11-06,4.429131
1991-11-07,4.429131
1991-11-08,4.429131
1991-11-11,4.429131
1991-11-12,2.2145650000000003
1991-11-13,3.321848
1991-11-14,4.429131
1991-11-15,4.429131
1991-11-18,4.429131
1991-11-19,4.429131
1991-11-20,4.429131
1991-11-21,4.429131
1991-11-22,4.429131
1991-11-25,4.429131
1991-11-26,4.429131
1991-11-27,4.429131
1991-11-29,4.429131
1991-12-02,4.429131
1991-12-03,4.429131
1991-12-04,4.429131
1991-12-05,4.429131
1991-12-06,4.429131
1991-12-09,4.429131
1991-12-10,4.429131
1991-12-11,4.429131
1991-12-12,4.429131
1991-12-13,3.321848
1991-12-16,3.321848
1991-12-17,3.13361
1991-12-18,3.13361
1991-12-19,2.585505
1991-12-20,2.7515970000000003
1991-12-23,2.834644
1991-12-24,3.006272
1991-12-26,3.006272
1991-12-27,3.421503
1991-12-30,4.340548
1991-12-31,4.340548
1992-01-02,4.174456
1992-01-03,3.006272
1992-01-06,3.172365
1992-01-07,3.255411
1992-01-08,3.338457
1992-01-09,3.006272
1992-01-10,3.0893189999999997
1992-01-13,3.0893189999999997
1992-01-14,3.172365
1992-01-15,3.172365
1992-01-16,3.172365
1992-01-17,3.172365
1992-01-20,3.0893189999999997
1992-01-21,3.0893189999999997
1992-01-22,2.668551
1992-01-23,2.668551
1992-01-24,2.668551
1992-01-27,2.668551
1992-01-28,2.668551
1992-01-29,3.172365
1992-01-30,3.0893189999999997
1992-01-31,3.0893189999999997
1992-02-03,3.0893189999999997
1992-02-04,3.0893189999999997
