Date,PEP
1972-06-01,1.601852
1972-06-02,1.597222
1972-06-05,1.574074
1972-06-06,1.560185
1972-06-07,1.550926
1972-06-08,1.550926
1972-06-09,1.553241
1972-06-12,1.548611
1972-06-13,1.56713
1972-06-14,1.583333
1972-06-15,1.578704
1972-06-16,1.576389
1972-06-19,1.571759
1972-06-20,1.571759
1972-06-21,1.574074
1972-06-22,1.583333
1972-06-23,1.592593
1972-06-26,1.578704
1972-06-27,1.569444
1972-06-28,1.56713
1972-06-29,1.56713
1972-06-30,1.553241
1972-07-03,1.550926
1972-07-05,1.553241
1972-07-06,1.569444
1972-07-07,1.546296
1972-07-10,1.546296
1972-07-11,1.55787
1972-07-12,1.560185
1972-07-13,1.569444
1972-07-14,1.625
1972-07-17,1.615741
1972-07-18,1.597222
1972-07-19,1.578704
1972-07-20,1.564815
1972-07-21,1.569444
1972-07-24,1.571759
1972-07-25,1.576389
1972-07-26,1.587963
1972-07-27,1.638889
1972-07-28,1.62037
1972-07-31,1.618056
1972-08-01,1.634259
1972-08-02,1.648148
1972-08-03,1.62963
1972-08-04,1.62963
1972-08-07,1.627315
1972-08-08,1.618056
1972-08-09,1.62037
1972-08-10,1.62037
1972-08-11,1.622685
1972-08-14,1.631944
1972-08-15,1.627315
1972-08-16,1.622685
1972-08-17,1.625
1972-08-18,1.627315
1972-08-21,1.634259
1972-08-22,1.634259
1972-08-23,1.62963
1972-08-24,1.615741
1972-08-25,1.615741
1972-08-28,1.608796
1972-08-29,1.622685
1972-08-30,1.611111
1972-08-31,1.597222
1972-09-01,1.608796
1972-09-05,1.592593
1972-09-06,1.590278
1972-09-07,1.581019
1972-09-08,1.571759
1972-09-11,1.571759
1972-09-12,1.56713
1972-09-13,1.564815
1972-09-14,1.56713
1972-09-15,1.537037
1972-09-18,1.523148
1972-09-19,1.502315
1972-09-20,1.497685
1972-09-21,1.5
1972-09-22,1.474537
1972-09-25,1.444444
1972-09-26,1.458333
1972-09-27,1.523148
1972-09-28,1.532407
1972-09-29,1.543981
