Date,BER
2011-10-03,0.9564299999999999
2011-10-04,0.66
2011-10-05,0.92884
2011-10-06,0.97482
2011-10-07,0.90125
2011-10-10,0.91045
2011-10-11,0.91045
2011-10-12,0.89205
2011-10-13,0.99
2011-10-14,0.87366
2011-10-17,0.81848
2011-10-18,0.80929
2011-10-19,0.8368700000000001
2011-10-20,0.80929
2011-10-21,0.8368700000000001
2011-10-24,0.8460700000000001
2011-10-25,0.8552700000000001
2011-10-26,0.86446
2011-10-27,0.87366
2011-10-28,0.45
2011-10-31,0.86446
2011-11-01,0.39
2011-11-02,0.8368700000000001
2011-11-03,1.06679
2011-11-04,1.37027
2011-11-07,1.3794600000000001
2011-11-08,1.18634
2011-11-09,1.12196
2011-11-10,1.11277
2011-11-11,
2011-11-14,1.09437
2011-11-15,1.04839
2011-11-16,1.1035700000000002
2011-11-17,1.03
2011-11-18,1.03
2011-11-21,0.91964
2011-11-22,0.91964
2011-11-23,0.93804
2011-11-25,0.3
2011-11-28,0.89205
2011-11-29,0.80929
2011-11-30,0.8368700000000001
2011-12-01,0.8368700000000001
2011-12-02,0.8368700000000001
2011-12-05,0.89205
2011-12-06,0.81848
2011-12-07,0.8460700000000001
2011-12-08,
2011-12-09,0.80929
2011-12-12,0.80929
2011-12-13,0.8460700000000001
2011-12-14,0.8460700000000001
2011-12-15,0.8460700000000001
2011-12-16,0.8460700000000001
2011-12-19,0.82768
2011-12-20,0.79089
2011-12-21,0.81848
2011-12-22,0.81848
2011-12-23,0.7817
2011-12-27,0.7541100000000001
2011-12-28,0.7633
2011-12-29,0.7541100000000001
2011-12-30,0.7541100000000001
2012-01-03,0.7725
2012-01-04,0.7725
2012-01-05,0.81848
2012-01-06,0.81848
2012-01-09,0.81848
2012-01-10,0.80009
2012-01-11,0.80009
2012-01-12,0.79089
2012-01-13,0.7541100000000001
2012-01-17,0.3
2012-01-18,0.7265199999999999
2012-01-19,0.7633
2012-01-20,0.80929
2012-01-23,0.7449100000000001
2012-01-24,0.79089
2012-01-25,0.7725
2012-01-26,0.27
2012-01-27,0.7633
2012-01-30,0.91964
2012-01-31,0.3
2012-02-01,0.8368700000000001
2012-02-02,0.8460700000000001
2012-02-03,0.8828600000000001
2012-02-06,0.8460700000000001
2012-02-07,0.82768
2012-02-08,0.8828600000000001
2012-02-09,0.8828600000000001
2012-02-10,0.9564299999999999
2012-02-13,0.3
2012-02-14,0.8368700000000001
2012-02-15,0.7817
2012-02-16,0.7817
2012-02-17,0.7817
2012-02-21,0.79089
2012-02-22,0.7817
2012-02-23,0.80009
2012-02-24,0.7449100000000001
2012-02-27,0.24
2012-02-28,0.7541100000000001
2012-02-29,0.24
2012-03-01,0.7725
2012-03-02,0.7449100000000001
2012-03-05,0.7357100000000001
2012-03-06,0.7449100000000001
2012-03-07,0.7357100000000001
2012-03-08,0.71732
2012-03-09,0.7817
2012-03-12,0.7449100000000001
2012-03-13,0.7449100000000001
2012-03-14,0.7449100000000001
2012-03-15,0.27
2012-03-16,0.7449100000000001
2012-03-19,0.7541100000000001
2012-03-20,0.7449100000000001
2012-03-21,0.7449100000000001
2012-03-22,0.80009
2012-03-23,0.7633
2012-03-26,0.27
2012-03-27,0.79089
2012-03-28,0.80009
2012-03-29,0.80009
2012-03-30,0.80009
2012-04-02,0.7449100000000001
2012-04-03,0.7541100000000001
2012-04-04,0.7357100000000001
2012-04-05,0.7541100000000001
2012-04-09,0.7541100000000001
2012-04-10,0.7449100000000001
2012-04-11,0.7449100000000001
2012-04-12,0.7357100000000001
2012-04-13,0.7357100000000001
2012-04-16,0.7357100000000001
2012-04-17,0.7449100000000001
2012-04-18,0.7357100000000001
2012-04-19,0.7449100000000001
2012-04-20,0.71732
2012-04-23,0.6897300000000001
2012-04-24,0.6897300000000001
2012-04-25,0.71732
2012-04-26,0.7265199999999999
2012-04-27,0.7357100000000001
2012-04-30,0.7265199999999999
2012-05-01,0.7357100000000001
2012-05-02,0.7265199999999999
2012-05-03,0.6897300000000001
2012-05-04,0.6805399999999999
2012-05-07,0.71732
2012-05-08,0.70812
2012-05-09,0.70812
2012-05-10,0.70812
2012-05-11,0.71732
2012-05-14,0.66214
2012-05-15,0.6805399999999999
2012-05-16,0.64375
2012-05-17,0.60696
2012-05-18,0.61616
2012-05-21,0.63455
2012-05-22,0.63455
2012-05-23,0.64375
2012-05-24,0.6805399999999999
2012-05-25,0.6805399999999999
2012-05-29,0.65295
2012-05-30,0.61616
2012-05-31,0.61616
2012-06-01,0.60696
2012-06-04,0.27
2012-06-05,0.5885699999999999
2012-06-06,0.5793699999999999
2012-06-07,0.5793699999999999
2012-06-08,0.59777
2012-06-11,0.59777
2012-06-12,0.64375
2012-06-13,0.62536
2012-06-14,0.21
2012-06-15,0.61616
2012-06-18,0.60696
2012-06-19,0.60696
2012-06-20,0.59777
2012-06-21,0.60696
2012-06-22,0.62536
2012-06-25,0.59777
2012-06-26,0.62536
2012-06-27,0.59777
2012-06-28,0.6805399999999999
2012-06-29,0.7725
2012-07-02,0.81848
2012-07-03,0.82768
2012-07-05,0.91045
2012-07-06,0.89205
2012-07-09,0.79089
2012-07-10,0.8368700000000001
2012-07-11,0.64375
2012-07-12,0.69893
2012-07-13,0.79089
2012-07-16,0.7449100000000001
2012-07-17,0.7357100000000001
2012-07-18,0.6713399999999999
2012-07-19,0.62536
2012-07-20,0.65295
2012-07-23,0.62536
2012-07-24,0.62536
2012-07-25,0.09
2012-07-26,0.63455
2012-07-27,0.62536
2012-07-30,0.06
2012-07-31,0.60696
2012-08-01,0.60696
2012-08-02,0.63455
2012-08-03,0.64375
2012-08-06,0.64375
2012-08-07,0.64375
2012-08-08,0.64375
2012-08-09,0.6713399999999999
2012-08-10,0.65295
2012-08-13,0.61616
2012-08-14,0.60696
2012-08-15,0.60696
2012-08-16,0.59777
2012-08-17,0.5885699999999999
2012-08-20,0.5885699999999999
2012-08-21,0.61616
2012-08-22,0.61616
2012-08-23,0.61616
2012-08-24,0.57018
2012-08-27,0.64375
2012-08-28,0.61616
2012-08-29,0.57018
2012-08-30,0.5242
2012-08-31,0.54259
2012-09-04,0.56098
2012-09-05,0.55179
2012-09-06,0.59777
2012-09-07,0.62536
2012-09-10,0.62536
2012-09-11,0.18
2012-09-12,0.57018
2012-09-13,0.55179
2012-09-14,0.62536
2012-09-17,0.60696
2012-09-18,0.59777
2012-09-19,0.59777
2012-09-20,0.59777
2012-09-21,0.70812
2012-09-24,0.6897300000000001
2012-09-25,0.65295
2012-09-26,0.65295
2012-09-27,0.15
2012-09-28,0.6713399999999999
2012-10-01,0.64375
2012-10-02,0.66214
2012-10-03,0.65295
2012-10-04,0.6713399999999999
2012-10-05,0.70812
2012-10-08,0.6897300000000001
2012-10-09,0.12
2012-10-10,0.6897300000000001
2012-10-11,0.12
2012-10-12,0.7449100000000001
2012-10-15,0.15
2012-10-16,0.7449100000000001
2012-10-17,0.12
2012-10-18,0.09
2012-10-19,0.71732
2012-10-22,0.7357100000000001
2012-10-23,0.7449100000000001
2012-10-24,0.7357100000000001
2012-10-25,0.7357100000000001
2012-10-26,0.71732
2012-10-31,0.7357100000000001
2012-11-01,0.7357100000000001
2012-11-02,0.7265199999999999
2012-11-05,0.7265199999999999
2012-11-06,0.7357100000000001
2012-11-07,0.7357100000000001
2012-11-08,0.7357100000000001
2012-11-09,0.69893
2012-11-12,0.7357100000000001
2012-11-13,0.7357100000000001
2012-11-14,0.7357100000000001
2012-11-15,0.7357100000000001
2012-11-16,0.7357100000000001
2012-11-19,0.7357100000000001
2012-11-20,0.7357100000000001
2012-11-21,0.6805399999999999
2012-11-23,0.66214
2012-11-26,0.64375
2012-11-27,0.64375
2012-11-28,0.64375
2012-11-29,0.62536
2012-11-30,0.62536
2012-12-03,0.61616
2012-12-04,0.60696
2012-12-05,0.61616
2012-12-06,0.57018
2012-12-07,0.57018
2012-12-10,0.63455
2012-12-11,0.63455
2012-12-12,0.59777
2012-12-13,0.12
2012-12-14,0.59777
2012-12-17,0.59777
2012-12-18,0.5885699999999999
2012-12-19,0.5793699999999999
2012-12-20,0.57018
2012-12-21,0.57018
2012-12-24,0.57018
2012-12-26,0.57018
2012-12-27,0.55179
2012-12-28,0.57018
2012-12-31,0.57018
2013-01-02,0.60696
2013-01-03,0.60696
2013-01-04,0.5885699999999999
2013-01-07,0.5885699999999999
2013-01-08,0.57018
2013-01-09,0.56098
2013-01-10,0.56098
2013-01-11,0.5793699999999999
2013-01-14,0.55179
2013-01-15,0.09
2013-01-16,0.57018
2013-01-17,0.54259
2013-01-18,0.54259
2013-01-22,0.06
2013-01-23,0.54259
2013-01-24,0.54259
2013-01-25,0.5885699999999999
2013-01-28,0.5058
2013-01-29,0.5058
2013-01-30,0.48741
2013-01-31,
2013-02-01,0.5058
2013-02-04,0.5058
2013-02-05,0.5242
2013-02-06,0.06
2013-02-07,0.5242
2013-02-08,0.5242
2013-02-11,0.5242
2013-02-12,0.5242
2013-02-13,0.5058
2013-02-14,0.5058
2013-02-15,0.5058
2013-02-19,0.5058
2013-02-20,0.5058
2013-02-21,0.48741
2013-02-22,0.47821
2013-02-25,0.5058
2013-02-26,0.47821
2013-02-27,0.47821
2013-02-28,0.47821
2013-03-01,0.48741
2013-03-04,0.49661000000000005
2013-03-05,0.49661000000000005
2013-03-06,0.46902
2013-03-07,0.46902
2013-03-08,0.49661000000000005
2013-03-11,0.46902
2013-03-12,0.49661000000000005
2013-03-13,0.49661000000000005
2013-03-14,0.49661000000000005
2013-03-15,0.49661000000000005
2013-03-18,0.49661000000000005
2013-03-19,0.49661000000000005
2013-03-20,0.49661000000000005
2013-03-21,0.06
2013-03-22,0.49661000000000005
2013-03-25,0.06
2013-03-26,0.06
2013-03-27,0.49661000000000005
2013-03-28,0.045
2013-04-01,0.49661000000000005
2013-04-02,0.045
2013-04-03,0.045
2013-04-04,0.035
2013-04-05,0.035
2013-04-08,0.035
2013-04-09,0.025
2013-04-10,0.025
2013-04-11,0.025
2013-04-12,0.025
2013-04-15,0.025
2013-04-16,0.025
2013-04-17,0.03
2013-04-18,0.03
2013-04-19,0.49661000000000005
2013-04-22,0.03
2013-04-23,0.49661000000000005
2013-04-24,0.03
2013-04-25,0.03
2013-04-26,0.03
2013-04-29,0.03
2013-04-30,0.49661000000000005
2013-05-01,0.03
2013-05-02,0.49661000000000005
2013-05-03,0.49661000000000005
2013-05-06,0.49661000000000005
2013-05-07,0.49661000000000005
2013-05-08,0.49661000000000005
2013-05-09,0.49661000000000005
2013-05-10,0.49661000000000005
2013-05-13,0.03
2013-05-14,0.03
2013-05-15,0.03
2013-05-16,0.03
2013-05-17,0.49661000000000005
2013-05-20,0.03
2013-05-21,0.03
2013-05-22,0.03
2013-05-23,0.03
2013-05-24,0.03
2013-05-28,0.03
2013-05-29,0.03
2013-05-30,0.03
2013-05-31,0.03
2013-06-03,0.02
2013-06-04,0.025
2013-06-05,0.035
2013-06-06,0.49661000000000005
2013-06-07,0.035
2013-06-10,0.035
2013-06-11,0.49661000000000005
2013-06-12,0.035
2013-06-13,0.035
2013-06-14,0.035
2013-06-17,0.035
2013-06-18,0.035
2013-06-19,0.49661000000000005
2013-06-20,0.045
2013-06-21,0.06
2013-06-24,0.06
2013-06-25,0.055
2013-06-26,0.49661000000000005
2013-06-27,0.055
2013-06-28,0.49661000000000005
2013-07-01,0.055
2013-07-02,0.49661000000000005
2013-07-03,0.055
2013-07-05,0.055
2013-07-08,0.055
2013-07-09,0.055
2013-07-10,0.055
2013-07-11,0.06
2013-07-12,0.06
2013-07-15,0.06
2013-07-16,0.49661000000000005
2013-07-17,0.06
2013-07-18,0.06
2013-07-19,0.06
2013-07-22,0.06
2013-07-23,0.06
2013-07-24,0.49661000000000005
2013-07-25,0.06
2013-07-26,0.06
2013-07-29,0.06
2013-07-30,0.07
2013-07-31,0.49661000000000005
2013-08-01,0.07
2013-08-02,0.075
2013-08-05,0.075
2013-08-06,0.075
2013-08-07,0.1
2013-08-08,0.17
2013-08-09,0.255
2013-08-12,0.25
2013-08-13,0.285
2013-08-14,0.27
2013-08-15,0.26
2013-08-16,0.25
2013-08-19,0.22
2013-08-20,0.22
2013-08-21,0.22
2013-08-22,0.165
2013-08-23,0.165
2013-08-26,0.49661000000000005
2013-08-27,0.49661000000000005
2013-08-28,0.21
2013-08-29,0.21
2013-08-30,0.295
2013-09-03,0.235
2013-09-04,0.49661000000000005
2013-09-05,0.22
2013-09-06,0.215
2013-09-09,0.205
2013-09-10,0.205
2013-09-11,0.2
2013-09-12,0.49661000000000005
2013-09-13,0.2
2013-09-16,0.2
2013-09-17,0.2
2013-09-18,0.2
2013-09-19,0.2
2013-09-20,0.2
2013-09-23,0.2
2013-09-24,0.2
2013-09-25,0.2
2013-09-26,0.2
2013-09-27,0.2
2013-09-30,0.2
2013-10-01,0.205
2013-10-02,0.205
2013-10-03,0.225
2013-10-04,0.22
2013-10-07,0.22
2013-10-08,0.22
2013-10-09,0.22
2013-10-10,0.22
2013-10-11,0.22
2013-10-14,0.22
2013-10-15,0.49661000000000005
2013-10-16,0.22
2013-10-17,0.22
2013-10-18,0.49661000000000005
2013-10-21,0.22
2013-10-22,0.22
2013-10-23,0.22
2013-10-24,0.22
2013-10-25,0.22
2013-10-28,0.22
2013-10-29,0.22
2013-10-30,0.22
2013-10-31,0.22
2013-11-01,0.49661000000000005
2013-11-04,0.265
2013-11-05,0.49661000000000005
2013-11-06,0.37
2013-11-07,0.37
2013-11-08,0.37
2013-11-11,0.49661000000000005
2013-11-12,0.49661000000000005
2013-11-13,0.4
2013-11-14,0.425
2013-11-15,0.445
2013-11-18,0.49661000000000005
2013-11-19,0.425
2013-11-20,0.445
2013-11-21,0.4
2013-11-22,0.4
2013-11-25,0.4
2013-11-26,0.49661000000000005
2013-11-27,0.49661000000000005
2013-11-29,0.35
2013-12-02,0.35
2013-12-03,0.49661000000000005
2013-12-04,0.35
2013-12-05,0.35
2013-12-06,0.39
2013-12-09,0.39
2013-12-10,0.39
2013-12-11,0.3
2013-12-12,0.3
2013-12-13,0.3
2013-12-16,0.3
2013-12-17,0.49661000000000005
2013-12-18,0.49661000000000005
2013-12-19,0.31
2013-12-20,0.325
2013-12-23,0.235
2013-12-24,0.3
2013-12-26,0.3
2013-12-27,0.3
2013-12-30,0.49661000000000005
2013-12-31,0.37
2014-01-02,0.37
2014-01-03,0.37
2014-01-06,0.37
2014-01-07,0.37
2014-01-08,0.37
2014-01-09,0.3
2014-01-10,0.49661000000000005
2014-01-13,0.3
2014-01-14,0.3
2014-01-15,0.3
2014-01-16,0.3
2014-01-17,0.3
2014-01-21,0.3
2014-01-22,0.3
2014-01-23,0.49661000000000005
2014-01-24,0.325
2014-01-27,0.49661000000000005
2014-01-28,0.49661000000000005
2014-01-29,0.49661000000000005
2014-01-30,0.3
2014-01-31,0.3
2014-02-03,0.25
2014-02-04,0.2
2014-02-05,0.145
2014-02-06,0.145
2014-02-07,0.145
2014-02-10,0.2
2014-02-11,0.49661000000000005
2014-02-12,0.2
2014-02-13,0.23
2014-02-14,0.23
2014-02-18,0.23
2014-02-19,0.23
2014-02-20,0.23
2014-02-21,0.205
2014-02-24,0.2
2014-02-25,0.49661000000000005
2014-02-26,0.2
2014-02-27,0.2
2014-02-28,0.2
2014-03-03,0.2
2014-03-04,0.34026999999999996
2014-03-05,0.15
2014-03-06,0.49661000000000005
2014-03-07,0.15
2014-03-10,0.15
2014-03-11,0.15
2014-03-12,0.19
2014-03-13,0.19
2014-03-14,0.19
2014-03-17,0.16
2014-03-18,0.16
2014-03-19,0.125
2014-03-20,0.1
2014-03-21,0.105
2014-03-24,0.105
2014-03-25,0.105
2014-03-26,0.115
2014-03-27,0.49661000000000005
2014-03-28,0.15
2014-03-31,0.15
2014-04-01,0.15
2014-04-02,0.13
2014-04-03,0.13
2014-04-04,0.13
2014-04-07,0.15
2014-04-08,0.2
2014-04-09,0.2
2014-04-10,0.22
2014-04-11,0.22
2014-04-14,0.32187
2014-04-15,0.22
2014-04-16,0.22
2014-04-17,0.2
2014-04-21,0.2
2014-04-22,0.21
2014-04-23,0.21
2014-04-24,0.32187
2014-04-25,0.21
2014-04-28,0.2
2014-04-29,0.31268
2014-04-30,0.31268
2014-05-01,0.31268
2014-05-02,0.15
2014-05-05,0.15
2014-05-06,0.31268
2014-05-07,0.31268
2014-05-08,0.15
2014-05-09,0.30348
2014-05-12,0.2
2014-05-13,0.25
2014-05-14,0.31268
2014-05-15,0.31268
2014-05-16,0.3
2014-05-19,0.31268
2014-05-20,0.31268
2014-05-21,0.29429
2014-05-22,0.2667
2014-05-23,0.29429
2014-05-27,0.34026999999999996
2014-05-28,0.34026999999999996
2014-05-29,0.34026999999999996
2014-05-30,0.34026999999999996
2014-06-02,0.32187
2014-06-03,0.32187
2014-06-04,0.32187
2014-06-05,0.32187
2014-06-06,0.32187
2014-06-09,0.33107
2014-06-10,0.33107
2014-06-11,0.33107
2014-06-12,0.33107
2014-06-13,0.33107
2014-06-16,0.375
2014-06-17,0.405
2014-06-18,0.39
2014-06-19,0.365
2014-06-20,0.32187
2014-06-23,0.385
2014-06-24,0.32187
2014-06-25,0.33
2014-06-26,0.33
2014-06-27,0.33
2014-06-30,0.33107
2014-07-01,0.255
2014-07-02,0.31
2014-07-03,0.33107
2014-07-07,0.32
2014-07-08,0.34
2014-07-09,0.34
2014-07-10,0.33107
2014-07-11,0.34
2014-07-14,0.33107
2014-07-15,0.34
2014-07-16,0.33107
2014-07-17,0.31
2014-07-18,0.32187
2014-07-21,0.30348
2014-07-22,0.33
2014-07-23,0.3
2014-07-24,0.32187
2014-07-25,0.32187
2014-07-28,0.38
2014-07-29,0.32187
2014-07-30,0.32187
2014-07-31,0.35
2014-08-01,0.32187
2014-08-04,0.31268
2014-08-05,0.31268
2014-08-06,0.31268
2014-08-07,0.35
2014-08-08,0.32187
2014-08-11,0.35
2014-08-12,0.35
2014-08-13,0.32187
2014-08-14,0.32187
2014-08-15,0.35
2014-08-18,0.32187
2014-08-19,0.32187
2014-08-20,0.35
2014-08-21,0.35
2014-08-22,0.32187
2014-08-25,0.32187
2014-08-26,0.32187
2014-08-27,0.32187
2014-08-28,0.32187
2014-08-29,0.30348
2014-09-02,0.2667
2014-09-03,0.35
2014-09-04,0.35
2014-09-05,0.27589
2014-09-08,0.22991
2014-09-09,0.2483
2014-09-10,0.2667
2014-09-11,0.2667
2014-09-12,0.2667
2014-09-15,0.2667
2014-09-16,0.2667
2014-09-17,0.2667
2014-09-18,0.2667
2014-09-19,0.2575
2014-09-22,0.2575
2014-09-23,0.2575
2014-09-24,0.2575
2014-09-25,0.2667
2014-09-26,0.35
2014-09-29,0.2667
2014-09-30,0.35
2014-10-01,0.23911
2014-10-02,0.35
2014-10-03,0.2575
2014-10-06,0.2575
2014-10-07,0.2575
2014-10-08,0.2575
2014-10-09,0.2575
2014-10-10,0.2575
2014-10-13,0.2575
2014-10-14,0.2575
2014-10-15,0.35
2014-10-16,0.35
2014-10-17,0.2575
2014-10-20,0.35
2014-10-21,0.35
2014-10-22,0.35
2014-10-23,0.35
2014-10-24,0.2575
2014-10-27,0.35
2014-10-28,0.35
2014-10-29,0.2483
2014-10-30,0.35
2014-10-31,0.2483
2014-11-03,0.35
2014-11-04,0.35
2014-11-05,0.28509
