Date,GME
2002-02-13,10.05
2002-02-14,10.0
2002-02-15,9.95
2002-02-19,9.55
2002-02-20,9.875
2002-02-21,9.85
2002-02-22,9.675
2002-02-25,9.75
2002-02-26,9.75
2002-02-27,9.575
2002-02-28,9.55
2002-03-01,9.685
2002-03-04,9.85
2002-03-05,9.625
2002-03-06,9.675
2002-03-07,10.21
2002-03-08,10.45
2002-03-11,10.585
2002-03-12,10.6
2002-03-13,10.51
2002-03-14,10.5
2002-03-15,10.175
2002-03-18,9.65
2002-03-19,9.35
2002-03-20,9.01
2002-03-21,9.375
2002-03-22,9.65
2002-03-25,9.86
2002-03-26,9.99
2002-03-27,10.3
2002-03-28,10.1
2002-04-01,9.525
2002-04-02,9.32
2002-04-03,9.3
2002-04-04,9.475
2002-04-05,9.245
2002-04-08,9.15
2002-04-09,9.475
2002-04-10,9.46
2002-04-11,9.25
2002-04-12,9.125
2002-04-15,9.28
2002-04-16,9.5
2002-04-17,9.905
2002-04-18,9.905
2002-04-19,10.135
2002-04-22,10.0
2002-04-23,9.775
2002-04-24,9.705
2002-04-25,9.7
2002-04-26,9.625
2002-04-29,9.45
2002-04-30,9.525
2002-05-01,10.25
2002-05-02,10.415
2002-05-03,10.4
2002-05-06,10.875
2002-05-07,10.75
2002-05-08,11.2
2002-05-09,11.425
2002-05-10,11.03
2002-05-13,10.75
2002-05-14,10.4
2002-05-15,9.925
2002-05-16,10.3
2002-05-17,10.615
2002-05-20,10.69
2002-05-21,10.25
2002-05-22,10.625
2002-05-23,11.205
2002-05-24,11.73
2002-05-28,12.105
2002-05-29,11.8
2002-05-30,11.63
2002-05-31,12.095
2002-06-03,11.625
2002-06-04,11.715
2002-06-05,11.625
2002-06-06,11.625
2002-06-07,11.475
2002-06-10,11.25
2002-06-11,11.375
2002-06-12,11.2
2002-06-13,11.48
2002-06-14,11.255
2002-06-17,11.51
2002-06-18,11.26
2002-06-19,11.5
2002-06-20,10.95
2002-06-21,10.5
2002-06-24,10.26
2002-06-25,9.99
2002-06-26,9.475
2002-06-27,10.0
2002-06-28,10.495
2002-07-01,9.87
2002-07-02,9.38
2002-07-03,9.25
2002-07-05,9.505
2002-07-08,9.905
2002-07-09,9.75
2002-07-10,9.6
2002-07-11,9.215
2002-07-12,8.845
2002-07-15,8.35
2002-07-16,8.095
2002-07-17,8.045
2002-07-18,8.02
2002-07-19,7.89
2002-07-22,7.9
2002-07-23,8.0
2002-07-24,8.795
2002-07-25,8.49
2002-07-26,8.77
2002-07-29,9.15
2002-07-30,8.975
2002-07-31,8.75
2002-08-01,8.345
2002-08-02,7.55
2002-08-05,7.675
2002-08-06,7.895
2002-08-07,7.945
2002-08-08,7.45
2002-08-09,7.625
2002-08-12,8.125
2002-08-13,8.175
2002-08-14,8.65
2002-08-15,9.05
2002-08-16,9.465
2002-08-19,9.975
2002-08-20,10.46
2002-08-21,10.725
2002-08-22,10.25
2002-08-23,9.875
2002-08-26,10.33
2002-08-27,10.305
2002-08-28,10.45
2002-08-29,10.715
2002-08-30,10.4
2002-09-03,10.0
2002-09-04,9.3
2002-09-05,9.59
2002-09-06,9.805
2002-09-09,10.025
2002-09-10,10.2
2002-09-11,10.4
2002-09-12,10.2
2002-09-13,9.8
2002-09-16,10.105
2002-09-17,10.21
2002-09-18,10.05
2002-09-19,10.14
2002-09-20,10.025
2002-09-23,9.95
2002-09-24,9.71
2002-09-25,9.825
2002-09-26,10.325
2002-09-27,10.64
2002-09-30,10.225
2002-10-01,10.0
2002-10-02,9.9
2002-10-03,9.575
2002-10-04,9.655
2002-10-07,9.3
2002-10-08,9.45
2002-10-09,8.735
2002-10-10,9.155
2002-10-11,9.285
2002-10-14,9.37
2002-10-15,9.795
2002-10-16,9.75
2002-10-17,9.89
2002-10-18,10.175
2002-10-21,10.425
2002-10-22,9.585
2002-10-23,9.97
2002-10-24,10.2
2002-10-25,10.175
2002-10-28,9.275
2002-10-29,9.0
2002-10-30,9.0
2002-10-31,8.95
2002-11-01,8.815
2002-11-04,9.04
2002-11-05,9.375
2002-11-06,9.3
2002-11-07,9.235
2002-11-08,8.515
2002-11-11,8.7
2002-11-12,9.2
2002-11-13,9.5
2002-11-14,9.5
2002-11-15,10.085
2002-11-18,10.12
2002-11-19,9.55
2002-11-20,9.625
2002-11-21,9.72
2002-11-22,9.25
2002-11-25,9.28
2002-11-26,9.25
2002-11-27,9.335
2002-11-29,9.3
2002-12-02,9.45
2002-12-03,9.53
2002-12-04,9.4
2002-12-05,9.625
2002-12-06,9.61
2002-12-09,9.075
2002-12-10,9.06
2002-12-11,8.605
2002-12-12,9.05
2002-12-13,7.9
2002-12-16,8.0
2002-12-17,7.45
2002-12-18,6.66
2002-12-19,4.66
2002-12-20,4.735
2002-12-23,4.7
2002-12-24,4.575
2002-12-26,4.6
2002-12-27,4.675
2002-12-30,4.865
2002-12-31,4.9
2003-01-02,4.86
