Date,LOPE
2008-11-20,11.85
2008-11-21,12.35
2008-11-24,13.15
2008-11-25,13.95
2008-11-26,16.0
2008-11-28,14.84
2008-12-01,14.69
2008-12-02,15.61
2008-12-03,15.8
2008-12-04,15.99
2008-12-05,15.95
2008-12-08,15.68
2008-12-09,15.06
2008-12-10,15.71
2008-12-11,14.67
2008-12-12,14.58
2008-12-15,13.9
2008-12-16,14.76
2008-12-17,16.25
2008-12-18,17.35
2008-12-19,16.74
2008-12-22,17.549999
2008-12-23,17.360001
2008-12-24,17.290001
2008-12-26,17.17
2008-12-29,18.0
2008-12-30,18.370001000000002
2008-12-31,18.780001000000002
2009-01-02,18.98
2009-01-05,18.610001
2009-01-06,18.01
2009-01-07,17.0
2009-01-08,17.0
2009-01-09,17.92
2009-01-12,18.780001000000002
2009-01-13,18.5
2009-01-14,18.549999
2009-01-15,20.030001000000002
2009-01-16,20.190001000000002
2009-01-20,18.93
2009-01-21,20.0
2009-01-22,19.959999
2009-01-23,19.9
2009-01-26,18.92
2009-01-27,18.75
2009-01-28,17.99
2009-01-29,17.799999
2009-01-30,17.33
2009-02-02,18.02
2009-02-03,18.57
2009-02-04,18.74
2009-02-05,19.26
2009-02-06,19.059998999999998
2009-02-09,19.92
2009-02-10,18.09
2009-02-11,18.49
2009-02-12,17.93
2009-02-13,18.139999
2009-02-17,17.799999
2009-02-18,17.75
2009-02-19,17.129998999999998
2009-02-20,18.809998999999998
2009-02-23,19.18
2009-02-24,18.809998999999998
2009-02-25,17.24
2009-02-26,16.74
2009-02-27,17.02
2009-03-02,16.23
2009-03-03,15.3
2009-03-04,14.25
2009-03-05,13.16
2009-03-06,12.99
2009-03-09,13.45
2009-03-10,14.38
2009-03-11,16.0
2009-03-12,16.299999
2009-03-13,15.95
2009-03-16,14.81
2009-03-17,15.36
2009-03-18,15.41
2009-03-19,15.27
2009-03-20,15.29
2009-03-23,15.95
2009-03-24,16.25
2009-03-25,16.200001
2009-03-26,17.299999
2009-03-27,17.18
2009-03-30,17.309998999999998
2009-03-31,17.26
2009-04-01,16.65
2009-04-02,16.68
2009-04-03,16.379998999999998
2009-04-06,16.309998999999998
2009-04-07,15.5
2009-04-08,15.12
2009-04-09,14.84
2009-04-13,14.93
2009-04-14,14.71
2009-04-15,14.72
2009-04-16,15.68
2009-04-17,15.95
2009-04-20,15.0
2009-04-21,14.93
2009-04-22,14.83
2009-04-23,15.15
2009-04-24,15.54
2009-04-27,15.94
2009-04-28,15.6
2009-04-29,15.51
2009-04-30,16.35
2009-05-01,16.360001
2009-05-04,16.35
2009-05-05,15.93
2009-05-06,15.73
2009-05-07,14.87
2009-05-08,14.84
2009-05-11,14.75
2009-05-12,15.34
2009-05-13,14.76
2009-05-14,14.19
2009-05-15,14.35
2009-05-18,14.4
2009-05-19,14.05
2009-05-20,14.14
2009-05-21,14.26
2009-05-22,14.26
2009-05-26,14.42
2009-05-27,14.4
2009-05-28,13.52
2009-05-29,13.56
2009-06-01,14.03
2009-06-02,13.5
2009-06-03,13.04
2009-06-04,13.26
2009-06-05,13.45
2009-06-08,13.42
2009-06-09,13.65
2009-06-10,14.49
2009-06-11,14.47
2009-06-12,14.72
2009-06-15,14.85
2009-06-16,14.83
2009-06-17,15.35
2009-06-18,15.57
2009-06-19,16.0
2009-06-22,15.85
2009-06-23,15.71
2009-06-24,15.55
2009-06-25,15.95
2009-06-26,16.51
