Date,CTXS
1995-12-08,1.990763
1995-12-11,2.189839
1995-12-12,2.12348
1995-12-13,2.0820060000000002
1995-12-14,1.9409939999999999
1995-12-15,1.8746349999999998
1995-12-18,1.675559
1995-12-19,1.8082759999999998
1995-12-20,1.7916869999999998
1995-12-21,1.8248659999999999
1995-12-22,1.8082759999999998
1995-12-26,1.7750970000000001
1995-12-27,2.040532
1995-12-28,2.0073529999999997
1995-12-29,2.15666
1996-01-02,2.12348
1996-01-03,1.9409939999999999
1996-01-04,1.8414560000000002
1996-01-05,1.708738
1996-01-08,1.758507
1996-01-09,1.658969
1996-01-10,1.6092
1996-01-11,1.7750970000000001
1996-01-12,1.8082759999999998
1996-01-15,1.8580450000000002
1996-01-16,1.7419169999999997
1996-01-17,1.8082759999999998
1996-01-18,1.7916869999999998
1996-01-19,1.8580450000000002
1996-01-22,1.8414560000000002
1996-01-23,2.073711
1996-01-24,2.032237
1996-01-25,2.040532
1996-01-26,2.106891
1996-01-29,2.106891
1996-01-30,2.106891
1996-01-31,2.106891
1996-02-01,2.057122
1996-02-02,2.305967
1996-02-05,2.388916
1996-02-06,2.488454
1996-02-07,2.438684
1996-02-08,2.438684
1996-02-09,2.471864
1996-02-12,2.604581
1996-02-13,2.6377610000000002
1996-02-14,2.737299
1996-02-15,2.803658
1996-02-16,2.919785
1996-02-20,2.878311
1996-02-21,2.916675
1996-02-22,3.2847589999999998
1996-02-23,3.409181
1996-02-26,3.4672449999999997
1996-02-27,3.633142
1996-02-28,3.135452
1996-02-29,2.886606
1996-03-01,2.820247
1996-03-04,3.0359130000000003
1996-03-05,3.135452
1996-03-06,3.0027340000000002
1996-03-07,2.6543509999999997
1996-03-08,2.422095
1996-03-11,2.521633
1996-03-12,3.060798
1996-03-13,3.098125
1996-03-14,2.836837
1996-03-15,2.936375
1996-03-18,2.9695549999999997
1996-03-19,2.919785
1996-03-20,2.853427
1996-03-21,2.803658
1996-03-22,2.886606
1996-03-25,2.853427
1996-03-26,2.853427
1996-03-27,2.853427
1996-03-28,2.886606
1996-03-29,2.936375
1996-04-01,3.0359130000000003
1996-04-02,3.118862
1996-04-03,3.20181
1996-04-04,3.268169
1996-04-08,3.18522
1996-04-09,3.384297
1996-04-10,3.3345279999999997
1996-04-11,3.3013480000000004
1996-04-12,3.367707
1996-04-15,3.599963
1996-04-16,3.633142
1996-04-17,3.5833730000000004
1996-04-18,3.699501
1996-04-19,4.097653
1996-04-22,4.495806
1996-04-23,5.043266
1996-04-24,5.059855000000001
1996-04-25,5.109625
1996-04-26,5.0930349999999995
1996-04-29,5.209162999999999
1996-04-30,5.1759830000000004
1996-05-01,5.3750599999999995
1996-05-02,5.159394
1996-05-03,5.267227
1996-05-06,5.109625
1996-05-07,5.076445
1996-05-08,5.076445
1996-05-09,5.3750599999999995
1996-05-10,5.640495
1996-05-13,5.806392
1996-05-14,5.524367
1996-05-15,5.474598
1996-05-16,5.209162999999999
1996-05-17,5.059855000000001
1996-05-20,5.2755220000000005
1996-05-21,5.167688
1996-05-22,5.209162999999999
1996-05-23,5.1759830000000004
1996-05-24,5.242342
1996-05-28,5.059855000000001
1996-05-29,4.794421
1996-05-30,5.010087
1996-05-31,5.026676
1996-06-03,4.927137999999999
1996-06-04,4.976907
1996-06-05,4.744651
1996-06-06,4.4460370000000005
1996-06-07,4.31332
1996-06-10,4.246961
1996-06-11,4.213781
1996-06-12,4.479217
1996-06-13,4.84419
1996-06-14,4.777831
1996-06-17,4.910548
1996-06-18,4.379678
1996-06-19,4.014705
1996-06-20,3.7824489999999997
1996-06-21,3.76586
1996-06-24,4.047884
1996-06-25,4.545575
1996-06-26,4.379678
1996-06-27,4.7114720000000005
1996-06-28,5.043266
1996-07-01,5.109625
1996-07-02,5.308701
1996-07-03,5.308701
1996-07-05,4.877369
1996-07-08,4.877369
1996-07-09,5.109625
1996-07-10,5.109625
1996-07-11,4.645112999999999
1996-07-12,4.213781
1996-07-15,3.5501940000000003
1996-07-16,3.8985769999999995
1996-07-17,4.628524
1996-07-18,5.1759830000000004
1996-07-19,5.1759830000000004
1996-07-22,5.1759830000000004
1996-07-23,4.4460370000000005
1996-07-24,4.578754
1996-07-25,4.744651
1996-07-26,4.81101
1996-07-29,4.678293
1996-07-30,4.910548
1996-07-31,5.010087
1996-08-01,5.018382
1996-08-02,5.458008
1996-08-05,5.2755220000000005
1996-08-06,5.308701
1996-08-07,5.3750599999999995
1996-08-08,5.740033
1996-08-09,5.756623
1996-08-12,5.706853
1996-08-13,5.706853
1996-08-14,5.806392
1996-08-15,6.204544
1996-08-16,6.246018
1996-08-19,6.237724
1996-08-20,6.038647
1996-08-21,5.87275
1996-08-22,5.972289
1996-08-23,5.756623
1996-08-26,5.5409559999999995
1996-08-27,5.740033
1996-08-28,5.325291
1996-08-29,4.976907
1996-08-30,5.574136
1996-09-03,5.789802
1996-09-04,5.424829
1996-09-05,5.308701
1996-09-06,5.325291
1996-09-09,5.209162999999999
1996-09-10,5.341880000000001
1996-09-11,5.35847
1996-09-12,5.341880000000001
1996-09-13,5.640495
1996-09-16,5.839571
1996-09-17,6.0054680000000005
1996-09-18,6.304082
1996-09-19,6.337262
1996-09-20,6.403621
1996-09-23,6.469979
1996-09-24,6.304082
1996-09-25,6.635876
1996-09-26,6.635876
1996-09-27,6.619287
1996-09-30,6.801773
1996-10-01,6.469979
1996-10-02,6.403621
1996-10-03,6.337262
1996-10-04,6.469979
1996-10-07,6.353851000000001
1996-10-08,6.304082
1996-10-09,5.839571
1996-10-10,6.171365
1996-10-11,6.1050059999999995
1996-10-14,6.304082
1996-10-15,6.635876
1996-10-16,6.768594
1996-10-17,6.768594
1996-10-18,6.602697
1996-10-21,6.536338
