Date,HAR
2013-01-17,12952.0
2013-01-18,13761.5
2013-01-22,13311.799805
2013-01-23,12952.0
2013-01-24,13311.799805
2013-01-25,13491.700195
2013-01-28,13491.700195
2013-01-29,13491.700195
2013-01-30,13401.700195
2013-01-31,13311.799805
2013-02-01,13671.599609
2013-02-04,14211.200195
2013-02-05,14930.799805
2013-02-06,14391.099609
2013-02-07,14571.0
2013-02-08,15290.599609
2013-02-11,15290.599609
2013-02-12,15290.599609
2013-02-13,15290.599609
2013-02-14,15290.599609
2013-02-15,15290.599609
2013-02-19,16999.5
2013-02-20,18168.800781
2013-02-21,19428.0
2013-02-22,19967.699219
2013-02-25,19338.099609
2013-02-26,17988.900391
2013-02-27,18438.599609
2013-02-28,18888.300781
2013-03-01,19338.099609
2013-03-04,19967.699219
2013-03-05,19338.099609
2013-03-06,18888.300781
2013-03-07,19967.699219
2013-03-08,20237.5
2013-03-11,19967.699219
2013-03-12,21047.0
2013-03-13,22486.099609
2013-03-14,24015.199219
2013-03-15,25634.199219
2013-03-18,27343.099608999997
2013-03-19,28782.199219
2013-03-20,28332.5
2013-03-21,27523.0
2013-03-22,25904.0
2013-03-25,26083.900391
2013-03-26,27433.099608999997
2013-03-27,27882.800781
2013-03-28,26983.400391000003
2013-04-01,26533.599609
2013-04-02,26983.400391000003
2013-04-03,26083.900391
2013-04-04,26173.900391
2013-04-05,26533.599609
2013-04-08,28332.5
2013-04-09,30311.300781
2013-04-10,30581.099608999997
2013-04-11,29681.699219
2013-04-12,28962.099608999997
2013-04-15,28872.199219
2013-04-16,30581.099608999997
2013-04-17,32649.900391000003
2013-04-18,34628.601563
2013-04-19,34628.601563
2013-04-22,35528.101563
2013-04-23,35618.0
2013-04-24,34628.601563
2013-04-25,35078.398438
2013-04-26,34178.898438
2013-04-29,34178.898438
2013-04-30,34178.898438
2013-05-01,34178.898438
2013-05-02,32380.0
2013-05-03,30581.099608999997
2013-05-06,28782.199219
2013-05-07,26983.400391000003
2013-05-08,25184.5
2013-05-09,25274.400391
2013-05-10,26983.400391000003
2013-05-13,28872.199219
2013-05-14,29681.699219
2013-05-15,27613.0
2013-05-16,25724.099609
2013-05-17,23925.199219
2013-05-20,22306.199219
2013-05-21,21047.0
2013-05-22,20327.5
2013-05-23,19158.199219
2013-05-24,17988.900391
2013-05-28,20507.400391
2013-05-29,21047.0
2013-05-30,20687.199219
2013-05-31,19248.099609
2013-06-03,18438.599609
2013-06-04,19518.0
2013-06-05,20597.300781
2013-06-06,19697.900391
2013-06-07,21047.0
2013-06-10,22486.099609
2013-06-11,22935.900391
2013-06-12,22036.400391
2013-06-13,23385.599609
2013-06-14,25004.599609
2013-06-17,24464.900391
2013-06-18,26173.900391
2013-06-19,27972.699219
2013-06-20,29861.599608999997
2013-06-21,31930.300781
2013-06-24,29771.599608999997
2013-06-25,27702.900391000003
2013-06-26,25814.099609
2013-06-27,26983.400391000003
2013-06-28,25814.099609
2013-07-01,24015.199219
2013-07-02,22396.199219
2013-07-03,21406.800781
2013-07-05,19518.0
2013-07-08,18614.900391
2013-07-09,19831.0
2013-07-10,21140.599609
2013-07-11,19924.5
2013-07-12,19176.199219
2013-07-15,19643.900391
2013-07-16,18334.300781
2013-07-17,17118.199219
2013-07-18,15995.700195
2013-07-19,14966.799805
2013-07-22,14592.599609
2013-07-23,15528.0
2013-07-24,15715.099609
2013-07-25,14686.099609
2013-07-26,13750.700195
2013-07-29,12815.299805
2013-07-30,11973.400391
2013-07-31,11225.099609
2013-08-01,11973.400391
2013-08-02,11225.099609
2013-08-05,10476.700195
2013-08-06,9821.94043
2013-08-07,10102.599609
2013-08-08,9821.94043
2013-08-09,10289.700195
2013-08-12,10196.099609
2013-08-13,10663.799805
2013-08-14,10663.799805
2013-08-15,10289.700195
2013-08-16,10102.599609
2013-08-19,10757.400391
2013-08-20,11505.700195
2013-08-21,11225.099609
2013-08-22,10476.700195
2013-08-23,10102.599609
2013-08-26,10196.099609
2013-08-27,9915.480469
2013-08-28,9260.69043
2013-08-29,8699.429688
2013-08-30,8325.269531
2013-09-03,7764.009765999999
2013-09-04,7296.299805
2013-09-05,6828.589844
2013-09-06,7109.220215
2013-09-09,6641.5
2013-09-10,6360.879883
2013-09-11,6080.25
2013-09-12,6173.790039
2013-09-13,5893.169922
2013-09-16,5519.0
2013-09-17,5144.830078
2013-09-18,4864.200195
2013-09-19,5144.830078
2013-09-20,5144.830078
2013-09-23,5425.450195
2013-09-24,5799.620117
2013-09-25,5519.0
2013-09-26,5425.450195
2013-09-27,5331.910156
2013-09-30,5519.0
2013-10-01,5331.910156
2013-10-02,5425.450195
2013-10-03,5706.080078
2013-10-04,5519.0
2013-10-07,5893.169922
2013-10-08,6080.25
2013-10-09,6454.419922
2013-10-10,6454.419922
